statement_order	statement_id	register	record_unit_id	page	event_count	owner_transition	unified_primitive_sequence	unified_primitive_count	visible_surface_sequence	complete_working_reading_de	apprentice_status
1	H1-S001	HERBAL	H1	f10r	10	SINGLE_FIELD_OWNER	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>SET>MATERIAL_ADD>PASS_STRAIN>MEASURE>USE_APPLY>COLLECT_STORE>CLOSE	12	dchey cthoor char chty os chair otytchol oky daiin etyd	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
2	H1-S002	HERBAL	H1	f10r	4	SINGLE_FIELD_OWNER	PART_SELECT>SET>PART_SELECT>CONTINUE>HEAT>GRADE>MEASURE>USE_APPLY>READY>CLOSE	10	qokchy qotchol chol cthy	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
3	H2-S001	HERBAL	H2	f10r	9	SINGLE_FIELD_OWNER	OWNER_SELECT>PART_SELECT>SET>PART_SELECT>CUT_CRUSH>PASS_STRAIN>SET	7	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
4	H2-S002	HERBAL	H2	f10r	8	SINGLE_FIELD_OWNER	PART_SELECT>SET>MATERIAL_ADD>SET>MATERIAL_ADD>CONTINUE>MEASURE	7	qotchor chor otol chol cholor chol daiin dar	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
5	H2-S003	HERBAL	H2	f10r	7	SINGLE_FIELD_OWNER	PART_SELECT>SET>CUT_CRUSH>SET>HEAT>GRADE>MEASURE>USE_APPLY>TARGET>USE_APPLY	10	oykchor shor chor chy kaiiin dy chodaiin	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
6	H3-S001	HERBAL	H3	f11r	7	SINGLE_FIELD_OWNER	OWNER_SELECT>PART_SELECT>CONTINUE>PART_SELECT>SET>MATERIAL_ADD>PASS_STRAIN>SET>SETTLE>PASS_STRAIN>HEAT>GRADE	12	tshol schoal cfhy shfydaiin cphy shey tchody	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
7	H3-S002	HERBAL	H3	f11r	1	SINGLE_FIELD_OWNER	PART_SELECT>CONTINUE>COLLECT_STORE>CLOSE>PART_SELECT>CONTINUE>COLLECT_STORE>CLOSE>SETTLE>COLLECT_STORE>CLOSE	11	shoyty	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
8	H3-S003	HERBAL	H3	f11r	5	SINGLE_FIELD_OWNER	PART_SELECT>CONTINUE>MEASURE>USE_APPLY	4	dchol chy kchy dy daiin	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
9	H3-S004	HERBAL	H3	f11r	4	SINGLE_FIELD_OWNER	PART_SELECT>CONTINUE>SET>CONTINUE>MATERIAL_ADD>CONTINUE>HEAT>GRADE>READY>CLOSE	10	qotchy okchol cthy dy	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
10	H4-S001	HERBAL	H4	f55v	5	SINGLE_FIELD_OWNER	OWNER_SELECT>PART_SELECT>TARGET>USE_APPLY>PART_SELECT>MEASURE>SET>MATERIAL_ADD	8	qokaiin chaiin ykain ykan ody	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	WRITE_FROM_OWNER_PROGRAM_PRIMITIVES_THEN_RENDER
