locus	namespace_id	visible_owner	group_count	surface_sequence	atom_sequence	spoken_instruction_de	selected_for_worked_job	worked_job_value_de
f68r1.1	F68_LEFT_PANEL_HEADER_NS	A2_LEFT_PANEL_HEADER	9	shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal	HO+KCH | EE | HO+OT+EE | OL | CHEO | OP+EE+OL | OT+OR | HO+CTH+EEE | KCH+AL	Setze den lokalen Modus dieses Teilbildes: Eingangsposten + Bearbeiten; lange Tabellenstufe; nächsten Eingangsposten länger halten; im selben Ring, Band oder Satz fortsetzen; Bedingungs-, Tabellen- oder Wahlansatz; Paarfeld länger fortsetzen; nächster Satz; Eingangsposten vollständig bereit; Bearbeiten + Ziel. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.2	F68_MIDDLE_PANEL_HEADER_NS	A2_MIDDLE_PANEL_HEADER	9	tochso otchl qokeeedy cheey cheeteey yteody chpor cheokorchey chod	T+O+CH+S | OT | OK | CHEEY | EE+EE | YT+E+OD+Y | OR | CHEO+OR | HO	Setze den lokalen Modus dieses Teilbildes: sekundärer Grundzustand der Phase; naechster Platz oder folgende Bedingung; vollstaendig setzen und den Eintrag schliessen; sichtbares Ergebnis / Ablesewert; zwei lange Tabellenstufen; diesen Platz kurz markieren; Bedingungs-, Tabellen- oder Wahlansatz; Auszug/Ausgabe + Ansatz/Satz; Eingangsposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.3	F68_RIGHT_PANEL_HEADER_NS	A2_RIGHT_PANEL_HEADER	8	ykor shey qocheey chokal okeey ror eckhear daram	YK+OR | CHEEY | CHEEY | HO+AL | OK | OR | CKHE+AR | AR+AM	Setze den lokalen Modus dieses Teilbildes: bezeichnete Klasse oder Haus + OR; sichtbares Ergebnis / Ablesewert; Ablesewert; Eingangsposten + Ziel; in langer Stufe setzen; Bedingungs-, Tabellen- oder Wahlansatz; Seihen/Trennen + Quelle; Quellaspekt. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.4	F68_MULTIPANEL_HEADER_QUARANTINE_NS	A2_MULTIPANEL_HEADER_FRAGMENT_04	2	dchor okaiiin	HO | OK+IIN	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: Bedingungs-, Tabellen- oder Wahlansatz; Stufe aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.5	F68_MULTIPANEL_HEADER_QUARANTINE_NS	A2_MULTIPANEL_HEADER_FRAGMENT_05	1	yky	YK	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: bezeichnete Klasse oder Haus. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.6	F68_MULTIPANEL_HEADER_QUARANTINE_NS	A2_MULTIPANEL_HEADER_FRAGMENT_06	1	dary	AR	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: Ausgangssektor, Ursprung oder Bezugswert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.7	F68_MULTIPANEL_HEADER_QUARANTINE_NS	A2_MULTIPANEL_HEADER_FRAGMENT_07	1	chkchykoly	KCH+OL	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: Bearbeiten + Fortsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.8	F68_CENTRE_KEY_QUARANTINE_NS	A2_CENTRE_KEY_UNRESOLVED	1	okodaly	OK+OD+AL+Y	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: dieses markierte Ziel aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.9	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_01	1	odchecthy	OD+CTH	Wähle diesen gezeichneten Sternplatz: Bereitbedingung markieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
f68r1.10	F68_LOCAL_STAR_SLOT_NS	A2_STAR_STATION_02	1	otcheody	OT+CHEO	Wähle diesen gezeichneten Sternplatz: Folge + Auszug/Ausgabe. Notiere das Ergebnis als lokalen Wert dieser Adresse.	NO	ALTERNATIVE_LOOKUP_VALUE
