job_step	phase	statement_id	page	image_owner	owner_reset	group_count	surface_sequence	literal_card_reading_de	master_dictation_de	apprentice_readback_de	scribe_profile	translation_layer
1	WHAT	H3-S001	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	7	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Nimm ausgewähltes Material der abgebildeten Pflanze, bringe es zur Arbeitsstelle, wringe es aus, lasse den Auszug bis zum Sollstand stehen, seihe nach und stelle den sichtbaren klaren Anteil beiseite.	Nimm ausgewähltes Material der abgebildeten Pflanze, bringe es zur Arbeitsstelle, wringe es aus, lasse den Auszug bis zum Sollstand stehen, seihe nach und stelle den sichtbaren klaren Anteil beiseite.	S1_BARE_MASTER	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
2	WHAT	H3-S002	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	1	shoyty	Zutatenteil	Behalte eine Portion des frischen Pflanzenmaterials für einen zweiten Ansatz zurück.	Behalte eine Portion des frischen Pflanzenmaterials für einen zweiten Ansatz zurück.	S1_BARE_MASTER	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
3	WHAT	H3-S003	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	5	dchol chy kchy dy daiin	vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß	Nimm den ersten Auszug wieder auf, bearbeite ihn weiter und miss die vorgesehene Gebrauchsportion ab.	Nimm den ersten Auszug wieder auf, bearbeite ihn weiter und miss die vorgesehene Gebrauchsportion ab.	S1_BARE_MASTER	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
4	WHAT	H3-S004	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	4	qotchy okchol cthy dy	anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten	Nimm das zurückbehaltene Material als nächsten Posten, beginne den Fortsetzungsgang und halte die zweite Bereitung bereit.	Nimm das zurückbehaltene Material als nächsten Posten, beginne den Fortsetzungsgang und halte die zweite Bereitung bereit.	S1_BARE_MASTER	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
5	HOW	B2-S001	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	YES	1	dchedy	Posten überführen; Schluss	Spüle oder übertrage den ersten Gang an den oberen Paarbecken und schließe diesen kurzen Schritt.	Spüle oder übertrage den ersten Gang an den oberen Paarbecken und schließe diesen kurzen Schritt.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
6	HOW	B2-S002	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	1	qolchedy	weiterüberführen; Schluss	Führe die Übertragung weiter, stelle die erste Charge örtlich beiseite und schließe.	Führe die Übertragung weiter, stelle die erste Charge örtlich beiseite und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
7	HOW	B2-S003	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	3	qokain dy qokeedy	eine Portion zugeben; dieser Posten; länger ansetzen; Schluss	Gib eine abgemessene Portion ein, halte sie als aktiven Posten länger in der Station und schließe.	Gib eine abgemessene Portion ein, halte sie als aktiven Posten länger in der Station und schließe.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
8	HOW	B2-S004	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	5	qokal lcheckhy lched qokeey lcheckhedy	dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss	Setze die Charge an der bezeichneten oberen Station an, führe sie durch den örtlichen Ausgang weiter, halte sie länger und trenne sie am Ende ab.	Setze die Charge an der bezeichneten oberen Station an, führe sie durch den örtlichen Ausgang weiter, halte sie länger und trenne sie am Ende ab.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
9	HOW	B2-S005	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	Führe den Posten zum zweiten Lauf, sammle bis zum Sollwert, leite ihn durch die verbundenen Gänge, halte die Einstellung, wärme länger und führe den Rest ab.	Führe den Posten zum zweiten Lauf, sammle bis zum Sollwert, leite ihn durch die verbundenen Gänge, halte die Einstellung, wärme länger und führe den Rest ab.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
10	HOW	B2-S006	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	4	oteey qokal sheckhy qoky	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	Nimm den vorbereiteten Folgeposten, setze ihn am Ziel an, führe ihn kurz durch und halte ihn als laufenden Posten verfügbar.	Nimm den vorbereiteten Folgeposten, setze ihn am Ziel an, führe ihn kurz durch und halte ihn als laufenden Posten verfügbar.	S2_Q_CELL_SCRIBE	OWNER_PLUS_PORTABLE_COMPONENTS_PLUS_LEARNED_CARDS
