world	source_state_hit_gain	factorial_hit_gain	max_two_hit_gain
0	0	8	8
1	0	11	11
2	-1	6	6
3	0	7	7
4	0	6	6
5	0	7	7
6	0	5	5
7	-1	1	1
8	0	5	5
9	0	4	4
10	0	5	5
11	0	7	7
12	0	2	2
13	0	4	4
14	0	4	4
15	0	6	6
16	0	7	7
17	0	5	5
18	-1	5	5
19	0	8	8
20	0	9	9
21	-2	7	7
22	-1	6	6
23	0	4	4
24	-1	4	4
25	-1	4	4
26	0	11	11
27	-1	7	7
28	0	6	6
29	1	11	11
30	0	9	9
31	0	5	5
32	-1	5	5
33	0	2	2
34	-1	5	5
35	-1	3	3
36	-1	9	9
37	0	6	6
38	-2	5	5
39	-1	4	4
40	0	5	5
41	0	0	0
42	0	4	4
43	-2	6	6
44	-1	8	8
45	0	6	6
46	-1	0	0
47	-1	6	6
48	-1	3	3
49	-1	9	9
50	-1	4	4
51	-1	7	7
52	-2	6	6
53	0	2	2
54	-1	5	5
55	0	5	5
56	-2	10	10
57	-1	9	9
58	0	11	11
59	0	4	4
60	0	8	8
61	0	-1	0
62	0	5	5
63	0	7	7
64	-1	5	5
65	-2	9	9
66	0	7	7
67	-1	4	4
68	0	11	11
69	-1	2	2
70	0	6	6
71	-3	4	4
72	-1	3	3
73	0	6	6
74	0	5	5
75	0	4	4
76	-1	4	4
77	0	7	7
78	-1	9	9
79	0	10	10
80	-1	7	7
81	-1	5	5
82	-1	9	9
83	-1	2	2
84	-1	6	6
85	0	7	7
86	0	7	7
87	0	10	10
88	0	12	12
89	-1	5	5
90	0	7	7
91	0	7	7
92	0	6	6
93	0	8	8
94	-1	5	5
95	-1	6	6
96	0	7	7
97	-3	8	8
98	-1	7	7
99	-1	4	4
100	-2	0	0
101	0	9	9
102	0	5	5
103	0	4	4
104	0	9	9
105	-1	5	5
106	-2	4	4
107	0	10	10
108	-1	6	6
109	0	3	3
110	-1	6	6
111	1	8	8
112	-1	5	5
113	0	8	8
114	0	6	6
115	0	2	2
116	0	3	3
