split	held_value	model	eligible_events	total_bits	exact_next_state_hits	gain_over_placement	gain_over_exact_predecessor	unseen_combo_events	unseen_combo_bits	unseen_combo_hits	unseen_gain_over_exact
SECTION	B	PLACEMENT	1809	8414.740219614	401	0.000000000	-80.968695529	228	1304.793741992	13	2.999994029
SECTION	B	EXACT_PREDECESSOR	1809	8333.771524085	411	80.968695529	0.000000000	228	1307.793736021	13	0.000000000
SECTION	B	SOURCE_STATE_TABLE	1809	8280.697086025	448	134.043133589	53.074438060	228	1331.595277261	13	-23.801541240
SECTION	B	FACTORIAL_OPERATOR	1809	8150.658748201	460	264.081471413	183.112775884	228	1285.915018031	18	21.878717991
SECTION	C	PLACEMENT	129	593.800241342	39	0.000000000	-6.835360114	20	106.232478187	2	-1.187878948
SECTION	C	EXACT_PREDECESSOR	129	586.964881228	39	6.835360114	0.000000000	20	105.044599239	2	0.000000000
SECTION	C	SOURCE_STATE_TABLE	129	590.830462154	39	2.969779188	-3.865580926	20	108.442636572	2	-3.398037333
SECTION	C	FACTORIAL_OPERATOR	129	581.422404769	39	12.377836572	5.542476458	20	104.690945194	2	0.353654045
SECTION	H	PLACEMENT	3116	14967.734548832	794	0.000000000	57.612111704	525	3265.295407198	51	10.616048538
SECTION	H	EXACT_PREDECESSOR	3116	15025.346660536	789	-57.612111704	0.000000000	525	3275.911455736	47	0.000000000
SECTION	H	SOURCE_STATE_TABLE	3116	15088.794820549	793	-121.060271718	-63.448160013	525	3335.900334298	51	-59.988878562
SECTION	H	FACTORIAL_OPERATOR	3116	15040.871726193	776	-73.137177361	-15.525065657	525	3294.398991906	54	-18.487536170
SECTION	P	PLACEMENT	253	1111.435552192	76	0.000000000	0.288040563	38	236.781719793	4	3.232969337
SECTION	P	EXACT_PREDECESSOR	253	1111.723592755	76	-0.288040563	0.000000000	38	240.014689130	4	0.000000000
SECTION	P	SOURCE_STATE_TABLE	253	1120.502410978	76	-9.066858786	-8.778818223	38	240.596616986	4	-0.581927856
SECTION	P	FACTORIAL_OPERATOR	253	1109.927633426	75	1.507918766	1.795959329	38	239.593157903	4	0.421531226
SECTION	S	PLACEMENT	2573	12425.339778827	719	0.000000000	-64.318967420	430	2694.497510598	38	1.418017636
SECTION	S	EXACT_PREDECESSOR	2573	12361.020811407	722	64.318967420	0.000000000	430	2695.915528235	40	0.000000000
SECTION	S	SOURCE_STATE_TABLE	2573	12332.547507839	718	92.792270988	28.473303568	430	2737.760609408	38	-41.845081174
SECTION	S	FACTORIAL_OPERATOR	2573	12153.697553113	721	271.642225715	207.323258294	430	2660.464404746	38	35.451123489
SECTION	T	PLACEMENT	388	1789.443514337	108	0.000000000	-6.807580346	51	328.373149205	3	1.730970118
SECTION	T	EXACT_PREDECESSOR	388	1782.635933990	108	6.807580346	0.000000000	51	330.104119323	3	0.000000000
SECTION	T	SOURCE_STATE_TABLE	388	1769.484114463	109	19.959399874	13.151819528	51	338.026244859	3	-7.922125536
SECTION	T	FACTORIAL_OPERATOR	388	1752.801322273	108	36.642192063	29.834611717	51	327.459551726	3	2.644567597
REGISTER	HERBAL_A	PLACEMENT	2415	11627.428312461	591	0.000000000	80.470397058	391	2437.094805499	38	3.206525432
REGISTER	HERBAL_A	EXACT_PREDECESSOR	2415	11707.898709519	591	-80.470397058	0.000000000	391	2440.301330931	38	0.000000000
