component_or_whole_sign	selected_value_de	latin_workshop_parallel	current_examples	role_in_mixed_system
CTH+OR	ANSATZ BEREIT	PARATUM	CTHOOR	productive state + batch
CTH+AIIN	BEREITMASS	MENSURA PARATA	CTHAIIN	productive state + measure
Y+CHEO+OR	AUSZUGSANSATZ	EXTRACTUM	YCHEOR	productive item + extract + batch
HO+OR	ZUTATENANSATZ	COMPOSITUM SPECIERUM	CHOCHOR	productive ingredient + batch
HO+AIIN	ZUTATENMASS	MENSURA SPECIEI	CHODAIIN	productive ingredient + measure
HO+AL+Y	ZUTAT DORTHIN	SPECIES AD	CHODALY	productive ingredient + target + item
Y+AIN	POSTENPORTION	PARS EIUS	YKAIN / YKAN	productive item + portion
Y+AIIN	POSTENMASS	MENSURA EIUS	YKAIIN	productive item + measure
OT+Y	FOLGEPOSTEN	ITEM SEQUENS	QOTCHY / OTCHEY	productive order + item
DCHEY	WURZEL	RADIX	DCHEY	learned plant-part sign
ETYD	WURZELREST	RELIQUUM RADICIS	ETYD	learned plant-part sign
TSHOL	BLÜTENKRAUT	HERBA FLORIDA	TSHOL	learned plant-part sign
SHOYTY	BLÜTENRESERVE	FLORES RESERVATI	SHOYTY	learned stored-material sign
SH	STÄNGEL	CAULIS	SH	learned plant-part sign
SCHOAL	WEINSUD	DECOCTUM IN VINO	SCHOAL	learned preparation sign
KCHY	TRANK	POTUS	KCHY	learned product sign
QOCTHOLY	PRESSEN	EXPRIME	QOCTHOLY	learned action sign
CFHY	AUSWRINGEN	EXTORQUE	CFHY	learned action sign
CPHY	NACHSEIHEN	COLA ITERUM	CPHY	learned action sign
KCHEY	ZERREIBEN	TERE	KCHEY	learned action sign
KCHOL	AUFLEGEN	APPONE	KCHOL	learned action sign
SOTODAN	ANWENDEN	UTERE	SOTODAN	learned action sign
TALAM	VERWAHREN	SERVA	TALAM	learned action sign
