audit_item	audit_class	consumed_position_ids	expected_render_once_de	exact_execution_count	practical_execution_count	expected_exact_execution_count	expected_practical_execution_count	audit_status	historical_confirmation
G683_CHEOP_OL	INHERITED_V98_BOUND_SPAN	P167|P168	bis zur Mittelstufe getrockneter Pulverstoff	1	1	1	1	PASS	H0_NONE
G678_KEO_R_F7R2	INHERITED_V98_BOUND_SPAN	P288|P289	heiße Portion	1	1	1	1	PASS	H0_NONE
B001	INHERITED_V98_BOUND_SPAN	P349|P350	drei Portionen des Anteils I des heißen Holzansatzes	1	1	1	1	PASS	H0_NONE
B002	INHERITED_V98_BOUND_SPAN	P442|P443	Anteil I des heißen Holzansatzes; drei Portionen davon	1	1	1	1	PASS	H0_NONE
B003	INHERITED_V98_BOUND_SPAN	P435|P436	vollständig getrocknete Charge aus erhitztem Holzanteil I	1	1	1	1	PASS	H0_NONE
R002_DAIIN_SHCKHY_F83V12	GDT726_LOCAL_RENDER_PATCH	P331|P332	drei Portionen der feuchten Mischung auf Anfangsstufe	0	1	0	1	PASS	H0_NONE
R004_OTAL_DAIN_F116R12	GDT726_LOCAL_RENDER_PATCH	P196|P197	zwei Portionen des Materials I im kalten Anfangsansatz	0	1	0	1	PASS	H0_NONE
R005_DAIIN_DOL_F8R15	GDT726_LOCAL_RENDER_PATCH	P465|P466	drei Materialmaße	0	1	0	1	PASS	H0_NONE
R_G678_KEO_R_F7R2	ONE_SHOT_DIRECTIVE_PAIR_NOT_TWO_SPANS	P288|P289	heiße Portion	1	1	1	1	PASS	H0_NONE
F7R2_8_FROZEN_OUTPUT_UNITS	F7R2_SPECIAL_UNIT_PARITY	P287|P288|P289|P290|P291|P292|P293|P294|P295	eine Dosis vollständig trocknen und abschließen | heiße Portion | Blüte | diese Blüte abmessen und abschließen | fertige abgemessene Mittelstufen-Trockenportion | heiß-trocken, Mittelstufe | kalt-trockene Zubereitung, Anfangsstufe | getrocknete Masse	8	8	8	8	PASS	H0_NONE
