edition	position_id	page	locus	token_ordinal	surface	source_reading_id	v98_dictionary_core_de	v98_context_realization_de	v98_lexical_score	v98_lexical_level	consumption_disposition	rule_id	output_unit_id	emitted_here	emitted_text_de	position_consumed_once	group_position_count	dictionary_core_changed	context_table_changed	score_changed	component_global_export_allowed	historical_confirmation
V98R1_PRACTICAL	P001	f102v2	f102v2.3	1	oror	oror#1	zwei Portionen	zwei Portionen	28	W1_WEAK_WORKING	CONTEXT_POSITION	P001	PU001	1	zwei Portionen	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P002	f104v	f104v.2	1	ychedaiin	ychedaiin#1	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	49	W2_PROVISIONAL_WORKING	CONTEXT_POSITION	P002	PU002	1	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P003	f104v	f104v.2	2	qoteed	qoteed#1	vollständig abkühlen und abziehen	Zubereitung vollständig abkühlen und abziehen	44	W2_PROVISIONAL_WORKING	CONTEXT_POSITION	P003	PU003	1	Zubereitung vollständig abkühlen und abziehen	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P004	f104v	f104v.2	3	chockhy	chockhy#1	trockene Mischung, Anfangsstufe	trockene Arzneizubereitung am Gradanfang	30	W1_WEAK_WORKING	CONTEXT_POSITION	P004	PU004	1	trockene Arzneizubereitung am Gradanfang	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P005	f104v	f104v.2	4	otaiin	otaiin#1	kalter Ansatz, Grad III	kalter Ansatz, Grad III	66	W3_SOLID_WORKING_THEORY	CONTEXT_POSITION	P005	PU005	1	kalter Ansatz, Grad III	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P006	f104v	f104v.2	5	ydaiin	ydaiin#1	Bezugswert III	davon: Wert III	31	W1_WEAK_WORKING	LOCAL_POSITION_OVERRIDE	R001_YDAIIN_F104V2	PU006	1	davon drei Maße	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P007	f104v	f104v.2	6	qokamdy	qokamdy#1	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	40	W2_PROVISIONAL_WORKING	CONTEXT_POSITION	P007	PU007	1	ein Maß nehmen und erhitzen	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P008	f104v	f104v.2	7	otarar	otarar#1	kalter Unteranteil I von Zubereitungsanteil I	Unteranteil I des Anteils I der kalten Zubereitung	38	W1_WEAK_WORKING	CONTEXT_POSITION	P008	PU008	1	Unteranteil I des Anteils I der kalten Zubereitung	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P009	f104v	f104v.2	8	alched	alched#1	Material I, bis Mittelstufe getrocknet und abgeschlossen	Material I, bis Mittelstufe getrocknet und abgeschlossen	34	W1_WEAK_WORKING	CONTEXT_POSITION	P009	PU009	1	Material I, bis Mittelstufe getrocknet und abgeschlossen	1	1	0	0	0	0	H0_NONE
V98R1_PRACTICAL	P010	f104v	f104v.2	9	otair	otair#1	Anteil II des kalten Ansatzes	Anteil II des kalten Ansatzes	42	W2_PROVISIONAL_WORKING	CONTEXT_POSITION	P010	PU010	1	Anteil II des kalten Ansatzes	1	1	0	0	0	0	H0_NONE
