page	locus	source_position_count	v57_to_v98_context_delta_count	v56_to_v98_context_delta_count	exact_output_unit_count	practical_output_unit_count	exact_reader_sha256	practical_reader_sha256	practical_renderer_changed	practical_patch_ids	practical_span_ids	surface_and_order_parity	dictionary_core_changes	context_table_changes	score_changes	component_global_exports	historical_confirmation
f102v2	f102v2.3	1	0	0	1	1	fe5ad244fd6bfec7f3952e2659625e032f1ef0f8e8acf8483ed1013d837d3350	fe5ad244fd6bfec7f3952e2659625e032f1ef0f8e8acf8483ed1013d837d3350	0	NONE	NONE	1	0	0	0	0	H0_NONE
f104v	f104v.2	10	9	9	10	10	d821939e46cd194a913ee2a1535f43c46b0dc1a6d6a4b5074616251d213b0224	5861aa7b8ee50744b24708e555b7bb5a25072c3cd1ee4a1247d9cd2bd3e5d31d	1	R001_YDAIIN_F104V2	NONE	1	0	0	0	0	H0_NONE
f105r	f105r.2	13	10	10	13	13	93b36d31676d8e843edbe4479447ef577aedd3c339545f03747a541e085b203c	93b36d31676d8e843edbe4479447ef577aedd3c339545f03747a541e085b203c	0	NONE	NONE	1	0	0	0	0	H0_NONE
f105r	f105r.31	13	8	8	13	13	fd58c3250e97af3ec0f683000763a4251307853635a85e746a22e7945f946076	f570e968ea6cc5648c80b075ac8716c116f27675344a0410e6ab093f9c4f45e3	1	R006_SHX_LOCAL_WOOD_F105R31	NONE	1	0	0	0	0	H0_NONE
f105v	f105v.1	9	8	8	9	9	fd88d77a1a26d3e2e76b2b01ce7636d59ada75eddf14ccb104e418e088e413b4	fd88d77a1a26d3e2e76b2b01ce7636d59ada75eddf14ccb104e418e088e413b4	0	NONE	NONE	1	0	0	0	0	H0_NONE
f105v	f105v.14	10	7	7	10	10	51f3346649a9a02d72f4d6b4a38ad056ff6e8ff01b0c1c00db4469827de01ed3	51f3346649a9a02d72f4d6b4a38ad056ff6e8ff01b0c1c00db4469827de01ed3	0	NONE	NONE	1	0	0	0	0	H0_NONE
f106r	f106r.23	10	9	9	10	10	a153d8e22380dab1795feaa0e201af56421c62c7eb09250978e6cf56afea8ff1	a153d8e22380dab1795feaa0e201af56421c62c7eb09250978e6cf56afea8ff1	0	NONE	NONE	1	0	0	0	0	H0_NONE
f107r	f107r.2	13	6	6	13	13	21ef556b47d9969deb09a7808b68e33037522b414aa8e750af2beedf587599dc	e42bc58da6d433b98c9f44cd1c66e6ce4173ff1289ff77202c036bf0a9f48936	1	R007_QEEEY_CONTINUATION_F107R2	NONE	1	0	0	0	0	H0_NONE
f107r	f107r.40	10	6	6	10	10	6ddab37baa9bdc9baaff6fc46da8f856d4308a52c6d8537ae629efae3427ac4b	6ddab37baa9bdc9baaff6fc46da8f856d4308a52c6d8537ae629efae3427ac4b	0	NONE	NONE	1	0	0	0	0	H0_NONE
f10r	f10r.2	10	7	7	10	10	e6f26cc4e90ca52c51c950f96467e811f5cac8acf0f0122aa2a7c0f7ab11948f	e6f26cc4e90ca52c51c950f96467e811f5cac8acf0f0122aa2a7c0f7ab11948f	0	NONE	NONE	1	0	0	0	0	H0_NONE
f112r	f112r.36	6	5	5	6	6	25767a8bbe11be26595ae964d681362a5157b98e73d2dcf6606cad27344b1ffa	25767a8bbe11be26595ae964d681362a5157b98e73d2dcf6606cad27344b1ffa	0	NONE	NONE	1	0	0	0	0	H0_NONE
f112v	f112v.10	4	3	3	4	4	0c42d93a02dc52c9ae42c8622cf3f499494845a79da4b3ae7438c14684f573d5	0c42d93a02dc52c9ae42c8622cf3f499494845a79da4b3ae7438c14684f573d5	0	NONE	NONE	1	0	0	0	0	H0_NONE
