edition	output_unit_id	global_output_ordinal	page	locus	line_output_ordinal	source_kind	source_ref	anchor_position_id	consumed_position_ids	consumed_position_count	source_surfaces	v98_context_inputs_de	rendered_text_de	component_global_export_allowed	score_delta	historical_confirmation
V98_EXACT	XU001	1	f102v2	f102v2.3	1	CONTEXT_POSITION	P001	P001	P001	1	oror	zwei Portionen	zwei Portionen	0	0	H0_NONE
V98_EXACT	XU002	2	f104v	f104v.2	1	CONTEXT_POSITION	P002	P002	P002	1	ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	0	H0_NONE
V98_EXACT	XU003	3	f104v	f104v.2	2	CONTEXT_POSITION	P003	P003	P003	1	qoteed	Zubereitung vollständig abkühlen und abziehen	Zubereitung vollständig abkühlen und abziehen	0	0	H0_NONE
V98_EXACT	XU004	4	f104v	f104v.2	3	CONTEXT_POSITION	P004	P004	P004	1	chockhy	trockene Arzneizubereitung am Gradanfang	trockene Arzneizubereitung am Gradanfang	0	0	H0_NONE
V98_EXACT	XU005	5	f104v	f104v.2	4	CONTEXT_POSITION	P005	P005	P005	1	otaiin	kalter Ansatz, Grad III	kalter Ansatz, Grad III	0	0	H0_NONE
V98_EXACT	XU006	6	f104v	f104v.2	5	CONTEXT_POSITION	P006	P006	P006	1	ydaiin	davon: Wert III	davon: Wert III	0	0	H0_NONE
V98_EXACT	XU007	7	f104v	f104v.2	6	CONTEXT_POSITION	P007	P007	P007	1	qokamdy	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	0	0	H0_NONE
V98_EXACT	XU008	8	f104v	f104v.2	7	CONTEXT_POSITION	P008	P008	P008	1	otarar	Unteranteil I des Anteils I der kalten Zubereitung	Unteranteil I des Anteils I der kalten Zubereitung	0	0	H0_NONE
V98_EXACT	XU009	9	f104v	f104v.2	8	CONTEXT_POSITION	P009	P009	P009	1	alched	Material I, bis Mittelstufe getrocknet und abgeschlossen	Material I, bis Mittelstufe getrocknet und abgeschlossen	0	0	H0_NONE
V98_EXACT	XU010	10	f104v	f104v.2	9	CONTEXT_POSITION	P010	P010	P010	1	otair	Anteil II des kalten Ansatzes	Anteil II des kalten Ansatzes	0	0	H0_NONE
V98_EXACT	XU011	11	f104v	f104v.2	10	CONTEXT_POSITION	P011	P011	P011	1	oram	eine Maßportion	eine Maßportion	0	0	H0_NONE
V98_EXACT	XU012	12	f105r	f105r.2	1	CONTEXT_POSITION	P012	P012	P012	1	dshees	eine abgemessene feuchte Form auf Endstufe	eine abgemessene feuchte Form auf Endstufe	0	0	H0_NONE
V98_EXACT	XU013	13	f105r	f105r.2	2	CONTEXT_POSITION	P013	P013	P013	1	yey	anschließend:	anschließend:	0	0	H0_NONE
V98_EXACT	XU014	14	f105r	f105r.2	3	CONTEXT_POSITION	P014	P014	P014	1	cheey	trocken am Ende des Grades	trocken am Ende des Grades	0	0	H0_NONE
V98_EXACT	XU015	15	f105r	f105r.2	4	CONTEXT_POSITION	P015	P015	P015	1	raiin	Wurzel, Charge III	Wurzel, Charge III	0	0	H0_NONE
V98_EXACT	XU016	16	f105r	f105r.2	5	CONTEXT_POSITION	P016	P016	P016	1	otchdy	kalt-trockene Zubereitung; Anfangsstufe erreicht	kalt-trockene Zubereitung; Anfangsstufe erreicht	0	0	H0_NONE
V98_EXACT	XU017	17	f105r	f105r.2	6	CONTEXT_POSITION	P017	P017	P017	1	qodor	eine Portion des Ansatzes abmessen	eine Portion des Ansatzes abmessen	0	0	H0_NONE
V98_EXACT	XU018	18	f105r	f105r.2	7	CONTEXT_POSITION	P018	P018	P018	1	ches	trockenes Material, Mittelstufe	trockenes Material, Mittelstufe	0	0	H0_NONE
V98_EXACT	XU019	19	f105r	f105r.2	8	CONTEXT_POSITION	P019	P019	P019	1	or	Drogenportion	Drogenportion	0	0	H0_NONE
V98_EXACT	XU020	20	f105r	f105r.2	9	CONTEXT_POSITION	P020	P020	P020	1	cheey	trocken am Ende des Grades	trocken am Ende des Grades	0	0	H0_NONE
V98_EXACT	XU021	21	f105r	f105r.2	10	CONTEXT_POSITION	P021	P021	P021	1	okees	eine heiße Zubereitung auf Endstufe	eine heiße Zubereitung auf Endstufe	0	0	H0_NONE
V98_EXACT	XU022	22	f105r	f105r.2	11	CONTEXT_POSITION	P022	P022	P022	1	odar	Anteil I des Ansatzes abmessen	Anteil I des Ansatzes abmessen	0	0	H0_NONE
V98_EXACT	XU023	23	f105r	f105r.2	12	CONTEXT_POSITION	P023	P023	P023	1	cheody	getrocknete Masse	getrocknete Masse	0	0	H0_NONE
V98_EXACT	XU024	24	f105r	f105r.2	13	CONTEXT_POSITION	P024	P024	P024	1	qody	fertige Zubereitung	fertige Zubereitung	0	0	H0_NONE
V98_EXACT	XU025	25	f105r	f105r.31	1	CONTEXT_POSITION	P025	P025	P025	1	kodeey	vollständig erhitzte und abgeschlossene Zubereitungsdosis	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	0	H0_NONE
V98_EXACT	XU026	26	f105r	f105r.31	2	CONTEXT_POSITION	P026	P026	P026	1	lchl	getrocknetes Holz	getrocknetes Holz	0	0	H0_NONE
V98_EXACT	XU027	27	f105r	f105r.31	3	CONTEXT_POSITION	P027	P027	P027	1	shx	eingeweicht	eingeweicht	0	0	H0_NONE
V98_EXACT	XU028	28	f105r	f105r.31	4	CONTEXT_POSITION	P028	P028	P028	1	ar	Drogenanteil I	Drogenanteil I	0	0	H0_NONE
