owner_id	physical_page	source_panels	visible_owner_or_namespace_de	owner_rule_de	loci	groups	running_groups	address_or_marker_groups
F18R_WHOLE_PLANT	f18r	f18r	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	14	84	84	0
F72R_RING_A	f72r	f72r1	Tierkreis-Ringgruppe A	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	11	59	42	17
F72R_RING_B	f72r	f72r1	Tierkreis-Ringgruppe B	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	6	33	27	6
F72R_RING_C	f72r	f72r1	Tierkreis-Ringgruppe C	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	1	13	13	0
F72R_RING_D	f72r	f72r2	Tierkreis-Ringgruppe D	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	21	63	41	22
F72R_RING_E	f72r	f72r2	Tierkreis-Ringgruppe E	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	10	35	26	9
F72R_RING_F	f72r	f72r2	Tierkreis-Ringgruppe F	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	1	15	15	0
F72R_RING_G	f72r	f72r3	Tierkreis-Ringgruppe G	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	13	65	47	18
F72R_RING_H	f72r	f72r3	Tierkreis-Ringgruppe H	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	12	57	41	16
F72R_RING_I	f72r	f72r3	Tierkreis-Ringgruppe I	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	8	35	27	8
F72R_RING_J	f72r	f72r3	Tierkreis-Ringgruppe J	Ringtext und benachbarte Figuren-/Sternlabels teilen nur diesen lokalen Namensraum.	1	9	9	0
