physical_page	source_panel	locus	kind	paragraph_start	paragraph_end	owner_id	visible_owner_or_namespace_de	owner_rule_de	group_count	surface_sequence	component_sequence	statement_ids	portable_literal_de
f18r	f18r	f18r.1	P	1	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	9	pdrairdy darod yoar ykchol dar om chckhy octhor dal	P+D_ADDR+R+AIR+DY | D_ADDR+AR+OR | Y+K+AR | K+OL | D_ADDR+AR | O+AM_ADDR | CKH+Y | CTH+OR | AL	P1008-S001|P1008-S002	EINSETZEN · TEIL · MERKEN · LAUF · SCHLUSS | TEIL · QUELLE · ANSATZ | POSTEN · GEBEN · QUELLE | GEBEN · FORTSETZEN | TEIL · QUELLE | AUSFÜHREN · INNEN | DURCHLASS · POSTEN | BEREIT · ANSATZ | ZIEL
f18r	f18r	f18r.2	P	0	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	8	otshol qokchol chykchy okchal daiin dy chol dain	OT+CH+OL | OK+OL | OK+CH+Y | OK+CH+AL | AIIN | Y | OL | AIN	P1008-S002	DANACH · NEHMEN · FORTSETZEN | SETZEN · FORTSETZEN | SETZEN · NEHMEN · POSTEN | SETZEN · NEHMEN · ZIEL | MASS | POSTEN | FORTSETZEN | PORTION
f18r	f18r	f18r.3	P	0	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	8	qokchor chor ey or chey qokchol dy ytcharg	OK+CH+OR | CH+OR | E+Y | OR | Y | OK+OL | Y | K+CH+AR+LOCAL_CHAR_G	P1008-S002	SETZEN · NEHMEN · ANSATZ | NEHMEN · ANSATZ | KURZ · POSTEN | ANSATZ | POSTEN | SETZEN · FORTSETZEN | POSTEN | GEBEN · NEHMEN · QUELLE · EINMAL
f18r	f18r	f18r.4	P	0	1	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	5	chor cthor okeor ykchol okain	CH+OR | CTH+OR | OK+OR | K+OL | OK+AIN	P1008-S002	NEHMEN · ANSATZ | BEREIT · ANSATZ | SETZEN · ANSATZ | GEBEN · FORTSETZEN | SETZEN · PORTION
f18r	f18r	f18r.5	P	1	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	6	tchor shor cthaiin cthol chlol chom	T+CH+OR | SH+OR | CTH+AIIN | CTH+OL | OL | HO	P1008-S003	STELLEN · NEHMEN · ANSATZ | HALTEN · ANSATZ | BEREIT · MASS | BEREIT · FORTSETZEN | FORTSETZEN | TEILSTOFF
f18r	f18r	f18r.6	P	0	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	8	ychy kchor dair ytol chcthy dar dar dal	Y | K+CH+OR | D_ADDR+AIR | T+OL | CH+CTH+Y | D_ADDR+AR | D_ADDR+AR | AL	P1008-S003	POSTEN | GEBEN · NEHMEN · ANSATZ | TEIL · LAUF | STELLEN · FORTSETZEN | NEHMEN · BEREIT · POSTEN | TEIL · QUELLE | TEIL · QUELLE | ZIEL
f18r	f18r	f18r.7	P	0	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	6	oshor shaiin cthy sholdy doldy doldaiin	SH+OR | SH+AIIN | CTH+Y | S+OL+D_ADDR+Y | OL+DY | OL+D_ADDR+AIIN	P1008-S003|P1008-S004	HALTEN · ANSATZ | HALTEN · MASS | BEREIT · POSTEN | AUSWÄHLEN · FORTSETZEN · TEIL · POSTEN | FORTSETZEN · SCHLUSS | FORTSETZEN · TEIL · MASS
f18r	f18r	f18r.8	P	0	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	6	qokchor ckhol olody okal dy dary	OK+CH+OR | OL | OL+DY | OK+AL | Y | DA+R+Y	P1008-S004|P1008-S005	SETZEN · NEHMEN · ANSATZ | FORTSETZEN | FORTSETZEN · SCHLUSS | SETZEN · ZIEL | POSTEN | ZWEIT · MERKEN · POSTEN
f18r	f18r	f18r.9	P	0	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	4	chol chcthal okshal chykald	OL | CTH+AL | OK+CH+AL | OK+AL	P1008-S005	FORTSETZEN | BEREIT · ZIEL | SETZEN · NEHMEN · ZIEL | SETZEN · ZIEL
f18r	f18r	f18r.10	P	0	0	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	Die ganze Pflanze ist stummer Artikelbesitzer; Textlage beweist keine einzelne Blatt-, Blüten- oder Wurzelzuordnung.	5	dar shor qokchol ol ydaiin	D_ADDR+AR | SH+OR | OK+OL | OL | Y+D_ADDR+AIIN	P1008-S005	TEIL · QUELLE | HALTEN · ANSATZ | SETZEN · FORTSETZEN | FORTSETZEN | POSTEN · TEIL · MASS
