surface	events	running_events	pages	transfer_class	source_surface	edit_distance	component_recipe	portable_default_de	confidence
adal	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	dal	1	AL	ZIEL	MEDIUM_HIGH
aiin	23	22	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	aiin	0	AIIN	MASS	HIGH
aiiny	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	aiin	1	AIIN	MASS	MEDIUM_HIGH
ain	10	10	f76r|f89r	EXACT_REGISTERED_SURFACE	ain	0	AIN	PORTION	HIGH
ainaly	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ainam	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
air	3	3	f72r|f89r	EXACT_REGISTERED_SURFACE	air	0	AIR	LAUF	HIGH
airal	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
al	16	15	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	al	0	AL	ZIEL	HIGH
alaiiin	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	alaiin	1	AL+AIIN	ZIEL · MASS	MEDIUM_HIGH
alaiin	2	2	f72r	EXACT_REGISTERED_SURFACE	alaiin	0	AL+AIIN	ZIEL · MASS	HIGH
alaly	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
alchdy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	dalchdy	1	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	MEDIUM_HIGH
alif	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
alo	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	al	1	AL	ZIEL	MEDIUM_HIGH
alol	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	kalol	1	K+AL+OL	GEBEN · ZIEL · FORTSETZEN	MEDIUM_HIGH
alolor	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	olor	2	OL+OR	FORTSETZEN · ANSATZ	WORKING
alor	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	lor	1	L+OR	LEITEN · ANSATZ	MEDIUM_HIGH
aloy	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	aly	1	AL+Y	ZIEL · POSTEN	MEDIUM_HIGH
alshy	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	alsy	1	AL+S+Y	ZIEL · AUSWÄHLEN · POSTEN	MEDIUM_HIGH
aly	1	1	f72r	EXACT_REGISTERED_SURFACE	aly	0	AL+Y	ZIEL · POSTEN	HIGH
am	2	2	f72r	EXACT_REGISTERED_SURFACE	am	0	AM_ADDR	INNEN	HIGH
ar	15	14	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	ar	0	AR	QUELLE	HIGH
aral	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ararchodaiin	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
arary	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	parar	2	P+AR+AR	EINSETZEN · QUELLE · QUELLE	WORKING
aroly	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	arol	1	AR+OL	QUELLE · FORTSETZEN	MEDIUM_HIGH
ary	3	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
as	3	3	f76r|f89r	EXACT_REGISTERED_SURFACE	as	0	A_ADDR+S	ORT · AUSWÄHLEN	HIGH
atchor	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	tchor	1	T+CH+OR	STELLEN · NEHMEN · ANSATZ	MEDIUM_HIGH
chal	3	3	f72r|f76r	EXACT_REGISTERED_SURFACE	chal	0	CH+AL	NEHMEN · ZIEL	HIGH
chalaiin	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	alaiin	2	AL+AIIN	ZIEL · MASS	WORKING
chaldy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	chaly	1	CH+AL+Y	NEHMEN · ZIEL · POSTEN	MEDIUM_HIGH
chaly	1	1	f76r	EXACT_REGISTERED_SURFACE	chaly	0	CH+AL+Y	NEHMEN · ZIEL · POSTEN	HIGH
char	1	0	f72r	LOCAL_OWNER_ADDRESS	char	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
chas	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chos	1	CH+O+S	NEHMEN · AUSFÜHREN · AUSWÄHLEN	MEDIUM_HIGH
chcfhdy	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	chocfhy	2	CH+O+CFH+Y	NEHMEN · AUSFÜHREN · TRENNEN · POSTEN	WORKING
chchky	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	chky	2	CHK+Y	BEHANDELN · POSTEN	WORKING
chchs	1	1	f72r	EXACT_REGISTERED_SURFACE	chchs	0	CH+CH+S	NEHMEN · NEHMEN · AUSWÄHLEN	HIGH
chckh	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	chckhy	1	CKH+Y	DURCHLASS · POSTEN	MEDIUM_HIGH
chckheed	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	chckhey	2	CH+CKH+E+Y	NEHMEN · DURCHLASS · KURZ · POSTEN	WORKING
chckhey	1	1	f76r	EXACT_REGISTERED_SURFACE	chckhey	0	CH+CKH+E+Y	NEHMEN · DURCHLASS · KURZ · POSTEN	HIGH
chckhol	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	chckho	1	CKH+O	DURCHLASS · AUSFÜHREN	MEDIUM_HIGH
chckhy	11	11	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	chckhy	0	CKH+Y	DURCHLASS · POSTEN	HIGH
