event_id	physical_page	source_panel	register	locus	line_number	kind	group_index	surface	owner_id	visible_owner_or_namespace_de	transfer_class	source_surface	edit_distance	selection_score	component_recipe	portable_default_de	local_contextual_expansion_de	confidence	statement_id	licensed_close
P1008-E0001	f18r	f18r	HERBAL	f18r.1	1	P	1	pdrairdy	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	VISIBLE_NEW_COMPOSITION	daiidy	3		P+D_ADDR+R+AIR+DY	EINSETZEN · TEIL · MERKEN · LAUF · SCHLUSS	an der große abgebildete Blütenpflanze: einsetzen · teil · merken · lauf · schluss	WORKING_COMPOSITION	P1008-S001	YES
P1008-E0002	f18r	f18r	HERBAL	f18r.1	1	P	2	darod	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	ONE_EDIT_REGISTERED_ALLOGRAPH	daror	1	-4.171	D_ADDR+AR+OR	TEIL · QUELLE · ANSATZ	an der große abgebildete Blütenpflanze: teil · quelle · ansatz	MEDIUM_HIGH	P1008-S002	NO
P1008-E0003	f18r	f18r	HERBAL	f18r.1	1	P	3	yoar	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	ONE_EDIT_REGISTERED_ALLOGRAPH	ykar	1	-1.687	Y+K+AR	POSTEN · GEBEN · QUELLE	an der große abgebildete Blütenpflanze: posten · geben · quelle	MEDIUM_HIGH	P1008-S002	NO
P1008-E0004	f18r	f18r	HERBAL	f18r.1	1	P	4	ykchol	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	ONE_EDIT_REGISTERED_ALLOGRAPH	kchol	1	-0.140	K+OL	GEBEN · FORTSETZEN	an der große abgebildete Blütenpflanze: geben · fortsetzen	MEDIUM_HIGH	P1008-S002	NO
P1008-E0005	f18r	f18r	HERBAL	f18r.1	1	P	5	dar	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	EXACT_REGISTERED_SURFACE	dar	0	100.000	D_ADDR+AR	TEIL · QUELLE	an der große abgebildete Blütenpflanze: teil · quelle	HIGH	P1008-S002	NO
P1008-E0006	f18r	f18r	HERBAL	f18r.1	1	P	6	om	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	EXACT_REGISTERED_SURFACE	om	0	100.000	O+AM_ADDR	AUSFÜHREN · INNEN	an der große abgebildete Blütenpflanze: ausführen · innen	HIGH	P1008-S002	NO
P1008-E0007	f18r	f18r	HERBAL	f18r.1	1	P	7	chckhy	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	EXACT_REGISTERED_SURFACE	chckhy	0	100.000	CKH+Y	DURCHLASS · POSTEN	an der große abgebildete Blütenpflanze: durchlass · posten	HIGH	P1008-S002	NO
P1008-E0008	f18r	f18r	HERBAL	f18r.1	1	P	8	octhor	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	ONE_EDIT_REGISTERED_ALLOGRAPH	cthor	1	1.852	CTH+OR	BEREIT · ANSATZ	an der große abgebildete Blütenpflanze: bereit · ansatz	MEDIUM_HIGH	P1008-S002	NO
P1008-E0009	f18r	f18r	HERBAL	f18r.1	1	P	9	dal	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	EXACT_REGISTERED_SURFACE	dal	0	100.000	AL	ZIEL	an der große abgebildete Blütenpflanze: ziel	HIGH	P1008-S002	NO
P1008-E0010	f18r	f18r	HERBAL	f18r.2	2	P	1	otshol	F18R_WHOLE_PLANT	große abgebildete Blütenpflanze	ONE_EDIT_REGISTERED_ALLOGRAPH	otchol	1	2.557	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	an der große abgebildete Blütenpflanze: danach · nehmen · fortsetzen	MEDIUM_HIGH	P1008-S002	NO
