surface	candidate_id	candidate_class	concrete_working_reading_de	left_support_axes	right_support_axes	context_bridge_hypothesis	literal_identity	pre_gdt805_confidence	countercandidate_de	component_export_credit
chal	CHAL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungseintrag	HOT|COLD|DRY|MOIST|VALUE	CLOSE|DRY|MOIST|VALUE	FIELD_OR_AMOUNT	OPEN	C0	Qualitäts- oder Zustandsfeld	0
chal	CHAL-QUAL	QUALITY_STATE	Qualitäts- oder Zustandsfeld	MATERIAL|PREPARATION|PART	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Stoff- oder Zubereitungseintrag	0
chedal	CHEDAL-MAT	MATERIAL_MEASURE	Material-/Mengenartikel oder Rohstoff	HOT|COLD|DRY|MOIST|VALUE	AMOUNT|VALUE|PART|CLOSE	FIELD_OR_AMOUNT	OPEN	C0	Material-/Mengenfeld	0
chedal	CHEDAL-FIELD	QUALITY_STATE	Material-/Mengenfeld	MATERIAL|PREPARATION|AMOUNT	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Material-/Mengenartikel oder Rohstoff	0
cheol	CHEOL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungseintrag	HOT|COLD|DRY|MOIST|VALUE	CLOSE|DRY|MOIST|VALUE	MATERIA_FIELD	OPEN	C1	Qualitäts- oder Zustandsfeld	0
cheol	CHEOL-QUAL	QUALITY_STATE	Qualitäts- oder Zustandsfeld	MATERIAL|PREPARATION|PART	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Stoff- oder Zubereitungseintrag	0
okail	OKAIL-OPAQUE	OPAQUE_ENTRY	uninterpretierter Eintrag	NONE	NONE	OPAQUE_PRIOR	OPEN	C0	Material- oder Zustandsfeld	0
okal	OKAL-OPAQUE	OPAQUE_ENTRY	Kennstellen-/Systemcode	NONE	NONE	GDT793_OPAQUE_PRIOR	OPEN	C0	Ansatz- oder Materialeintrag	0
okal	OKAL-MAT	MATERIAL_PREPARATION	Ansatz- oder Materialeintrag	HOT|COLD|DRY|MOIST|VALUE	MATERIAL|PREPARATION|AMOUNT|PART|CLOSE	MATERIA_FIELD_OR_AMOUNT	OPEN	C0	Kennstellen-/Systemcode	0
ol	OL-CARRIER	GENERAL_CARRIER	Ansatz-/Zubereitungsträger	HOT|COLD|DRY|MOIST|AMOUNT|PROCESS	CLOSE|DRY|MOIST|VALUE|AMOUNT	FIELD_AND_AMOUNT	OPEN	C2	Öl, Wasser oder Wein	0
ol	OL-MEDIUM	SPECIFIC_MEDIUM	bestimmtes Medium: Öl, Wasser oder Wein	PROCESS|PREPARATION	CLOSE|AMOUNT	LIQUID_SPECIFIC_BRIDGE	OPEN	C0	allgemeiner Ansatz-/Zubereitungsträger	0
otal	OTAL-MAT	MATERIAL_PREPARATION	Ausgangsansatz oder Stoffzubereitung	HOT|COLD|DRY|MOIST|VALUE	CLOSE|DRY|MOIST|VALUE	MATERIA_FIELD_OR_AMOUNT	OPEN	C1	Qualitäts- oder Zustandsfeld	0
otal	OTAL-QUAL	QUALITY_STATE	Qualitäts- oder Zustandsfeld	MATERIAL|PREPARATION|PART	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Ausgangsansatz oder Stoffzubereitung	0
qokeol	QOKEOL-PROC	PROCESS	Behandlungs- oder Prozessfeld	MATERIAL|PREPARATION|PART	CLOSE|DRY|MOIST	PRESCRIPTIVE_FIELD	OPEN	C0	Zubereitungs- oder Stofffeld	0
qokeol	QOKEOL-MAT	MATERIAL_PREPARATION	Zubereitungs- oder Stofffeld	HOT|COLD|DRY|MOIST|PROCESS	VALUE|CLOSE	MATERIA_FIELD	OPEN	C0	Behandlungs- oder Prozessfeld	0
qokol	QOKOL-PROC	PROCESS	Behandlungs- oder Prozessfeld	MATERIAL|PREPARATION|PART	CLOSE|DRY|MOIST	PRESCRIPTIVE_FIELD	OPEN	C0	Zubereitungs- oder Stofffeld	0
qokol	QOKOL-MAT	MATERIAL_PREPARATION	Zubereitungs- oder Stofffeld	HOT|COLD|DRY|MOIST|PROCESS	VALUE|CLOSE	MATERIA_FIELD	OPEN	C0	Behandlungs- oder Prozessfeld	0
qotal	QOTAL-QUAL	QUALITY_STATE	Qualitäts- oder Zustandsfeld	MATERIAL|PREPARATION|PART	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Stoff- oder Zubereitungsfeld	0
qotal	QOTAL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungsfeld	HOT|COLD|DRY|MOIST|VALUE	CLOSE|DRY|MOIST|VALUE	MATERIA_FIELD	OPEN	C0	Qualitäts- oder Zustandsfeld	0
sail	SAIL-OPAQUE	OPAQUE_ENTRY	uninterpretierter Eintrag	NONE	NONE	OPAQUE_PRIOR	OPEN	C0	Stoffart oder Mengenfeld	0
