component_id	visible_realizations	compact_value_de	rescued_surfaces	use_in_this_pass_en
AIIN_MEASURE	aiin	Sollmass	solkaiin|qotedaiin	Measures collection or the following short step.
AL_TO	al	zur Zielstelle	raly|chckhal|sheckhal|rsheal|schoal	Supplies target rather than a vessel or body-part noun.
AR_FROM	ar	von dort; daraus	chary|lar|cheedar	Supplies source or origin.
CHED_TRANSFER	chd|ched	umsetzen	cheedar|shecthedchy	Productive transfer core.
CHEEY_CLEAR_FLOW	cheey|shey	Klarlauf	lcheey	Learned clear-flow card can be selected by outward L.
CKH_THROUGH	ckh	durchleiten	sheckhy|qockhey|chckhal|sheckhal	Expands the existing through-pass family.
CTH_READY	cth	bereit	shecthy|oltchy|shecthedchy|octheol|qoctholy	Ready-state core composes with grade, item, transfer and continuation.
E_SHORT	e	kurz	sheckhy|qockhey|chckhal|sheckhal|rsheal|teol|keol|qotedaiin	Short grade in licensed process environments.
EE_LONG	ee	laenger	sheey	Long grade in the local rest family.
EEE_FULL	eee	vollstaendig	cheeety	Full grade; carrier remains locally learned.
HO_INGREDIENT	cho|sho	Zutat	choy|schoal	Ingredient/object core from the selected medium pass.
L_OUT	l	ab; aus	lar|lcheey|lol	Outward selector, now extended beyond CHED in three locally coherent cards.
OK_SET	ok|qok	ansetzen	qockhey	Activates the short through-pass.
OL_CONTINUE	ol|chol|qol	weiterfuehren	qotchol|oltchy|qolchey|octheol|qoctholy|teol|keol|rol|lol|otytchol	Continuation core explains ten former whole-card guesses.
OT_FOLLOW	ot|qot	danach; naechster	qotchol|qotedaiin|otytchol	Orders the following item, measure or continuation.
SH_REST	sh	ruhen	sheey|rsheal	Bound learned rest family, not a global letter meaning.
SOLK_COLLECT	solk	sammeln	solkaiin	Collection core selects a target measure.
Y_CURRENT	y|chy wrapper	dieser Arbeitsposten	chary|raly|choy|sheckhy|qockhey|shecthy|qolchey|oltchy|shecthedchy|qoctholy|cheeety|sheey|otytchol	Current item remains distinct from closure.
