decision_order	group_serial	diagram_id	page	locus	surface	parse_alternatives	selected_parse	selected_atomic_value_de	new_core_support
1	42	A1	f67r2	f67r2.17	soraiir	OR+A_ADDR+I_COUNT+I_COUNT+R	OR+A_ADDR+I_COUNT+I_COUNT+R	Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + abkuehlen	I_COUNT
2	81	A1	f67r2	f67r2.33	dokan	D_ADDR+OK+AN_SECTION	D_ADDR+OK+AN_SECTION	Teiladresse + ansetzen + Abschnitt	AN_SECTION
3	85	A1	f67r2	f67r2.34	oeoldan	O+E+OL+D_ADDR+AN_SECTION	O+E+OL+D_ADDR+AN_SECTION	Arbeitsgang + kurz + fortsetzen + Teiladresse + Abschnitt	AN_SECTION
4	115	A1	f67r2	f67r2.45	odaiiin	O+D_ADDR+A_ADDR+I_COUNT+IIN	O+D_ADDR+A_ADDR+I_COUNT+IIN	Arbeitsgang + Teiladresse + Nebenadresse + Zaehlstrich + Sollstufe	I_COUNT
5	154	A1	f67r2	f67r2.71	oran	OR+AN_SECTION	OR+AN_SECTION	Ansatz + Abschnitt	AN_SECTION
6	218	A2	f68r1	f68r1.4	okaiiin	OK+A_ADDR+I_COUNT+IIN	OK+A_ADDR+I_COUNT+IIN	ansetzen + Nebenadresse + Zaehlstrich + Sollstufe	I_COUNT
7	262	A3	f69v	f69v.1	okoirsh	OK+O+I_COUNT+R+SH	OK+O+I_COUNT+R+SH	ansetzen + Arbeitsgang + Zaehlstrich + abkuehlen + halten	I_COUNT
8	271	A3	f69v	f69v.1	doiir	D_ADDR+O+I_COUNT+I_COUNT+R	D_ADDR+O+I_COUNT+I_COUNT+R	Teiladresse + Arbeitsgang + Zaehlstrich + Zaehlstrich + abkuehlen	I_COUNT
9	301	A3	f69v	f69v.2	iokeeor	I_COUNT+OK+EE+OR	I_COUNT+OK+EE+OR	Zaehlstrich + ansetzen + laenger + Ansatz	I_COUNT
10	311	A3	f69v	f69v.2	daiial	D_ADDR+A_ADDR+I_COUNT+I_COUNT+AL	D_ADDR+A_ADDR+I_COUNT+I_COUNT+AL	Teiladresse + Nebenadresse + Zaehlstrich + Zaehlstrich + Stelle	I_COUNT
11	381	A3	f69v	f69v.20	saiir	S_ADDR+A_ADDR+I_COUNT+I_COUNT+R	S_ADDR+A_ADDR+I_COUNT+I_COUNT+R	Sternbezug + Nebenadresse + Zaehlstrich + Zaehlstrich + abkuehlen	I_COUNT
