unit_no	scope	unit_kind	surface_or_component	default_value_de	context_rule_de	support_groups_or_events	source
1	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AIIN	Mass	Komponiere AIIN mit seinen Nachbarbausteinen.	10	PASS463_SHARED_COMPONENT
2	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AIN	Portion	Komponiere AIN mit seinen Nachbarbausteinen.	8	PASS463_SHARED_COMPONENT
3	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AIR	Lauf	Komponiere AIR mit seinen Nachbarbausteinen.	5	PASS463_SHARED_COMPONENT
4	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AL	Stelle	Komponiere AL mit seinen Nachbarbausteinen.	22	PASS463_SHARED_COMPONENT
5	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	AR	von dort	Komponiere AR mit seinen Nachbarbausteinen.	9	PASS463_SHARED_COMPONENT
6	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CH	abziehen	Komponiere CH mit seinen Nachbarbausteinen.	12	PASS463_SHARED_COMPONENT
7	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CHD	umsetzen	Komponiere CHD mit seinen Nachbarbausteinen.	22	PASS463_SHARED_COMPONENT
8	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CHK	waermen	Komponiere CHK mit seinen Nachbarbausteinen.	4	PASS463_SHARED_COMPONENT
9	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CKH	Durchlass	Komponiere CKH mit seinen Nachbarbausteinen.	7	PASS463_SHARED_COMPONENT
10	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CKHE	seihen	Komponiere CKHE mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT
11	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	CTH	bereit	Komponiere CTH mit seinen Nachbarbausteinen.	8	PASS463_SHARED_COMPONENT
12	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	DY	Schluss	Komponiere DY mit seinen Nachbarbausteinen.	36	PASS463_SHARED_COMPONENT
13	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	E	kurz	Komponiere E mit seinen Nachbarbausteinen.	28	PASS463_SHARED_COMPONENT
14	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	EE	laenger	Komponiere EE mit seinen Nachbarbausteinen.	16	PASS463_SHARED_COMPONENT
15	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	EEE	vollstaendig	Komponiere EEE mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT
16	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	IIN	Sollstufe	Komponiere IIN mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT
17	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	K	zufuehren	Komponiere K mit seinen Nachbarbausteinen.	17	PASS463_SHARED_COMPONENT
18	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	L	fuehren	Komponiere L mit seinen Nachbarbausteinen.	17	PASS463_SHARED_COMPONENT
19	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	LDDY	befestigen und schliessen	Komponiere LDDY mit seinen Nachbarbausteinen.	1	PASS463_SHARED_COMPONENT
20	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	LS	abfuehren	Komponiere LS mit seinen Nachbarbausteinen.	1	PASS463_SHARED_COMPONENT
21	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	LSH	Waschgang	Komponiere LSH mit seinen Nachbarbausteinen.	2	PASS463_SHARED_COMPONENT
22	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	O	Arbeitsgang	Komponiere O mit seinen Nachbarbausteinen.	16	PASS463_SHARED_COMPONENT
23	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	OK	ansetzen	Komponiere OK mit seinen Nachbarbausteinen.	23	PASS463_SHARED_COMPONENT
24	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	OL	fortsetzen	Komponiere OL mit seinen Nachbarbausteinen.	24	PASS463_SHARED_COMPONENT
25	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	OR	Ansatz	Komponiere OR mit seinen Nachbarbausteinen.	10	PASS463_SHARED_COMPONENT
26	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	OT	danach	Komponiere OT mit seinen Nachbarbausteinen.	16	PASS463_SHARED_COMPONENT
27	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	P	hinein	Komponiere P mit seinen Nachbarbausteinen.	3	PASS463_SHARED_COMPONENT
28	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	R	abkuehlen	Komponiere R mit seinen Nachbarbausteinen.	6	PASS463_SHARED_COMPONENT
29	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	SH	halten	Komponiere SH mit seinen Nachbarbausteinen.	19	PASS463_SHARED_COMPONENT
30	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	SHED	absetzen	Komponiere SHED mit seinen Nachbarbausteinen.	3	PASS463_SHARED_COMPONENT
31	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	SOLK	auffangen	Komponiere SOLK mit seinen Nachbarbausteinen.	5	PASS463_SHARED_COMPONENT
32	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	T	eintragen	Komponiere T mit seinen Nachbarbausteinen.	9	PASS463_SHARED_COMPONENT
33	SHARED_PROSE_ASTRO	PRODUCTIVE_COMPONENT	Y	dies	Komponiere Y mit seinen Nachbarbausteinen.	57	PASS463_SHARED_COMPONENT
