writer_order	event_id	statement	old_local_item	component_parse	new_syntax_item	concrete_reading_de	local_value_removed
11	E011	H1-S002	X:H1-S002	OK+Y	COMPONENT_CHAIN:OK+Y	abgezogene Flüssigkeitsfraktion ansetzen	YES
12	E012	H1-S002	X:H1-S002	OT+CH+OL	COMPONENT_CHAIN:OT+CH+OL	danach weiter abziehen	YES
13	E013	H1-S002	X:H1-S002	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
14	E014	H1-S002	X:H1-S002	CTH+Y	COMPONENT_CHAIN:CTH+Y	bereit	YES
24	E024	H2-S002	X:H2-S002	OT+CH+OR	COMPONENT_CHAIN:OT+CH+OR	danach Ansatz abziehen	YES
25	E025	H2-S002	X:H2-S002	OR	COMPONENT_CHAIN:OR	Ansatz	YES
26	E026	H2-S002	X:H2-S002	OT+OL	COMPONENT_CHAIN:OT+OL	danach fortsetzen	YES
27	E027	H2-S002	X:H2-S002	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
28	E028	H2-S002	X:H2-S002	OL+OR	COMPONENT_CHAIN:OL+OR	weiterer Ansatz	YES
29	E029	H2-S002	X:H2-S002	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
30	E030	H2-S002	X:H2-S002	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
31	E031	H2-S002	X:H2-S002	AR	COMPONENT_CHAIN:AR	aus dem laufenden Pflanzenansatz	YES
46	E046	H3-S002	X:H3-S002	SH+O+Y+T+Y	COMPONENT_CHAIN:SH+O+Y+T+Y	Fraktion des Empfangsbestands halten und füllen	YES
47	E047	H3-S003	X:H3-S003	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
48	E048	H3-S003	X:H3-S003	Y	COMPONENT_CHAIN:Y	Fraktion des Empfangsbestands	YES
49	E049	H3-S003	X:H3-S003	K+Y	COMPONENT_CHAIN:K+Y	Fraktion des Empfangsbestands zuführen	YES
50	E050	H3-S003	X:H3-S003	Y	COMPONENT_CHAIN:Y	Fraktion des Empfangsbestands	YES
51	E051	H3-S003	X:H3-S003	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
52	E052	H3-S004	X:H3-S004	OT+Y	COMPONENT_CHAIN:OT+Y	nächster Posten	YES
53	E053	H3-S004	X:H3-S004	OK+OL	COMPONENT_CHAIN:OK+OL	weiter ansetzen	YES
54	E054	H3-S004	X:H3-S004	CTH+Y	COMPONENT_CHAIN:CTH+Y	bereit	YES
55	E055	H3-S004	X:H3-S004	Y	COMPONENT_CHAIN:Y	nächster Arbeitsposten	YES
56	E056	H4-S001	X:H4-S001	OK+AIIN	COMPONENT_CHAIN:OK+AIIN	Sollmaß setzen	YES
57	E057	H4-S001	X:H4-S001	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
58	E058	H4-S001	X:H4-S001	Y+K+AIN	COMPONENT_CHAIN:Y+K+AIN	eine Stoffportion davon zuführen	YES
59	E059	H4-S001	X:H4-S001	Y+K+AIN	COMPONENT_CHAIN:Y+K+AIN	eine Stoffportion davon zuführen	YES
60	E060	H4-S001	X:H4-S001	O+DY	COMPONENT_CHAIN:O+DY	Arbeitsgang abschließen	YES
61	E061	H4-S002	X:H4-S002	AIIN	COMPONENT_CHAIN:AIIN	Sollmaß	YES
62	E062	H4-S002	X:H4-S002	CHD+Y	COMPONENT_CHAIN:CHD+Y	zweite Teilportion vom Pflanzenmaterial umsetzen	YES
63	E063	H4-S002	X:H4-S002	TALAM	COMPONENT_CHAIN:TALAM	verwahren	YES
64	E064	H4-S003	R02	Y+K+AIIN	COMPONENT_CHAIN:Y+K+AIIN	zweite Teilportion vom Pflanzenmaterial auf Sollmaß zuführen	YES
65	E065	H4-S003	R02	CHEO+AR	COMPONENT_CHAIN:CHEO+AR	Auszug aus der Quelle	YES
66	E066	H4-S003	R02	CHK+EE+Y	COMPONENT_CHAIN:CHK+EE+Y	zweite Teilportion vom Pflanzenmaterial länger wärmen	YES
67	E067	H4-S003	R02	OL+DY	COMPONENT_CHAIN:OL+DY	fortsetzen; Schluss	YES
83	E083	H5-S002	X:H5-S002	OL	COMPONENT_CHAIN:OL	fortsetzen	YES
84	E084	H5-S002	X:H5-S002	HO+Y	COMPONENT_CHAIN:HO+Y	diese Zutat	YES
85	E085	H5-S002	X:H5-S002	OK+Y	COMPONENT_CHAIN:OK+Y	verwende Zugabe	YES
86	E086	H5-S002	X:H5-S002	CH+EE+CKH+O+DY	COMPONENT_CHAIN:CH+EE+CKH+O+DY	länger durch den Durchlass; Schluss	YES
87	E087	H5-S003	X:H5-S003	SH	COMPONENT_CHAIN:SH	halten	YES
88	E088	H5-S003	X:H5-S003	HO	COMPONENT_CHAIN:HO	Zutat	YES
89	E089	H5-S003	X:H5-S003	K+E+Y	COMPONENT_CHAIN:K+E+Y	Zugabe kurz zuführen	YES
90	E090	H5-S003	X:H5-S003	OK+OK+Y	COMPONENT_CHAIN:OK+OK+Y	Zugabe erneut ansetzen	YES
91	E091	H5-S004	X:H5-S004	OK+Y	COMPONENT_CHAIN:OK+Y	Zugabe ansetzen	YES
92	E092	H5-S004	X:H5-S004	OK+CHEO	COMPONENT_CHAIN:OK+CHEO	Auszug ansetzen	YES
93	E093	H5-S004	X:H5-S004	K+AL	COMPONENT_CHAIN:K+AL	an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ zuführen	YES
