old_item_id	old_type	support_statements	ledger_events	old_value_de	replacement	retain_as_word	retain_as_procedure_macro
R01	SMALL_RECURRENT_RESIDUAL	B3-S009|B3-S030	5	verwende Gefäßflüssigkeit	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
R02	SMALL_RECURRENT_RESIDUAL	H4-S003|B4-S010	5	fortsetzen; Schluss	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
R03	SMALL_RECURRENT_RESIDUAL	B1-S004|B2-S008|B4-S016	10	absetzen; Schluss	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
X:B1-S006	STATEMENT_RESIDUAL	B1-S006	4	bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ abkühlen	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
X:B1-S008	STATEMENT_RESIDUAL	B1-S008	5	kurz wärmen; fortsetzen; absetzen; Schluss	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
X:B1-S011	STATEMENT_RESIDUAL	B1-S011	2	durchführen; verwende den laufenden Stationsansatz	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
X:B1-S014	STATEMENT_RESIDUAL	B1-S014	5	laufender Stationsansatz umsetzen; laufender Stationsansatz auffangen	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
X:B1-S015	STATEMENT_RESIDUAL	B1-S015	2	aufgefangener Bestand des laufender Stationsansatz kurz füllen; Ansatz umsetzen; Schluss	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
X:B1-S016	STATEMENT_RESIDUAL	B1-S016	4	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen; länger ansetzen; fortsetzen; absetzen; Schluss	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
X:B1-S017	STATEMENT_RESIDUAL	B1-S017	3	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“; kurz fortsetzen; umsetzen; Schluss	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
X:B1-S018	STATEMENT_RESIDUAL	B1-S018	4	laufender Stationsansatz führen; kurz halten; Sollstufe; länger auffangen; Schluss	G01 + COMPONENT_CHAIN OR LEARNED_WHOLE_CARD	NO	NO
