physical_page	page_model	events	productive_compositions	learned_formula_cards	local_nomenclator_or_addresses	current_page_reading_de
f10r	PFLANZENZUBEREITUNG_MIT_BEREITSCHAFTSPRUEFUNG	92	51	41	0	Vom gezeigten Kraut werden nacheinander Teile entnommen, in mehreren Gängen verarbeitet und bis zum gebrauchsfertigen Zustand geführt. Weitere Teile werden nach Sollmaß bereitgestellt und durch einen Durchlass weitergegeben. Der erste große Arbeitsgang schließt; der zweite bleibt als Fortsetzung offen.
f11r	GEHALTENE_UND_ABGETRENNTE_PFLANZENPORTION	59	32	27	0	Halte die bezeichneten Pflanzenteile, entnimm davon Portionen, gib sie in den Ansatz und arbeite sie weiter. Nach erneutem Halten wird ein Teil getrennt oder umgeleitet; der erste Zug schließt, der zweite Artikelzug bleibt offen.
f13r	FUENF_KURZE_PFLANZENARBEITSGAENGE	77	47	30	0	Bereite den Ansatz, setze das bezeichnete Material ein und entnimm die benötigten Teile. Gib nach Sollmaß zu, halte den Posten, führe ihn durch den angegebenen Gang und schließe vier kurze Arbeitsschritte. Ein letzter Zusatz- und Ansatzschritt bleibt zur Fortsetzung offen.
f55v	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	106	51	55	0	Setze die Pflanzenzubereitung an und gib ihre Bestandteile in mehreren notierten Portionen zu. Stelle, behandle und versetze den Ansatz zwischen den angegebenen Stellen; entnimm zwischendurch Proben und führe sie durch den Durchlass. Vier Teilgänge schließen, der lange Hauptgang bleibt offen.
f56r	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	105	59	46	0	Entnimm aus dem gezeigten Pflanzenmaterial wiederholt kleine Anteile und setze sie in mehreren Stufen neu an. Gib weitere Anteile zu, halte und prüfe einzelne Züge und führe das Arbeitsgut zur nächsten Stelle. Zwei große Gänge schließen; der letzte bleibt als anschließende Verwendung offen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	418	159	249	10	Arbeite die gezeigten Bade- und Stationsposten zellenweise ab: ansetzen, kurz oder länger halten, zur nächsten Stelle umsetzen, dort neu ansetzen und den jeweiligen Schritt schließen. Entnahme, Zugabe, Auffangen und Absetzen erscheinen als lokale Varianten. Fast jede Zelle ist ein eigener kleiner Arbeitsauftrag, nicht Teil eines einzigen langen Satzes.
f81v	ANWENDUNGS_UND_TRANSFERFOLGE	255	118	135	2	Setze den jeweiligen Posten an der gezeigten Station an, gib die bezeichnete Menge zu und halte sie für die notierte Stufe. Führe das Arbeitsgut danach über den nächsten Lauf, setze es dort neu an und lass einzelne Züge absetzen. Die Seite ist eine Folge geschlossener Anwendungs- und Transferzellen.
f82r	MARKIERTE_STATIONSFOLGE_MIT_DURCHLASS	291	126	152	13	Wähle an jeder dargestellten Station den aktiven Posten, setze ihn an, markiere seinen Zustand und führe ihn über Anschluss oder Durchlass weiter. Wiederhole Zugabe, Halten und Umsetzen gemäß der örtlichen Zeichnung; fange einzelne Ausgänge auf. Fast alle Stationszellen schließen für sich.
f83r	VARIANTENREGISTER_FUER_UMSETZEN_UND_ABSETZEN	345	165	176	4	Diese Seite verzeichnet viele kurze Varianten desselben Stationsbetriebs: auswählen, ansetzen, halten, umsetzen, am neuen Ort wieder ansetzen und schließlich absetzen oder auffangen. Die sichtbaren Becken und Verbindungen bestimmen jeweils den Besitzer; der Text liefert die lokale Handlung und Stufe. Es gibt keinen einzigen durchgehenden Kreislauf, sondern viele abgeschlossene Varianten.
f67r2	RING_UND_TABELLENPOSTEN_AUSWAEHLEN	190	91	35	64	Wähle den bezeichneten Ring- oder Tabellenposten, führe die für ihn eingetragene Operation aus und wechsle zur zugeordneten Stelle oder Stufe. Wiederholtes Auswählen, Einstellen und Kennzeichnen spricht eine Nachschlagetafel, nicht eine fortlaufende Pflanzen- oder Badrezeptur. Nur wenige Blöcke schließen ausdrücklich.
f68r1	STERNSTELLEN_KURZ_ZUORDNEN	65	25	6	34	Entnimm oder wähle den bezeichneten Eintrag, führe seine lokale Anweisung aus und ordne ihn der markierten Sternstelle zu. Die drei Textblöcke begleiten räumliche Stationen; sie ergeben keine feste Umlaufrichtung und keine Verbindung zur benachbarten 28er-Seite.
f69v	DREI_GETRENNTE_HIMMELSRAD_NAMENSRAEUME	140	0	0	140	Die Seite hat drei getrennte Adressräume. Das linke Rad besitzt 28 lokale Plätze; die beiden anderen Räder haben eigene Klassen und Einträge. Die Karten ergeben keine lineare 28-Schritt-Anweisung.
f70v	WIDDERRAD_MIT_STERNFIGUREN|FISCHRING_MIT_STERNFIGUREN	218	0	0	218	Die Ringtexte bezeichnen Figurenplätze des Widderrads: Reihe, Klasse, nächster Platz, Grad, Quell- oder Zielstelle und lokaler Wert. AIR bedeutet hier Ringlauf, nicht Wasser. Die Ringtexte bezeichnen die Plätze und Unterplätze des Fischpaars, wählen die jeweilige Reihe und tragen Grad oder Wert ein. Auch hier sind die Karten Adressen, keine Werkstattverben.
f88r	ZUTATEN_UND_VORRATSREGISTER	150	84	50	16	Wähle aus den bezeichneten Vorrats- oder Zutatenposten, entnimm den nötigen Anteil, setze die Zubereitung an und gib weitere Bestandteile zu. Halte, prüfe und verteile den Ansatz auf die angegebenen Stellen; einzelne Passagen führen durch einen Durchlass. Die Seite liest sich als kompaktes Zubereitungs- und Zuteilungsregister.
