latent_item	occurrences	interpretation
tacch	841	ANONYMOUS_OR_LITERAL_EXPLORATORY
en	558	ANONYMOUS_OR_LITERAL_EXPLORATORY
diste	510	ANONYMOUS_OR_LITERAL_EXPLORATORY
acch	453	ANONYMOUS_OR_LITERAL_EXPLORATORY
wiste	436	ANONYMOUS_OR_LITERAL_EXPLORATORY
dise	408	ANONYMOUS_OR_LITERAL_EXPLORATORY
dien	396	ANONYMOUS_OR_LITERAL_EXPLORATORY
am	375	ANONYMOUS_OR_LITERAL_EXPLORATORY
em	367	ANONYMOUS_OR_LITERAL_EXPLORATORY
wise	326	ANONYMOUS_OR_LITERAL_EXPLORATORY
geusse	325	ANONYMOUS_OR_LITERAL_EXPLORATORY
tam	321	ANONYMOUS_OR_LITERAL_EXPLORATORY
geusste	307	ANONYMOUS_OR_LITERAL_EXPLORATORY
geuach	284	ANONYMOUS_OR_LITERAL_EXPLORATORY
geuste	272	ANONYMOUS_OR_LITERAL_EXPLORATORY
te	262	ANONYMOUS_OR_LITERAL_EXPLORATORY
an	260	ANONYMOUS_OR_LITERAL_EXPLORATORY
eusse	258	ANONYMOUS_OR_LITERAL_EXPLORATORY
geuacch	257	ANONYMOUS_OR_LITERAL_EXPLORATORY
euacch	255	ANONYMOUS_OR_LITERAL_EXPLORATORY
tan	251	ANONYMOUS_OR_LITERAL_EXPLORATORY
w	245	ANONYMOUS_OR_LITERAL_EXPLORATORY
e	236	ANONYMOUS_OR_LITERAL_EXPLORATORY
wie	227	ANONYMOUS_OR_LITERAL_EXPLORATORY
die	227	ANONYMOUS_OR_LITERAL_EXPLORATORY
diem	226	ANONYMOUS_OR_LITERAL_EXPLORATORY
tach	210	ANONYMOUS_OR_LITERAL_EXPLORATORY
eracch	197	ANONYMOUS_OR_LITERAL_EXPLORATORY
disse	192	ANONYMOUS_OR_LITERAL_EXPLORATORY
erste	191	ANONYMOUS_OR_LITERAL_EXPLORATORY
geuan	190	ANONYMOUS_OR_LITERAL_EXPLORATORY
wien	185	ANONYMOUS_OR_LITERAL_EXPLORATORY
ersse	183	ANONYMOUS_OR_LITERAL_EXPLORATORY
euam	176	ANONYMOUS_OR_LITERAL_EXPLORATORY
disen	173	ANONYMOUS_OR_LITERAL_EXPLORATORY
eram	172	ANONYMOUS_OR_LITERAL_EXPLORATORY
euan	164	ANONYMOUS_OR_LITERAL_EXPLORATORY
geuam	159	ANONYMOUS_OR_LITERAL_EXPLORATORY
wisse	158	ANONYMOUS_OR_LITERAL_EXPLORATORY
euach	156	ANONYMOUS_OR_LITERAL_EXPLORATORY
dite	155	ANONYMOUS_OR_LITERAL_EXPLORATORY
geue	153	ANONYMOUS_OR_LITERAL_EXPLORATORY
ere	153	ANONYMOUS_OR_LITERAL_EXPLORATORY
eran	152	ANONYMOUS_OR_LITERAL_EXPLORATORY
gen	148	ANONYMOUS_OR_LITERAL_EXPLORATORY
euste	145	ANONYMOUS_OR_LITERAL_EXPLORATORY
wacch	142	ANONYMOUS_OR_LITERAL_EXPLORATORY
diduie	140	ANONYMOUS_OR_LITERAL_EXPLORATORY
eusste	139	ANONYMOUS_OR_LITERAL_EXPLORATORY
ersste	135	ANONYMOUS_OR_LITERAL_EXPLORATORY
eue	127	ANONYMOUS_OR_LITERAL_EXPLORATORY
drie	119	ANONYMOUS_OR_LITERAL_EXPLORATORY
geuse	117	ANONYMOUS_OR_LITERAL_EXPLORATORY
wisen	115	ANONYMOUS_OR_LITERAL_EXPLORATORY
ndiste	114	ANONYMOUS_OR_LITERAL_EXPLORATORY
erach	111	ANONYMOUS_OR_LITERAL_EXPLORATORY
m	110	ANONYMOUS_OR_LITERAL_EXPLORATORY
geuen	108	ANONYMOUS_OR_LITERAL_EXPLORATORY
ten	107	ANONYMOUS_OR_LITERAL_EXPLORATORY
tacm	106	ANONYMOUS_OR_LITERAL_EXPLORATORY
disem	104	ANONYMOUS_OR_LITERAL_EXPLORATORY
eren	103	ANONYMOUS_OR_LITERAL_EXPLORATORY
wiem	100	ANONYMOUS_OR_LITERAL_EXPLORATORY
diete	98	ANONYMOUS_OR_LITERAL_EXPLORATORY
euen	94	ANONYMOUS_OR_LITERAL_EXPLORATORY
disete	92	ANONYMOUS_OR_LITERAL_EXPLORATORY
tal	92	ANONYMOUS_OR_LITERAL_EXPLORATORY
ach	92	ANONYMOUS_OR_LITERAL_EXPLORATORY
gerste	92	ANONYMOUS_OR_LITERAL_EXPLORATORY
gere	91	ANONYMOUS_OR_LITERAL_EXPLORATORY
euse	89	ANONYMOUS_OR_LITERAL_EXPLORATORY
wisste	87	ANONYMOUS_OR_LITERAL_EXPLORATORY
al	86	ANONYMOUS_OR_LITERAL_EXPLORATORY
etacch	86	ANONYMOUS_OR_LITERAL_EXPLORATORY
didrie	85	ANONYMOUS_OR_LITERAL_EXPLORATORY
eusen	84	ANONYMOUS_OR_LITERAL_EXPLORATORY
erse	83	ANONYMOUS_OR_LITERAL_EXPLORATORY
wam	82	ANONYMOUS_OR_LITERAL_EXPLORATORY
erdie	81	ANONYMOUS_OR_LITERAL_EXPLORATORY
geracch	80	ANONYMOUS_OR_LITERAL_EXPLORATORY
geudie	79	ANONYMOUS_OR_LITERAL_EXPLORATORY
diam	75	ANONYMOUS_OR_LITERAL_EXPLORATORY
eudie	75	ANONYMOUS_OR_LITERAL_EXPLORATORY
wen	74	ANONYMOUS_OR_LITERAL_EXPLORATORY
gersste	74	ANONYMOUS_OR_LITERAL_EXPLORATORY
n	74	ANONYMOUS_OR_LITERAL_EXPLORATORY
acm	74	ANONYMOUS_OR_LITERAL_EXPLORATORY
macch	73	ANONYMOUS_OR_LITERAL_EXPLORATORY
wach	73	ANONYMOUS_OR_LITERAL_EXPLORATORY
