source_unit	latent_or_plaintext_unit	mapping_probability	context_restriction	occurrences	counterexamples
a	a	1.0	ALL	14624	all nonchosen mappings under frozen deterministic key
b	y	1.0	ALL	8	all nonchosen mappings under frozen deterministic key
c	d	1.0	ALL	13430	all nonchosen mappings under frozen deterministic key
d	t	1.0	ALL	13224	all nonchosen mappings under frozen deterministic key
e	s	1.0	ALL	20288	all nonchosen mappings under frozen deterministic key
f	b	1.0	ALL	517	all nonchosen mappings under frozen deterministic key
g	o	1.0	ALL	112	all nonchosen mappings under frozen deterministic key
h	i	1.0	ALL	18036	all nonchosen mappings under frozen deterministic key
i	c	1.0	ALL	11854	all nonchosen mappings under frozen deterministic key
j	f	1.0	ALL	6	all nonchosen mappings under frozen deterministic key
k	u	1.0	ALL	11051	all nonchosen mappings under frozen deterministic key
l	n	1.0	ALL	10663	all nonchosen mappings under frozen deterministic key
m	l	1.0	ALL	1122	all nonchosen mappings under frozen deterministic key
n	h	1.0	ALL	6220	all nonchosen mappings under frozen deterministic key
o	e	1.0	ALL	25882	all nonchosen mappings under frozen deterministic key
p	v	1.0	ALL	1676	all nonchosen mappings under frozen deterministic key
q	g	1.0	ALL	5440	all nonchosen mappings under frozen deterministic key
r	m	1.0	ALL	7675	all nonchosen mappings under frozen deterministic key
s	w	1.0	ALL	7390	all nonchosen mappings under frozen deterministic key
t	r	1.0	ALL	7088	all nonchosen mappings under frozen deterministic key
u	k	1.0	ALL	2	all nonchosen mappings under frozen deterministic key
v	z	1.0	ALL	10	all nonchosen mappings under frozen deterministic key
x	z	1.0	ALL	44	all nonchosen mappings under frozen deterministic key
y	e	1.0	ALL	17881	all nonchosen mappings under frozen deterministic key
z	p	1.0	ALL	3	all nonchosen mappings under frozen deterministic key
<MANUAL_GROUP_BOUNDARY>	 	1.0	MANUAL_BOUNDARY_ONLY	32826	all nonchosen mappings under frozen deterministic key
