chain_id	statement_id	start_position	card_ids	master_forms	literal_values_de	learned_phrase_de	token_count
LC01	H1-S001	1	MC071|MC158|MC055	dchey cthoor char	Wurzel | Vorbereitung | davon	Bildwurzel eröffnen und auf den daraus genommenen Posten beziehen	3
LC02	H1-S001	4	MC086|MC159|MC014	chety os chair	Teil | Aufnahmegefäß | Zuguss	Teil in ein Aufnahmegefäß geben und Flüssigkeit zugießen	3
LC03	H2-S003	1	MC027|MC080|MC080	oykchor chor chor	Zubereitungsgefäß | Ansatz | Ansatz	Zubereitungsgefäß mit einer wiederholten Ansatzfolge eröffnen	3
LC04	H3-S001	1	MC098|MC049|MC129|MC111|MC156|MC119|MC037	tshol schoal cfhy shfydaiin cphy cheey tchody	Kochgut | Sudansatz | auswringen | Stehzeit | nachseihen | Klarlauf | kalt stellen; Schluss	Kochgut ansetzen, auswringen, stehen lassen, nachseihen, Klarlauf kalt stellen	7
LC05	H5-S002	1	MC142|MC131|MC026|MC099	dchol choy choky cheeckhody	vom vorigen | Zugabeposten | einsetzen | auftragen; Schluss	vom vorigen Ansatz einen Zugabeposten nehmen, einsetzen und auftragen	4
LC06	H5-S003	1	MC114|MC034|MC122	sh cho kchey	Stängel | weitere Zutat | Kurzbearbeitung	Stängel mit weiterer Zutat kurz bearbeiten	3
LC07	B1-S002	10	MC016|MC012|MC157	rol dl cholor	Anschluss | Zusatz | derselbe Ansatz	am Anschluss einen Zusatz in denselben Ansatz geben	3
LC08	B1-S006	2	MC035|MC012|MC056	chckhy dl ral	durchleiten | Zusatz | Zielmarke	durchleiten, Zusatz eintragen, Ziel markieren	3
LC09	B1-S015	1	MC109|MC005	ytey okchedy	Kurzteil | einführen; Schluss	Kurzteil einführen und die Zelle schließen	2
LC10	H4-S001	3	MC047|MC148|MC100	ykain ykan ody	erste Portion | zweite Portion | abkühlen; Schluss	erste und zweite Portion bilden und kalt stellen	3
