world	record	at	word	reading	before	after	row_status
L1_V	F83_P1	f83r.1:1	tchedy	⟦tchedy⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.1:2	lpchedy	⟦lpchedy⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.1:3	opedy	⟦opedy⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.1:4	chepol	⟦chepol⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.1:5	pchedar	⟦pchedar⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.1:6	shedy	Flüssigkeit A	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.1:7	qopchedy	⟦qopchedy⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.2:1	sol	⟦sol⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.2:2	cheey	⟦cheey⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	recorded
L1_V	F83_P1	f83r.2:3	qokaiin	Gefäß B	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""MISSING""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	recorded
L1_V	F83_P1	f83r.2:4	shol	⟦shol⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	recorded
L1_V	F83_P1	f83r.2:5	lchs	⟦lchs⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	recorded
L1_V	F83_P1	f83r.2:6	shey	⟦shey⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	recorded
L1_V	F83_P1	f83r.2:7	qoteedy	⟦qoteedy⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	recorded
L1_V	F83_P1	f83r.2:8	rches	⟦rches⟧	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	"{""actor"": ""F83_P1:A0"", ""origins"": {}, ""owners"": {}, ""recipient"": ""F83_P1:B""}"	recorded
