neighbor_id	locus_id	page	physical_folio	locus	locus_role	target_ordinal	neighbor_ordinal	offset	absolute_distance	zl3b_surface	it2a_surface	rf1b_surface	majority_surface	majority_reader_count	reader_consensus_class	neighbor_class	clean_pool_reading_ids	clean_pool_axes	working_display_de	gdt754_provenance_present	gdt754_renderer_disposition	gdt754_sanitized_axes	gdt768_display_override	within_primary_radius	eligible_field_vote	reader_boundary_shift_warning	target_slot_removed_before_reading	physical_locus_weight	alternate_readers_counted_independently	variant_letters_semantically_exported	component_export_credit
G783-N001	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	1	-11	11	ykar	ykar	ykar	ykar	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	ykar#GLOBAL	HOT|PART|MATERIAL	nimm hiervon die erste erhitzte Drogenfraktion	0	NONE	NONE	0	0	0	0	1	1	0	0	0
G783-N002	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	2	-10	10	ar	ar	ar	ar	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	ar#1	PART|MATERIAL	Drogenanteil I	0	NONE	NONE	0	0	0	0	1	1	0	0	0
G783-N003	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	3	-9	9	alody	alody	alody	alody	3	THREE_OF_THREE	OPEN_OR_NONAXIS_MAJORITY_WHOLE	NONE	NONE	NONE	0	NONE	NONE	0	0	0	0	1	1	0	0	0
G783-N004	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	4	-8	8	or	or	or	or	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	or#1	AMOUNT|MATERIAL	Drogenportion	0	NONE	NONE	0	0	0	0	1	1	0	0	0
G783-N005	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	5	-7	7	eees	eees	eees	eees	3	THREE_OF_THREE	OPEN_OR_NONAXIS_MAJORITY_WHOLE	NONE	NONE	NONE	0	NONE	NONE	0	0	0	0	1	1	0	0	0
G783-N006	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	6	-6	6	aiin	aiin	aiin	aiin	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	aiin#1	AMOUNT	Menge III	0	NONE	NONE	0	0	0	0	1	1	0	0	0
G783-N007	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	7	-5	5	okar	okar	okar	okar	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	okar#1	HOT|PART|PREPARATION	Anteil I des heißen Ansatzes	0	NONE	NONE	0	1	1	0	1	1	0	0	0
G783-N008	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	8	-4	4	qokaiin	qokaiin	qokaiin	qokaiin	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	qokaiin#1	HOT|VALUE|STAGE|LEVEL_III	heiß, Grad III	0	NONE	NONE	0	1	1	0	1	1	0	0	0
G783-N009	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	9	-3	3	ykar	ykar	ykar	ykar	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	ykar#GLOBAL	HOT|PART|MATERIAL	nimm hiervon die erste erhitzte Drogenfraktion	0	NONE	NONE	0	1	1	0	1	1	0	0	0
G783-N010	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	10	-2	2	ar	al	ar	ar	2	TWO_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	ar#1	PART|MATERIAL	Drogenanteil I	0	NONE	NONE	0	1	1	0	1	1	0	0	0
G783-N011	G783-L001	f86v5	f86	f86v5.15	TARGET_MASKED_SENSITIVITY	12	11	-1	1	ol	ol	ol	ol	3	THREE_OF_THREE	OPEN_OR_NONAXIS_MAJORITY_WHOLE	NONE	NONE	NONE	0	NONE	NONE	0	1	0	0	1	1	0	0	0
G783-N012	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	1	-2	2	otor	otor	otor	otor	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	otor#GLOBAL	COLD|AMOUNT|MATERIAL|PREPARATION	kalte Drogenportion im Ansatz	0	NONE	NONE	0	1	1	0	1	1	0	0	0
G783-N013	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	2	-1	1	chor	chor	chor	chor	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	chor#1	PART	Blütenstand	0	NONE	NONE	1	1	1	0	1	1	0	0	0
G783-N014	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	4	1	1	chotchy	chotchy	chotchy	chotchy	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	chotchy#GLOBAL	COLD|DRY|MATERIAL|PREPARATION|STAGE|BEGIN_STAGE	Trockenansatz aus kalt getrockneter Droge in Grundform	0	NONE	NONE	0	1	1	0	1	1	0	0	0
G783-N015	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	5	2	2	shair	shair	shair	shair	3	THREE_OF_THREE	OPEN_OR_NONAXIS_MAJORITY_WHOLE	NONE	NONE	NONE	0	NONE	NONE	0	1	0	0	1	1	0	0	0
G783-N016	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	6	3	3	qod	qod	qod	qod	3	THREE_OF_THREE	OPEN_OR_NONAXIS_MAJORITY_WHOLE	NONE	NONE	NONE	0	NONE	NONE	0	1	0	0	1	1	0	0	0
G783-N017	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	7	4	4	shachy	sho	sho	sho	2	TWO_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	sho#GLOBAL	MOIST|PREPARATION	feuchter Ansatz	0	NONE	NONE	0	0	0	1	1	1	0	0	0
G783-N018	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	8	5	5	kchy	chy	chy	chy	2	TWO_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	chy#1	DRY|VALUE|STAGE|BEGIN_STAGE	trocken am Anfang des Grades	0	NONE	NONE	0	0	0	1	1	1	0	0	0
G783-N019	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	9	6	6	chkain	kchy	kchy	kchy	2	TWO_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	kchy#GLOBAL	HOT|DRY|VALUE|STAGE|BEGIN_STAGE	heiß und trocken am Anfang des Grades	0	NONE	NONE	0	0	0	1	1	1	0	0	0
G783-N020	G783-L002	f25r	f25	f25r.2	EXTERNAL_STRONG_MAJORITY	3	10	7	7	<ABSENT>	chkain	chkain	chkain	2	TWO_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	chkain#GLOBAL	HOT|DRY|VALUE|STAGE|LEVEL_II	trocken-heiß, Stufe II	0	NONE	NONE	0	0	0	1	1	1	0	0	0
G783-N021	G783-L003	f103r	f103	f103r.37	EXTERNAL_WEAK_MAJORITY	7	1	-6	6	pchedy	pchedy	pchedy	pchedy	3	THREE_OF_THREE	OPEN_OR_NONAXIS_MAJORITY_WHOLE	NONE	NONE	NONE	0	NONE	NONE	0	0	0	0	1	1	0	0	0
G783-N022	G783-L003	f103r	f103	f103r.37	EXTERNAL_WEAK_MAJORITY	7	2	-5	5	qokeey	qokeey	qokeey	qokeey	3	THREE_OF_THREE	CLEAN_W2W3_COMPLETE_WHOLE	qokeey#GLOBAL	HOT|VALUE|STAGE|END_STAGE	heiß am Ende des Grades	0	NONE	NONE	0	0	0	0	1	1	0	0	0
