inventory_status	joint_tuple_id	surface_family	occurrences	event_ids	statement_ids	pages	selected_decomposition	core_value_de	grade_value_de	endpoint_value_de	default_reading_de	event_contexts_de	strongest_rival_de	contradiction_or_limit_de	teaching_consequence_de
SURFACE_NEIGHBOR_ONLY	21ed2873b71e57269c08	chckhal	1	E355	B4-S015	f83r	chckhal=Dauer	GELERNTE GANZKARTE	—	—	Dauer	E355=Für die angegebene Dauer	bloße Substring-Zerlegung nach ähnlich aussehender Nachbarkarte	Ähnliche Buchstaben reichen nicht zur Zerlegung; exakte Karte und lokaler Satz behalten Vorrang.	Als eigene Karte auswendig lernen; nicht durch Schriftähnlichkeit ableiten.
SURFACE_NEIGHBOR_ONLY	2cc8bb3c2af19607888f	chckhy|shckhy	4	E119|E128|E139|E179	B1-S002|B1-S006|B1-S011|B2-S005	f81v|f82r	ckhy=Durchlauf	GELERNTE GANZKARTE	—	—	durch verbundenen Lauf	E119,E128,E139,E179=Durch die verbundenen Läufe	bloße Substring-Zerlegung nach ähnlich aussehender Nachbarkarte	Ähnliche Buchstaben reichen nicht zur Zerlegung; exakte Karte und lokaler Satz behalten Vorrang.	Als eigene Karte auswendig lernen; nicht durch Schriftähnlichkeit ableiten.
Y_REFERENCE	6f7ff8287eddf4da9fdb	chdy|chedy	11	E062|E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	H4-S002|B1-S004|B1-S014|B3-S007|B3-S011|B3-S026|B3-S032|B4-S003|B4-S005|B4-S011|B5-S003	f55v|f81v|f83r	CHD~CHED+Y_REFERENT	CHD~CHED=UMSETZEN	0	Y=dies/es	den laufenden Posten umsetzen oder durcharbeiten	E062,E123,E145,E244,E252,E287,E304,E319,E328,E342,E372=Den laufenden Posten umsetzen oder durcharbeiten	jedes sichtbare y/dy mechanisch als Referenz beziehungsweise Abschluss lesen	Referenz gilt nur in dieser lizenzierten exakten Karte; Y bedeutet nicht selbst offen.	Den laufenden Posten wieder aufnehmen; keinen Abschluss hinzufügen.
CORE_BASE	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	E014|E016|E054|E271|E279|E289|E310	H1-S002|H2-S001|H3-S004|B3-S021|B3-S026|B3-S034	f10r|f11r|f83r	CTH_READY+Y_REFERENT (gelernte Rendererfamilie)	CTH=BEREIT	0	Y=dies	bereit; diesen Posten als bereit behandeln	E014=Sobald er zum Gebrauch bereit ist, gebrauche ihn | E016=Sammle sie, wenn sie sich eben öffnen | E054=Warte, bis der örtliche Bereitschaftszustand erreicht ist | E271=den örtlichen Prüfzustand | E279,E289,E310=Den örtlichen Prüfzustand der Charge feststellen	CTH überall als säubern, warm oder bereit lesen	CTH ist nur in dieser exakten Familie bereit; cthoor und cthaiin bleiben eigene Karten.	Den Grundzustand ohne zusätzlichen Grad lesen.
Y_REFERENCE	5e8441397e7c0faf042b	chedchy	1	E240	B3-S006	f83r	CHED+CHY[wrapped Y_REFERENT]	CHED=UMSETZEN	0	Y=dies/es	den laufenden Posten zuführen oder umsetzen	E240=Den laufenden Posten zuführen oder umsetzen	jedes sichtbare y/dy mechanisch als Referenz beziehungsweise Abschluss lesen	Referenz gilt nur in dieser lizenzierten exakten Karte; Y bedeutet nicht selbst offen.	Den laufenden Posten wieder aufnehmen; keinen Abschluss hinzufügen.
MATRIX_CELL	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	B1-S004|B1-S008|B1-S016|B1-S019|B2-S008|B3-S012|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013|B4-S016	f81v|f82r|f83r	SH_REST+E_GRADE_1+DY_TERMINAL	SH=RUHEN/ABSETZEN	E=kurz/gewöhnlich	DY=Schritt schließen	kurz oder gewöhnlich ruhen lassen; Schritt schließen	E125,E136,E155,E163,E192,E255,E266,E314,E325,E336,E347,E361=Kurz oder gewöhnlich ruhen lassen; Schluss	SHED allgemein als waschen oder Wärme lesen	Rendererformen cheedy/shedy/tedy teilen hier eine Karte; nicht jedes sichtbare shed gehört dazu.	Kern wählen; E=kurz/gewöhnlich; dann DY=Schritt schließen.
MATRIX_CELL_WITH_LOCAL_ENDING	2c1a5fd92b9e3c762242	cheeky	2	E066|E333	H4-S003|B4-S008	f55v|f83r	CHK_WARMTH+E_GRADE_2+KY_HEAT_ENDING	CHK=ERWÄRMEN	EE=anhaltend	KY=gelernte Wärmeform	länger warm halten	E066,E333=Länger warm halten	CHK allgemein als Gefäß, Lauf oder Dauer lesen	KY ist ausdrücklich nicht das freie Y-Referenzzeichen.	Gradregel nutzen, aber KY=gelernte Wärmeform als lokale Wärmeendung lernen.
MATRIX_CELL_WITH_LOCAL_ENDING	d904bf7b044dd3922781	cheky	3	E134|E164|E339	B1-S008|B1-S020|B4-S011	f81v|f83r	CHK_WARMTH+E_GRADE_1+KY_HEAT_ENDING	CHK=ERWÄRMEN	E=kurz/mild	KY=gelernte Wärmeform	kurz oder mild erwärmen	E134,E164,E339=Kurz oder mild erwärmen	CHK allgemein als Gefäß, Lauf oder Dauer lesen	KY ist ausdrücklich nicht das freie Y-Referenzzeichen.	Gradregel nutzen, aber KY=gelernte Wärmeform als lokale Wärmeendung lernen.
Y_REFERENCE	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	E020|E021|E023|E035|E037|E048|E050|E055|E072|E132|E170|E208|E232|E234|E273|E277|E349|E380	H2-S001|H2-S003|H3-S003|H3-S004|H4-S004|B1-S008|B2-S003|B2-S012|B3-S003|B3-S021|B4-S014|B6-S001	f10r|f11r|f55v|f81v|f82r|f83r	Y_REFERENT_CARD (Rendererfamilie)	—	—	Y=dies/es	der laufende Posten; dies oder es	E020,E021,E023,E035,E037,E048,E050,E055,E072,E132,E170,E208,E232,E234,E273,E277,E349,E380=Der laufende Posten; dies oder es	jedes sichtbare y/dy mechanisch als Referenz beziehungsweise Abschluss lesen	Die sichtbare Form dy kann hier reine Y-Karte sein; Oberfläche allein entscheidet nie über Abschluss.	Den laufenden Posten wieder aufnehmen; keinen Abschluss hinzufügen.
SURFACE_NEIGHBOR_ONLY	9da1b6ac2c929daea697	chkain|kain	3	E107|E257|E354	B1-S002|B3-S013|B4-S015	f81v|f83r	AIN_PORTION	GELERNTE GANZKARTE	—	—	eine Portion	E107,E257,E354=Eine Portion	bloße Substring-Zerlegung nach ähnlich aussehender Nachbarkarte	Ähnliche Buchstaben reichen nicht zur Zerlegung; exakte Karte und lokaler Satz behalten Vorrang.	Als eigene Karte auswendig lernen; nicht durch Schriftähnlichkeit ableiten.
