core_family	formula	selected_reading_de	joint_tuple_id	surface_family	events	cell_role	selection_strength
IIN	IIN	Sollstufe	2c82523794dcb7d2b343	oiiin|soiiin	2	NAMED_GRADE	SELECTED_RECURRENT
OK	OK+Y	laufenden Posten einsetzen	276a7c2d74d1143446f4	choky|oky|qoky	10	OPEN_UNGRADED	SELECTED_STRONG
OK	OK+CHY	laufenden Posten einsetzen	9ad66e67803a12e745de	chokchy|okchy|qokchy	3	OPEN_UNGRADED_WRAPPED	SELECTED_RECURRENT_WRAPPED_BASE
OK	OK+E+Y	kurz anlegen	08bd5ca0c2ad137a056d	okey|qokey	2	OPEN_GRADE_1	SELECTED_PRODUCTIVE
OK	OK+EE+Y	länger einwirken lassen	0275fbf14e07935b0a45	okeey|qokeey	7	OPEN_GRADE_2	SELECTED_PRODUCTIVE
OK	OK+E+DY	kurz benetzen; Schluss	7db18b2f0fb7ed0fcfd3	qokedy	8	CLOSED_GRADE_1	SELECTED_PRODUCTIVE
OK	OK+EE+DY	länger einweichen; Schluss	7d25241b0e56c836372a	qokeedy	10	CLOSED_GRADE_2	SELECTED_PRODUCTIVE
OK	OK+EEE+DY	vollständig durchtränken; Schluss	d25110e0d8488927278f	qokeeedy	1	CLOSED_GRADE_3	SELECTED_THIN_TOP_GRADE
OT	OT+E+DY	danach kurz einwirken; Schluss	c45ebac60774620561e2	otedy	2	CLOSED_GRADE_1	SELECTED_RECURRENT
OT	OT+EE+Y	nächsten Posten länger einwirken lassen	5d5e0b288cf36864ed9d	oteey	2	OPEN_GRADE_2	SELECTED_RECURRENT
OT	OT+EE+DY	danach länger einwirken; Schluss	ff178343c18e287ce3b7	qoteedy	2	CLOSED_GRADE_2	SELECTED_RECURRENT
CTH	CTHY	gebrauchsfertig	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	READY_BASE	SELECTED_RECURRENT
CTH	CTH+E+Y	Posten gebrauchsfertig halten	6b89d6dd70635bc60fe0	qcthey|shcthey	2	READY_HOLD_OPEN	SELECTED_RECURRENT
SHED	SHED+E+DY	ruhen/absetzen; Schluss	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	CLOSED_GRADE_1	SELECTED_STRONG_LEARNED_FAMILY
SHED	SHED+EE+DY	länger ruhen/absetzen; Schluss	03626ca94cb17800d767	sheedy	1	CLOSED_GRADE_2	SELECTED_SINGLETON_GRADE
CHK	CHK+E+Y	kurz/mild erwärmen	d904bf7b044dd3922781	cheky	3	OPEN_GRADE_1	SELECTED_RECURRENT
CHK	CHK+EE+Y	länger warm halten	2c1a5fd92b9e3c762242	cheeky	2	OPEN_GRADE_2_TEMPLATE_A	SELECTED_RECURRENT
CHK	CHK+EE+Y	Posten länger warm halten	f0db6d30cd34f4cb2a4d	chkeey	1	OPEN_GRADE_2_TEMPLATE_B	SELECTED_SINGLETON_PREDICTION
CHK	CHK+EE+DY	länger warm halten; Schluss	a84fbe3ad380df345b97	chkeedy	1	CLOSED_GRADE_2	SELECTED_SINGLETON_PREDICTION
SOLK	SOLK+E+Y	Posten kurz an Auffangstelle halten	42cdc187d5b9ffc60063	solkey	1	OPEN_GRADE_1	SELECTED_LOCAL_SINGLETON
SOLK	SOLK+EE+Y	Posten länger an Auffangstelle halten	1bfd786e6b8b63734a59	solkeey	1	OPEN_GRADE_2	SELECTED_LOCAL_SINGLETON
SOLK	SOLK+EE+DY	an Auffangstelle länger halten; Schluss	3b70942557b3a40e8030	olkeedy|solkeedy	3	CLOSED_GRADE_2	SELECTED_LOCAL_RECURRENT
Y	Y	dieser Arbeitsposten	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	REFERENT_NOT_CLOSE	SELECTED_STRONG
