candidate_component	current_best_constraint	why_not_closed	working_default_until_better_model	prediction_that_could_improve_it
DAL_LO_SSHK_HULLS	lokale Hüllen der CHD~CHED-Familie	je nur ein Beleg und kein stabiler Gegenkontrast	keine eigene Stammübersetzung	Ein Minimalpaar gegen dieselbe CHD~CHED-Basis wäre nötig
D_S_T_SURFACES	Renderer- oder Hüllvarianten ohne getrennte Bedeutung	dchedy, schedy und tchedy sind dieselbe anonyme Karte	Arbeitsbewegung abschließen	Nur getrennte exakte Karten mit konstant verschiedener Funktion dürften daraus neue Kerne machen
GLOBAL_E	bounded state grade in exact OK OT SHED CHK and SOLK families	allography and lexical CHED/CKHE still block a global letter rule	use E/EE/EEE only in the selected lattice	another core should independently fill both Y and terminal cells
MEMORIZED_WHOLE_CARDS	84 unveränderte Alt-Ganzkarten plus chokcheo als neu explizit opake Ganzkarte bleiben reine Ganzwerte	ihre sichtbaren Teilstücke übertragen keine einheitliche Bedeutung; qokylddy ist zusätzlich nur außen zerlegt	jeweilige kurze Ganzkartenglosse	Nur wiederkehrende Minimalpaare dürfen einzelne Stücke künftig zu Stämmen befördern
GLOBAL_P	P+CHED points inward or toward a receiver in two fixed cards	no independent P card or reversed minimal pair	use only inside pchedy and pchedal	another P+CHED argument pair should retain receiver direction
GLOBAL_SH	bounded SHED rest/settle family	ch/sh/t vary inside one exact card	rest/settle only in selected SHED exact cards	an independent SH base should retain rest value
GLOBAL_CHK	bounded CHK warmth family with two learned templates	CHEKY/CHEEKY and CHKEEY/CHKEEDY do not share a literal segmentation	warmth only in four selected CHK cards	a new CHK argument should preserve warmth
GLOBAL_SOLK	owner-local graded collection/holding station family	all three exact cards are tied to Biological station owners	Auffangstelle only in selected SOLK/OLK cards	reuse at a second independent owner
GENERAL_OK_REDUPLICATION	qokokchy is read as repeat rather than intensity	one doubled-OK card	repeat only in qokokchy	a second OK+OK minimal pair should repeat its single-OK operation
GENERAL_OK_AL_Y_ORDER	qokaly composes as put current item at target	one card and no reversed argument-order pair	use the selected whole construction	another OK+AL+Y or OK+Y+AL card should clarify binding order
AIR_EXACT_SUBSTANCE	moving liquid in a run	the drawings show no arrows and the Herbal owner shows no liquid	flowing liquid without specifying pure water	another AIR card should preserve motion while allowing a different liquid
CHEO_EXACT_LIQUID	extract or carrier liquid	two Herbal events do not distinguish water oil wine or decoction	extract liquid	another CHEO compound should preserve carrier/extract behavior
LDDY_PORTABILITY	application close read as fastening a poultice	one exact card at one local owner	learned qokylddy construction only	a second LDDY carrier should close an application rather than a transfer
IIN_LOCAL_DIMENSION	portable grade or setting	the two recurrent and two extended cards do not identify heat concentration duration or aperture	grade or work stage	another IIN card should contrast two settings of the same operation
LONG_AIIN_HULLS	several long exact cards admit an AIIN contribution	CHO D SOLK and SHFY hulls are not independently complete paradigms	use the selected concrete whole construction	a second occurrence should preserve the measure slot under a new owner
OR_INTERNAL_STRINGS	OR composes in OR OLOR OTCHOR CHOCHOR and ORAIN	YCHE and OYK hulls may merely contain the same surface letters	split selected CHOCHOR, but keep YCHEOR and OYKCHOR whole	another CHO+OR card should retain plant-preparation value
CTHAIIN_WHOLE_CARD	CTH is ready and AIIN is measure elsewhere	the lone exact CTHAIIN card has no parallel and the old action reading remains usable	Kraut zerstoßen	a second CTH+measure card should mark a readiness threshold
VISIBLE_DY_GLOBALITY	closure belongs to licensed exact-card frames	the nonterminal Y card itself can be visibly rendered dy	never close from visible spelling alone	none; exact-card identity remains mandatory
SHECTHY_FLUID_HULL	a CTH contribution is possible inside a learned fluid card	one event does not identify water oil wine decoction or a ready-state contribution	retain the learned whole card warmes Wasser	another SHE+CTH card should retain a ready-fluid value
