record_unit_id	page	events	logical_source_tokens	fields	statements	visible_owner_sequence	fluent_record_reading_de
H1	f10r	14	14	2	2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Den Grundteil der Bildpflanze nehmen, einen Anteil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen und auf Sollmaß bringen. Die erste Charge weiterbearbeiten, weiterführen und als bereit halten.
H2	f10r	24	24	3	3	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den Folgeposten wählen und diesen auf Sollmaß bringen. Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten. Den Arbeitsansatz in der nächsten Stufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.
H3	f11r	17	17	4	4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Das Kochgut in einem Sud ansetzen, ausdrücken, eine Stehzeit abwarten, nachseihen, den klaren Auszug abnehmen und die Endzugabe einsetzen; Schluss. Den weiteren Zugabeteil bereitlegen. Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen. Zum Folgeposten wechseln, ihn weiterverarbeiten, Bereitschaft prüfen und als aktuellen Posten halten.
H4	f55v	18	18	4	4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen. Die Sollmenge überführen und am Verwahrort ablegen. Eine Sollportion aus dem Quellauszug nehmen, länger bearbeiten und fertigstellen. Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.
H5	f56r	27	27	7	6	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz einsetzen und dorthin führen. Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und länger an der Zielstelle führen; Schluss. Den Posten halten, eine weitere Zutat zugeben, kurz bearbeiten und erneut einsetzen. Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen. Eine weitere Zutat mit dem Quellauszug bearbeiten und die Folgeanwendung ausführen. Zum nächsten Posten wechseln, kurz fortfahren und auf Sollmaß bringen.
B1	f81v	66	66	24	21	gemeinsames zweireihiges Figuren-/Beckenfeld	Kurz einwirken lassen; Schluss. Die Charge bemessen und in den Beckenlauf einsetzen; davon erst einen, dann einen weiteren Anteil dorthin geben; über Anschluss und Zusatz mit demselben Ansatz weiterarbeiten; kurze Zielpassage und Sollmaß, langer Zieleinsatz und nochmals Sollmaß setzen, dann durchleiten und überführen; Schluss. Weiterführen und haltend übertragen; Schluss. Überführen, weiterführen und kurz absetzen lassen; Schluss. Weiterführen; Schluss. Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten. In die offene Zielstelle einführen; Schluss. Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss. Kurz einwirken lassen; Schluss. Kurz einwirken lassen; Schluss. Durch den verbundenen Gang leiten und einsetzen. Waschen, kurz einwirken lassen und nochmals waschen; Schluss. Einen Waschgang ausführen; Schluss. Überführen, im Weitergang an der Zielstelle abführen und zur Folgequelle weitergehen. Den kurzen Teil aus der eben gesetzten Quelle einführen; Schluss. Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss. Dorthin bringen, kurz weiterführen und übertragen; Schluss. Den Abführposten kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss. Kurz absetzen lassen; Schluss. Kurz wärmen und durchlassen; Schluss. Dorthin bringen.
B2	f82r	62	61	26	22	obere Paarbecken-/Zylinderstation|mittlere linke Geräte-/Inline-Knotenstation|ungelöste mittlere rechte Linie-/Liegepodeststation|unteres grünes Mehrfigurenfeld|lokale Randstationen des unteren Feldes	In die obere Paarbeckenstation überführen; Schluss. Durch die obere Station weiterführen; Schluss. Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss. Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss. Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss. Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen. An der mittleren linken Knotenstation kurz absetzen lassen; Schluss. Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss. Den Folgeposten absetzen lassen; Schluss. Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen. An der mittleren rechten Station einen Anteil zugeben, davon einen weiteren Anteil nehmen und länger einwirken lassen; Schluss. Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss. In das untere grüne Mehrfigurenfeld abführen; Schluss. Aus der Quelle abziehen. An der lokalen Randstation den klaren Lauf länger einwirken lassen; Schluss. Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss. Am Ziel kurz halten und den Zielschritt schließen. Länger einwirken lassen; Schluss. Den Waschgang schließen. Die folgende Stufe länger halten; Schluss. Länger einwirken lassen; Schluss. Abführen; Schluss.
B3	f83r	86	86	38	34	obere offene Fächer-Randstation|mittlere runde Gefäß-Randstation|untere korbartige Gefäß-Randstation|ungelöster Zwischenposten zwischen Randstapel und Hauptpaar|Hauptpaar am sichtbaren ungerichteten Bogen	An der oberen offenen Randstation länger auffangen; Schluss. Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss. Diesen Posten auf Sollmaß bringen und abführen; Schluss. Davon eine Menge abmessen und zur folgenden Stelle bringen. In die mittlere runde Randstation überführen; Schluss. Den Posten übertragen, am Ziel einsetzen und weiterführen; Schluss. Bemessen, überführen und länger einwirken lassen; Schluss. Aus der Station abführen; Schluss. Den Posten einsetzen. Der unteren korbartigen Randstation zuführen und kurz weiterführen; Schluss. Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen. Den Ansatz kurz absetzen lassen; Schluss. Einen Anteil bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss. In den Lauf einsetzen und länger absetzen lassen; Schluss. Aus der Station abführen; Schluss. Abziehen und in die nächste Station einführen; Schluss. Länger einwirken lassen; Schluss. Kurz absetzen lassen; Schluss. Nach dem Einsatz absetzen lassen; Schluss. Dorthin führen und abführen; Schluss. Den Posten bemessen und, sobald er bereit ist, dorthin bringen. Für den zweiten Zustand das Sollmaß am Ziel absetzen, kurz vorbereiten, den aktuellen Posten dorthin bringen, die Bereitschaft prüfen und den Zieltransfer schließen. Zur folgenden Station übertragen; Schluss. Aus der Station abführen; Schluss. Überführen; Schluss. In die nächste Station einführen; Schluss. Von der Quelle übertragen, auf den Sollabsetzstand bringen, weiterführen, einen Anteil zugeben, Bereitschaft prüfen, am Ziel vorbereiten und länger sammeln; Schluss. Die folgende Stufe länger halten; Schluss. Länger einwirken lassen, dann den kurzen Einwirkpunkt schließen. Weiterführen, den vollen Anteil nehmen und kurz einwirken lassen; Schluss. Einsetzen, auf Sollmaß bringen, im Lauf weiterführen und zur nächsten Station übertragen; Schluss. Länger einwirken lassen; Schluss. Einen Anteil übertragen, weiterführen, den kurzen Sollwert und das Folgemaß einstellen, dann kurz weiterführen; Schluss. Abziehen; Schluss. Die Arbeitsstufe auf bereit stellen, Anteil und Folgemaß nehmen und am Zwischenziel kurz absetzen; Schluss.
B4	f83r	47	47	20	16	Hauptpaar am sichtbaren ungerichteten Bogen|linke offene Fransen-/Unterlaufstation|rechte S-Lauf-/Mehrarmknotenstation	Am Hauptpaar länger einwirken lassen; Schluss. Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss. Überführen, danach den nächsten Posten dorthin bringen, länger einwirken lassen, einsetzen, weiterführen und kurz absetzen lassen; Schluss. Den Posten festsetzen; Schluss. Die Einlage überführen und länger einwirken lassen; Schluss. Einmal durchlassen; Schluss. Ein zweites Mal durchlassen; Schluss. Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss. Kurz absetzen lassen; Schluss. Fertigstellen; Schluss. An der linken Unterlaufstation das Sollmaß kurz wärmen, länger weiterführen, einen Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss. Abführen; Schluss. Weiter einsetzen und kurz absetzen lassen; Schluss. Diesen Ansatz durch den kurzen Gang führen und den Lauf schließen. Einen Anteil zum klaren Auszug geben, den Anteil durch die Zielpassage führen, kurz auffangen und abführen; Schluss. Einen weiteren Anteil dorthin bringen, aus der Quelle ausgießen und kurz absetzen lassen; Schluss.
B5	f83r	11	11	5	3	linker offener Fransen-Endposten	Den Nachtransfer am linken Endposten ausführen; Schluss. In den linken Endposten einführen; Schluss. Am Ziel absetzen, dorthin bringen, weiterführen und weiter abziehen; den Zieltransfer auf Sollmaß bringen, bis zur Endstufe fortsetzen und überführen.
