statement_id	record_unit_id	visible_owner	field_ids	frame_modes	visible_sequence	normalized_sequence	literal_card_reading	previous_fluent_expansion	revised_fluent_translation_de	revision_reason	source_token_correction
H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F001	CH	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	Den Grundteil der Bildpflanze nehmen, einen Anteil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen und auf Sollmaß bringen.	CH_BASE_PREPARATION	NONE
H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F002	MIXED	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	weiterbearbeiten | Weitergang | weiter | bereit	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	Die erste Charge weiterbearbeiten, weiterführen und als bereit halten.	CH_BASE_PREPARATION	NONE
H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F003	MIXED	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den Folgeposten wählen und diesen auf Sollmaß bringen.	CH_BASE_PREPARATION	NONE
H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F004	CH	qotchor chor otol chol cholor chol daiin dar	otchor chor otol cheol cholor cheol aiin char	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.	CH_BASE_PREPARATION	NONE
H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F005	CH	oykchor shor chor chy kaiiin dy chodaiin	oykchor chor chor chey kaiiin chey chodaiin	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	Den Arbeitsansatz in der nächsten Stufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	CH_BASE_PREPARATION	NONE
H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F006	LOW_DATA	tshol schoal cfhy shfydaiin cphy shey tchody	tshol schoal cfhy shfydaiin cphy cheey tchody	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	Nimm das bestimmte Kochgut vom blau bluehenden Waschkraut.	Das Kochgut in einem Sud ansetzen, ausdrücken, eine Stehzeit abwarten, nachseihen, den klaren Auszug abnehmen und die Endzugabe einsetzen; Schluss.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE	NONE
H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F007	LOW_DATA	shoyty	shoyty	Zugabeteil	Lege den weiteren Zugabeteil bereit.	Den weiteren Zugabeteil bereitlegen.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE	NONE
H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F008	D	dchol chy kchy dy daiin	dchol chey kchy chey aiin	vom vorigen | dies | Bearbeiten | dies | Sollmaß	Nimm vom vorigen klaren Ansatz.	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.	D_FRAME_CARRY_READING	NONE
H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	F009	MIXED	qotchy okchol cthy dy	qotchy okchol checthy chey	Folgeposten | Weiterverarbeitung | bereit | dies	Wechsle zum Folgeposten.	Zum Folgeposten wechseln, ihn weiterverarbeiten, Bereitschaft prüfen und als aktuellen Posten halten.	NORMALIZE_ALLOGRAPHS_AND_REMOVE_REPEATED_PREAMBLE	NONE
H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F010	MIXED	qokaiin chaiin ykain ykan ody	okaiin aiin ykain ykan ody	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	Bemiss den warm bereiteten Pflanzen-Grundansatz.	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen.	PORTION_AND_STORAGE	NONE
