field_id	statement_id	record_unit_id	visible_owner	field_frame_mode	visible_sequence	normalized_sequence	card_sequence	literal_values	terminal
F001	H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CH	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	NO
F002	H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MIXED	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	MC103 MC163 MC153 MC161	weiterbearbeiten | Weitergang | weiter | bereit	NO
F003	H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MIXED	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	NO
F004	H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CH	qotchor chor otol chol cholor chol daiin dar	otchor chor otol cheol cholor cheol aiin char	MC013 MC080 MC053 MC153 MC157 MC153 MC039 MC055	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	NO
F005	H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CH	oykchor shor chor chy kaiiin dy chodaiin	oykchor chor chor chey kaiiin chey chodaiin	MC027 MC080 MC080 MC123 MC048 MC123 MC087	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	NO
F006	H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOW_DATA	tshol schoal cfhy shfydaiin cphy shey tchody	tshol schoal cfhy shfydaiin cphy cheey tchody	MC098 MC049 MC129 MC111 MC156 MC119 MC037	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	NO
F007	H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOW_DATA	shoyty	shoyty	MC062	Zugabeteil	NO
F008	H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	D	dchol chy kchy dy daiin	dchol chey kchy chey aiin	MC142 MC123 MC117 MC123 MC039	vom vorigen | dies | Bearbeiten | dies | Sollmaß	NO
F009	H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MIXED	qotchy okchol cthy dy	qotchy okchol checthy chey	MC107 MC041 MC161 MC123	Folgeposten | Weiterverarbeitung | bereit | dies	NO
F010	H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MIXED	qokaiin chaiin ykain ykan ody	okaiin aiin ykain ykan ody	MC120 MC039 MC047 MC148 MC100	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	NO
F011	H4-S002	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MIXED	daiin chedy talam	aiin chdy talam	MC039 MC074 MC160	Sollmaß | überführen | Verwahrort	NO
F012	H4-S003	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOW_DATA	ykaiin cheoar cheeky oldy	ykaiin cheoar cheeky oldy	MC170 MC085 MC032 MC019	Sollportion | Quellauszug | länger bearbeiten | fertig	NO
F013	H4-S004	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	X	aiin okal oltchy or y orain	aiin okal oltchy chor chey orain	MC039 MC040 MC021 MC080 MC123 MC072	Sollmaß | dorthin einsetzen | Folgebereitung | Ansatz | dies | Bereitungsanteil	NO
