1_INPUT	2_HIGH	3_ROOT	4_SQUARE	5_SUB	6_DOUBLE	7_APPEND	8_QUOTIENT	9_CHOOSE	10_MUL	11_SUB	12_APPEND	13_SQUARE	14_SUB	15_APPEND	16_MOD	17_SQUARE	18_MOD	19_MOD	20_ADD	21_MOD	22_MOD	23_CHECK
100	1	1	1	0	2	0	0	0	0	0	0	0	0	10	3	9	2	0	2	2	2	CHECK
101	1	1	1	0	2	0	0	0	0	0	1	0	1	10	3	9	2	1	3	3	3	CHECK
102	1	1	1	0	2	0	0	0	0	0	2	0	2	10	3	9	2	2	4	4	4	CHECK
103	1	1	1	0	2	0	0	0	0	0	3	0	3	10	3	9	2	3	5	5	5	CHECK
104	1	1	1	0	2	0	0	0	0	0	4	0	4	10	3	9	2	4	6	6	6	CHECK
105	1	1	1	0	2	0	0	0	0	0	5	0	5	10	3	9	2	5	7	0	0	CHECK
106	1	1	1	0	2	0	0	0	0	0	6	0	6	10	3	9	2	6	8	1	1	CHECK
107	1	1	1	0	2	0	0	0	0	0	7	0	7	10	3	9	2	0	2	2	2	CHECK
108	1	1	1	0	2	0	0	0	0	0	8	0	8	10	3	9	2	1	3	3	3	CHECK
109	1	1	1	0	2	0	0	0	0	0	9	0	9	10	3	9	2	2	4	4	4	CHECK
110	1	1	1	0	2	1	0	0	0	1	10	0	10	10	3	9	2	3	5	5	5	CHECK
111	1	1	1	0	2	1	0	0	0	1	11	0	11	10	3	9	2	4	6	6	6	CHECK
112	1	1	1	0	2	1	0	0	0	1	12	0	12	10	3	9	2	5	7	0	0	CHECK
113	1	1	1	0	2	1	0	0	0	1	13	0	13	10	3	9	2	6	8	1	1	CHECK
114	1	1	1	0	2	1	0	0	0	1	14	0	14	10	3	9	2	0	2	2	2	CHECK
115	1	1	1	0	2	1	0	0	0	1	15	0	15	10	3	9	2	1	3	3	3	CHECK
116	1	1	1	0	2	1	0	0	0	1	16	0	16	10	3	9	2	2	4	4	4	CHECK
117	1	1	1	0	2	1	0	0	0	1	17	0	17	10	3	9	2	3	5	5	5	CHECK
118	1	1	1	0	2	1	0	0	0	1	18	0	18	10	3	9	2	4	6	6	6	CHECK
119	1	1	1	0	2	1	0	0	0	1	19	0	19	10	3	9	2	5	7	0	0	CHECK
120	1	1	1	0	2	2	1	0	0	2	20	0	20	10	3	9	2	6	8	1	1	CHECK
121	1	1	1	0	2	2	1	1	2	0	1	1	0	11	4	16	2	0	2	2	2	CHECK
122	1	1	1	0	2	2	1	1	2	0	2	1	1	11	4	16	2	1	3	3	3	CHECK
123	1	1	1	0	2	2	1	1	2	0	3	1	2	11	4	16	2	2	4	4	4	CHECK
124	1	1	1	0	2	2	1	1	2	0	4	1	3	11	4	16	2	3	5	5	5	CHECK
125	1	1	1	0	2	2	1	1	2	0	5	1	4	11	4	16	2	4	6	6	6	CHECK
126	1	1	1	0	2	2	1	1	2	0	6	1	5	11	4	16	2	5	7	0	0	CHECK
127	1	1	1	0	2	2	1	1	2	0	7	1	6	11	4	16	2	6	8	1	1	CHECK
128	1	1	1	0	2	2	1	1	2	0	8	1	7	11	4	16	2	0	2	2	2	CHECK
129	1	1	1	0	2	2	1	1	2	0	9	1	8	11	4	16	2	1	3	3	3	CHECK
130	1	1	1	0	2	3	1	1	2	1	10	1	9	11	4	16	2	2	4	4	4	CHECK
131	1	1	1	0	2	3	1	1	2	1	11	1	10	11	4	16	2	3	5	5	5	CHECK
132	1	1	1	0	2	3	1	1	2	1	12	1	11	11	4	16	2	4	6	6	6	CHECK
133	1	1	1	0	2	3	1	1	2	1	13	1	12	11	4	16	2	5	7	0	0	CHECK
134	1	1	1	0	2	3	1	1	2	1	14	1	13	11	4	16	2	6	8	1	1	CHECK
135	1	1	1	0	2	3	1	1	2	1	15	1	14	11	4	16	2	0	2	2	2	CHECK
136	1	1	1	0	2	3	1	1	2	1	16	1	15	11	4	16	2	1	3	3	3	CHECK
137	1	1	1	0	2	3	1	1	2	1	17	1	16	11	4	16	2	2	4	4	4	CHECK
138	1	1	1	0	2	3	1	1	2	1	18	1	17	11	4	16	2	3	5	5	5	CHECK
139	1	1	1	0	2	3	1	1	2	1	19	1	18	11	4	16	2	4	6	6	6	CHECK
140	1	1	1	0	2	4	2	1	2	2	20	1	19	11	4	16	2	5	7	0	0	CHECK
141	1	1	1	0	2	4	2	1	2	2	21	1	20	11	4	16	2	6	8	1	1	CHECK
142	1	1	1	0	2	4	2	1	2	2	22	1	21	11	4	16	2	0	2	2	2	CHECK
143	1	1	1	0	2	4	2	1	2	2	23	1	22	11	4	16	2	1	3	3	3	CHECK
144	1	1	1	0	2	4	2	2	4	0	4	4	0	12	5	25	4	0	4	4	4	CHECK
145	1	1	1	0	2	4	2	2	4	0	5	4	1	12	5	25	4	1	5	5	5	CHECK
146	1	1	1	0	2	4	2	2	4	0	6	4	2	12	5	25	4	2	6	6	6	CHECK
147	1	1	1	0	2	4	2	2	4	0	7	4	3	12	5	25	4	3	7	0	0	CHECK
148	1	1	1	0	2	4	2	2	4	0	8	4	4	12	5	25	4	4	8	1	1	CHECK
149	1	1	1	0	2	4	2	2	4	0	9	4	5	12	5	25	4	5	9	2	2	CHECK
150	1	1	1	0	2	5	2	2	4	1	10	4	6	12	5	25	4	6	10	3	3	CHECK
151	1	1	1	0	2	5	2	2	4	1	11	4	7	12	5	25	4	0	4	4	4	CHECK
152	1	1	1	0	2	5	2	2	4	1	12	4	8	12	5	25	4	1	5	5	5	CHECK
153	1	1	1	0	2	5	2	2	4	1	13	4	9	12	5	25	4	2	6	6	6	CHECK
154	1	1	1	0	2	5	2	2	4	1	14	4	10	12	5	25	4	3	7	0	0	CHECK
155	1	1	1	0	2	5	2	2	4	1	15	4	11	12	5	25	4	4	8	1	1	CHECK
156	1	1	1	0	2	5	2	2	4	1	16	4	12	12	5	25	4	5	9	2	2	CHECK
157	1	1	1	0	2	5	2	2	4	1	17	4	13	12	5	25	4	6	10	3	3	CHECK
158	1	1	1	0	2	5	2	2	4	1	18	4	14	12	5	25	4	0	4	4	4	CHECK
159	1	1	1	0	2	5	2	2	4	1	19	4	15	12	5	25	4	1	5	5	5	CHECK
160	1	1	1	0	2	6	3	2	4	2	20	4	16	12	5	25	4	2	6	6	6	CHECK
161	1	1	1	0	2	6	3	2	4	2	21	4	17	12	5	25	4	3	7	0	0	CHECK
162	1	1	1	0	2	6	3	2	4	2	22	4	18	12	5	25	4	4	8	1	1	CHECK
163	1	1	1	0	2	6	3	2	4	2	23	4	19	12	5	25	4	5	9	2	2	CHECK
164	1	1	1	0	2	6	3	2	4	2	24	4	20	12	5	25	4	6	10	3	3	CHECK
165	1	1	1	0	2	6	3	2	4	2	25	4	21	12	5	25	4	0	4	4	4	CHECK
166	1	1	1	0	2	6	3	2	4	2	26	4	22	12	5	25	4	1	5	5	5	CHECK
167	1	1	1	0	2	6	3	2	4	2	27	4	23	12	5	25	4	2	6	6	6	CHECK
168	1	1	1	0	2	6	3	2	4	2	28	4	24	12	5	25	4	3	7	0	0	CHECK
169	1	1	1	0	2	6	3	3	6	0	9	9	0	13	6	36	1	0	1	1	1	CHECK
170	1	1	1	0	2	7	3	3	6	1	10	9	1	13	6	36	1	1	2	2	2	CHECK
171	1	1	1	0	2	7	3	3	6	1	11	9	2	13	6	36	1	2	3	3	3	CHECK
172	1	1	1	0	2	7	3	3	6	1	12	9	3	13	6	36	1	3	4	4	4	CHECK
173	1	1	1	0	2	7	3	3	6	1	13	9	4	13	6	36	1	4	5	5	5	CHECK
174	1	1	1	0	2	7	3	3	6	1	14	9	5	13	6	36	1	5	6	6	6	CHECK
175	1	1	1	0	2	7	3	3	6	1	15	9	6	13	6	36	1	6	7	0	0	CHECK
176	1	1	1	0	2	7	3	3	6	1	16	9	7	13	6	36	1	0	1	1	1	CHECK
177	1	1	1	0	2	7	3	3	6	1	17	9	8	13	6	36	1	1	2	2	2	CHECK
178	1	1	1	0	2	7	3	3	6	1	18	9	9	13	6	36	1	2	3	3	3	CHECK
179	1	1	1	0	2	7	3	3	6	1	19	9	10	13	6	36	1	3	4	4	4	CHECK
180	1	1	1	0	2	8	4	3	6	2	20	9	11	13	6	36	1	4	5	5	5	CHECK
181	1	1	1	0	2	8	4	3	6	2	21	9	12	13	6	36	1	5	6	6	6	CHECK
182	1	1	1	0	2	8	4	3	6	2	22	9	13	13	6	36	1	6	7	0	0	CHECK
183	1	1	1	0	2	8	4	3	6	2	23	9	14	13	6	36	1	0	1	1	1	CHECK
184	1	1	1	0	2	8	4	3	6	2	24	9	15	13	6	36	1	1	2	2	2	CHECK
185	1	1	1	0	2	8	4	3	6	2	25	9	16	13	6	36	1	2	3	3	3	CHECK
186	1	1	1	0	2	8	4	3	6	2	26	9	17	13	6	36	1	3	4	4	4	CHECK
187	1	1	1	0	2	8	4	3	6	2	27	9	18	13	6	36	1	4	5	5	5	CHECK
188	1	1	1	0	2	8	4	3	6	2	28	9	19	13	6	36	1	5	6	6	6	CHECK
189	1	1	1	0	2	8	4	3	6	2	29	9	20	13	6	36	1	6	7	0	0	CHECK
190	1	1	1	0	2	9	4	3	6	3	30	9	21	13	6	36	1	0	1	1	1	CHECK
191	1	1	1	0	2	9	4	3	6	3	31	9	22	13	6	36	1	1	2	2	2	CHECK
192	1	1	1	0	2	9	4	3	6	3	32	9	23	13	6	36	1	2	3	3	3	CHECK
193	1	1	1	0	2	9	4	3	6	3	33	9	24	13	6	36	1	3	4	4	4	CHECK
194	1	1	1	0	2	9	4	3	6	3	34	9	25	13	6	36	1	4	5	5	5	CHECK
195	1	1	1	0	2	9	4	3	6	3	35	9	26	13	6	36	1	5	6	6	6	CHECK
196	1	1	1	0	2	9	4	4	8	1	16	16	0	14	0	0	0	0	0	0	0	CHECK
197	1	1	1	0	2	9	4	4	8	1	17	16	1	14	0	0	0	1	1	1	1	CHECK
198	1	1	1	0	2	9	4	4	8	1	18	16	2	14	0	0	0	2	2	2	2	CHECK
199	1	1	1	0	2	9	4	4	8	1	19	16	3	14	0	0	0	3	3	3	3	CHECK
