axis	model	records	positives	negative_records	positive_collections	positive_folds	gain_vs_prior_bits	bits_per_record_gain	mean_fold_auc	local_p	max_t_p	recoverable
MATERIAL	STRUCTURE_ONLY	1136	1134	2	6	6	10.119242986	0.008907784	0.666039958	0.004637540	1.000000000	NO
MATERIAL	STRUCTURE_PLUS_RECURRENCE	1136	1134	2	6	6	17.779439791	0.015650915	0.666666667	0.000244081	1.000000000	NO
OPERATION	STRUCTURE_ONLY	1136	1135	1	6	5	-6.080023636	-0.005352133	0.416666667	1.000000000	1.000000000	NO
OPERATION	STRUCTURE_PLUS_RECURRENCE	1136	1135	1	6	5	-6.392565386	-0.005627258	0.416666667	0.934098121	1.000000000	NO
INTERMEDIATE_STATE	STRUCTURE_ONLY	1136	207	929	6	6	109.547878029	0.096432991	0.764353452	0.000244081	0.000244081	NO
INTERMEDIATE_STATE	STRUCTURE_PLUS_RECURRENCE	1136	207	929	6	6	124.693871167	0.109765732	0.777929928	0.000244081	0.000244081	YES
APPLICATION	STRUCTURE_ONLY	1136	282	854	6	6	38.977521767	0.034311199	0.693148849	0.000244081	1.000000000	NO
APPLICATION	STRUCTURE_PLUS_RECURRENCE	1136	282	854	6	5	41.360104734	0.036408543	0.683749732	0.000244081	1.000000000	NO
RESULT_CONDITION	STRUCTURE_ONLY	1136	599	537	6	6	22.913057478	0.020169945	0.678484931	0.000244081	1.000000000	NO
RESULT_CONDITION	STRUCTURE_PLUS_RECURRENCE	1136	599	537	6	5	32.159023799	0.028309000	0.657900850	0.000244081	1.000000000	NO
