collection	record	unit_count	field_count	source_forms_exported	unit_order_exported	material	operation	intermediate_state	application	result_condition	tool_mediation
b4	b4.1	50	31	NO	NO	1	1	0	1	1	1
b4	b4.2	21	10	NO	NO	1	1	0	0	1	1
b4	b4.3	26	14	NO	NO	1	1	0	0	1	1
b4	b4.4	11	7	NO	NO	1	1	0	0	0	1
b4	b4.5	9	4	NO	NO	1	1	0	0	0	0
b4	b4.6	10	4	NO	NO	1	1	0	0	0	1
b4	b4.7	28	15	NO	NO	1	1	1	0	0	1
b4	b4.9	43	28	NO	NO	1	1	0	0	0	1
b4	b4.10	12	8	NO	NO	1	1	0	1	1	0
b4	b4.11	16	10	NO	NO	1	1	0	0	0	0
b4	b4.12	66	30	NO	NO	1	1	0	0	0	1
b4	b4.13	39	19	NO	NO	1	1	0	0	0	0
b4	b4.14	82	35	NO	NO	1	1	0	0	0	1
b4	b4.15	22	10	NO	NO	1	1	0	0	1	0
b4	b4.15.sub.1	8	4	NO	NO	1	1	0	0	1	0
b4	b4.16	31	18	NO	NO	1	1	0	0	1	0
b4	b4.17	15	8	NO	NO	1	1	0	0	1	1
b4	b4.18	11	6	NO	NO	1	1	0	0	0	0
b4	b4.19	14	7	NO	NO	1	1	1	0	0	1
b4	b4.20	29	13	NO	NO	1	1	1	0	1	1
b4	b4.21	23	11	NO	NO	1	1	0	0	1	1
b4	b4.22	29	16	NO	NO	1	1	0	1	1	0
b4	b4.22.sub.1	19	10	NO	NO	1	1	0	1	0	0
b4	b4.23	28	13	NO	NO	1	1	1	0	1	1
b4	b4.24	7	4	NO	NO	1	1	0	1	0	0
b4	b4.25	22	11	NO	NO	1	1	0	0	0	1
b4	b4.26	18	9	NO	NO	1	1	0	0	1	0
b4	b4.27	37	19	NO	NO	1	1	1	0	1	1
b4	b4.27.sub.1	6	4	NO	NO	1	1	0	0	1	1
b4	b4.28	16	9	NO	NO	1	1	1	0	0	1
b4	b4.29	14	9	NO	NO	1	1	0	1	0	1
b4	b4.30	15	8	NO	NO	1	1	0	0	1	1
b4	b4.31	21	12	NO	NO	1	1	0	0	1	0
b4	b4.32	47	28	NO	NO	1	1	0	1	1	1
b4	b4.32.sub.1	33	18	NO	NO	1	1	0	1	1	1
b4	b4.33	21	12	NO	NO	1	1	0	0	1	1
b4	b4.34	10	7	NO	NO	1	1	0	0	1	0
b4	b4.35	18	12	NO	NO	1	1	0	0	1	0
b4	b4.36	11	8	NO	NO	1	1	0	0	1	0
b4	b4.37	21	12	NO	NO	1	1	1	0	1	1
b4	b4.38	19	11	NO	NO	1	1	0	0	0	0
b4	b4.39	16	10	NO	NO	1	1	0	0	0	1
b4	b4.40	25	19	NO	NO	1	1	0	1	0	1
b4	b4.41	12	7	NO	NO	1	1	0	0	1	0
b4	b4.42	11	9	NO	NO	1	1	0	1	1	1
b4	b4.43	25	12	NO	NO	1	1	0	0	0	1
b4	b4.44	17	9	NO	NO	1	1	0	0	0	1
b4	b4.45	11	6	NO	NO	1	1	0	0	0	1
b4	b4.46	25	16	NO	NO	1	1	0	0	1	0
b4	b4.47	42	22	NO	NO	1	1	0	0	0	1
b4	b4.48	21	10	NO	NO	1	1	0	0	0	1
b4	b4.49	9	5	NO	NO	1	1	0	0	0	1
b4	b4.50	14	9	NO	NO	1	1	0	0	0	0
b4	b4.51	22	13	NO	NO	1	1	0	0	0	1
b4	b4.52	23	14	NO	NO	1	1	0	0	0	1
b4	b4.53	9	5	NO	NO	1	1	0	0	1	1
b4	b4.54	12	6	NO	NO	1	1	0	0	0	1
b4	b4.55	24	13	NO	NO	1	1	1	1	0	1
b4	b4.56	51	27	NO	NO	1	1	0	0	0	1
b4	b4.57	19	10	NO	NO	1	1	0	0	0	1
b4	b4.58	24	11	NO	NO	1	1	1	0	0	1
b4	b4.59	20	10	NO	NO	1	1	0	0	1	0
b4	b4.60	17	10	NO	NO	1	1	0	0	1	1
b4	b4.61	16	10	NO	NO	1	1	0	0	1	0
b4	b4.62	29	16	NO	NO	1	1	0	0	1	1
b4	b4.63	31	18	NO	NO	1	1	1	0	1	1
b4	b4.64	15	9	NO	NO	1	1	0	0	1	0
b4	b4.65	20	13	NO	NO	1	1	0	0	1	1
b4	b4.66	9	6	NO	NO	1	1	0	0	0	0
b4	b4.67	15	10	NO	NO	1	1	0	0	1	1
b4	b4.68	11	7	NO	NO	1	1	0	1	1	0
b4	b4.69	10	8	NO	NO	1	1	1	0	0	1
b4	b4.70	9	7	NO	NO	1	1	0	0	1	0
b4	b4.71	36	23	NO	NO	1	1	0	1	1	1
b4	b4.72	11	7	NO	NO	1	1	0	0	1	1
b4	b4.73	12	8	NO	NO	1	1	0	0	0	0
b4	b4.74	12	7	NO	NO	1	1	0	0	1	1
b4	b4.75	49	27	NO	NO	1	1	0	1	0	1
b4	b4.76	35	21	NO	NO	1	1	1	1	0	1
b4	b4.77	24	15	NO	NO	1	1	1	1	0	0
b4	b4.78	20	13	NO	NO	1	1	0	1	0	0
b4	b4.79	17	13	NO	NO	1	1	0	1	0	0
b4	b4.80	21	12	NO	NO	1	1	0	0	1	1
b4	b4.81	6	3	NO	NO	1	1	0	0	1	0
b4	b4.82	9	7	NO	NO	1	1	0	0	1	0
b4	b4.83	16	9	NO	NO	1	1	0	0	1	1
b4	b4.84	15	11	NO	NO	1	1	0	1	1	0
