held_collection	axis	model	records	positives	bits	prior_bits	gain_vs_prior_bits	auc	accuracy
b4	MATERIAL	STRUCTURE_ONLY	271	270	5.197331116	9.848547207	4.651216090	0.998148148	0.996309963
b4	MATERIAL	STRUCTURE_PLUS_RECURRENCE	271	270	1.882165175	9.848547207	7.966382031	1.000000000	0.996309963
b4	OPERATION	STRUCTURE_ONLY	271	271	0.500952866	0.677787554	0.176834687	0.500000000	1.000000000
b4	OPERATION	STRUCTURE_PLUS_RECURRENCE	271	271	0.659548561	0.677787554	0.018238993	0.500000000	1.000000000
b4	INTERMEDIATE_STATE	STRUCTURE_ONLY	271	43	151.454283565	172.334669975	20.880386410	0.756374949	0.808118081
b4	INTERMEDIATE_STATE	STRUCTURE_PLUS_RECURRENCE	271	43	145.023476205	172.334669975	27.311193770	0.796715626	0.819188192
b4	APPLICATION	STRUCTURE_ONLY	271	61	194.896625431	209.489879833	14.593254402	0.672014052	0.774907749
b4	APPLICATION	STRUCTURE_PLUS_RECURRENCE	271	61	192.682657804	209.489879833	16.807222029	0.687900078	0.782287823
b4	RESULT_CONDITION	STRUCTURE_ONLY	271	159	264.839001370	269.884059944	5.045058574	0.630952381	0.564575646
b4	RESULT_CONDITION	STRUCTURE_PLUS_RECURRENCE	271	159	259.420674319	269.884059944	10.463385625	0.651561096	0.619926199
b6	MATERIAL	STRUCTURE_ONLY	34	34	0.089962302	0.111303954	0.021341652	0.500000000	1.000000000
b6	MATERIAL	STRUCTURE_PLUS_RECURRENCE	34	34	0.041149270	0.111303954	0.070154683	0.500000000	1.000000000
b6	OPERATION	STRUCTURE_ONLY	34	34	0.047303659	0.066752060	0.019448402	0.500000000	1.000000000
b6	OPERATION	STRUCTURE_PLUS_RECURRENCE	34	34	0.062616713	0.066752060	0.004135348	0.500000000	1.000000000
b6	INTERMEDIATE_STATE	STRUCTURE_ONLY	34	6	18.303444793	22.864421319	4.560976525	0.755952381	0.852941176
b6	INTERMEDIATE_STATE	STRUCTURE_PLUS_RECURRENCE	34	6	18.093820950	22.864421319	4.770600369	0.791666667	0.882352941
b6	APPLICATION	STRUCTURE_ONLY	34	14	35.622633513	36.587119891	0.964486378	0.683928571	0.588235294
b6	APPLICATION	STRUCTURE_PLUS_RECURRENCE	34	14	34.975735963	36.587119891	1.611383929	0.646428571	0.588235294
b6	RESULT_CONDITION	STRUCTURE_ONLY	34	7	32.270930946	36.284968090	4.014037144	0.793650794	0.617647059
b6	RESULT_CONDITION	STRUCTURE_PLUS_RECURRENCE	34	7	38.098784484	36.284968090	-1.813816394	0.756613757	0.352941176
br1	MATERIAL	STRUCTURE_ONLY	45	45	0.052729245	0.148799691	0.096070446	0.500000000	1.000000000
br1	MATERIAL	STRUCTURE_PLUS_RECURRENCE	45	45	0.024960959	0.148799691	0.123838733	0.500000000	1.000000000
br1	OPERATION	STRUCTURE_ONLY	45	45	0.042637255	0.089238883	0.046601627	0.500000000	1.000000000
br1	OPERATION	STRUCTURE_PLUS_RECURRENCE	45	45	0.047824695	0.089238883	0.041414188	0.500000000	1.000000000
br1	INTERMEDIATE_STATE	STRUCTURE_ONLY	45	13	34.671417405	41.414348738	6.742931333	0.763221154	0.711111111
br1	INTERMEDIATE_STATE	STRUCTURE_PLUS_RECURRENCE	45	13	34.801602884	41.414348738	6.612745854	0.723557692	0.755555556
br1	APPLICATION	STRUCTURE_ONLY	45	3	22.652445714	23.812549805	1.160104092	0.873015873	0.933333333
br1	APPLICATION	STRUCTURE_PLUS_RECURRENCE	45	3	25.366856219	23.812549805	-1.554306414	0.809523810	0.911111111
br1	RESULT_CONDITION	STRUCTURE_ONLY	45	35	40.278547031	43.814756528	3.536209497	0.732857143	0.755555556
br1	RESULT_CONDITION	STRUCTURE_PLUS_RECURRENCE	45	35	39.019470426	43.814756528	4.795286102	0.654285714	0.711111111
bs1	MATERIAL	STRUCTURE_ONLY	269	269	0.861346143	1.119369008	0.258022865	0.500000000	1.000000000
bs1	MATERIAL	STRUCTURE_PLUS_RECURRENCE	269	269	0.353306985	1.119369008	0.766062023	0.500000000	1.000000000
bs1	OPERATION	STRUCTURE_ONLY	269	268	17.760260953	10.984335607	-6.775925347	0.000000000	0.996282528
bs1	OPERATION	STRUCTURE_PLUS_RECURRENCE	269	268	17.760153179	10.984335607	-6.775817572	0.000000000	0.996282528
bs1	INTERMEDIATE_STATE	STRUCTURE_ONLY	269	45	147.856267711	175.763456610	27.907188899	0.812549603	0.821561338
bs1	INTERMEDIATE_STATE	STRUCTURE_PLUS_RECURRENCE	269	45	149.986375611	175.763456610	25.777080999	0.792460317	0.825278810
bs1	APPLICATION	STRUCTURE_ONLY	269	56	190.526689908	201.458654151	10.931964243	0.725519785	0.802973978
bs1	APPLICATION	STRUCTURE_PLUS_RECURRENCE	269	56	196.280963326	201.458654151	5.177690824	0.706321261	0.776951673
bs1	RESULT_CONDITION	STRUCTURE_ONLY	269	99	286.974331839	289.429807150	2.455475311	0.709180036	0.434944238
bs1	RESULT_CONDITION	STRUCTURE_PLUS_RECURRENCE	269	99	285.440733362	289.429807150	3.989073788	0.672311349	0.472118959
gr1	MATERIAL	STRUCTURE_ONLY	254	254	0.481235659	1.038970190	0.557734531	0.500000000	1.000000000
gr1	MATERIAL	STRUCTURE_PLUS_RECURRENCE	254	254	0.235808218	1.038970190	0.803161972	0.500000000	1.000000000
gr1	OPERATION	STRUCTURE_ONLY	254	254	0.342564371	0.623028555	0.280464184	0.500000000	1.000000000
gr1	OPERATION	STRUCTURE_PLUS_RECURRENCE	254	254	0.323449803	0.623028555	0.299578753	0.500000000	1.000000000
gr1	INTERMEDIATE_STATE	STRUCTURE_ONLY	254	57	173.541899919	198.609228833	25.067328914	0.724819663	0.791338583
gr1	INTERMEDIATE_STATE	STRUCTURE_PLUS_RECURRENCE	254	57	167.443236158	198.609228833	31.165992675	0.761065099	0.791338583
gr1	APPLICATION	STRUCTURE_ONLY	254	83	237.143777057	241.299778496	4.156001439	0.566652575	0.681102362
gr1	APPLICATION	STRUCTURE_PLUS_RECURRENCE	254	83	232.418608430	241.299778496	8.881170065	0.598323117	0.688976378
gr1	RESULT_CONDITION	STRUCTURE_ONLY	254	139	247.697241190	252.848648232	5.151407042	0.593650297	0.618110236
gr1	RESULT_CONDITION	STRUCTURE_PLUS_RECURRENCE	254	139	247.917166485	252.848648232	4.931481747	0.598373475	0.610236220
w1	MATERIAL	STRUCTURE_ONLY	263	262	5.300944448	9.835801851	4.534857402	0.998091603	0.996197719
w1	MATERIAL	STRUCTURE_PLUS_RECURRENCE	263	262	1.785961502	9.835801851	8.049840349	1.000000000	0.996197719
w1	OPERATION	STRUCTURE_ONLY	263	263	0.479200220	0.651753030	0.172552811	0.500000000	1.000000000
w1	OPERATION	STRUCTURE_PLUS_RECURRENCE	263	263	0.631868126	0.651753030	0.019884904	0.500000000	1.000000000
w1	INTERMEDIATE_STATE	STRUCTURE_ONLY	263	43	145.404129967	169.793195915	24.389065948	0.773202960	0.821292776
w1	INTERMEDIATE_STATE	STRUCTURE_PLUS_RECURRENCE	263	43	140.736938415	169.793195915	29.056257500	0.802114165	0.832699620
w1	APPLICATION	STRUCTURE_ONLY	263	65	205.000428091	212.172139304	7.171711213	0.637762238	0.749049430
w1	APPLICATION	STRUCTURE_PLUS_RECURRENCE	263	65	201.735195003	212.172139304	10.436944301	0.654001554	0.760456274
w1	RESULT_CONDITION	STRUCTURE_ONLY	263	160	259.824889964	262.535759874	2.710869910	0.610618932	0.555133080
w1	RESULT_CONDITION	STRUCTURE_PLUS_RECURRENCE	263	160	252.742146943	262.535759874	9.793612931	0.614259709	0.574144487
