panel	axis	held_folio	records	positive_assignments	covered_records	baseline_bits	candidate_bits	gain_bits	covered_gain_bits
RECIPE_STARS_S	INTERMEDIATE_STATE	f103	10	4	10	7.049175996	9.947941712	-2.898765716	-2.898765716
RECIPE_STARS_S	INTERMEDIATE_STATE	f104	7	3	7	5.570147932	7.373297861	-1.803149929	-1.803149929
RECIPE_STARS_S	INTERMEDIATE_STATE	f105	4	4	4	0.684661810	1.093748451	-0.409086641	-0.409086641
RECIPE_STARS_S	INTERMEDIATE_STATE	f106	8	4	8	8.372130599	8.377613836	-0.005483237	-0.005483237
RECIPE_STARS_S	INTERMEDIATE_STATE	f107	8	4	8	4.495067228	7.428809199	-2.933741971	-2.933741971
RECIPE_STARS_S	INTERMEDIATE_STATE	f108	7	5	7	1.270698144	3.870358950	-2.599660806	-2.599660806
RECIPE_STARS_S	INTERMEDIATE_STATE	f111	5	4	5	6.030031551	3.403628047	2.626403504	2.626403504
RECIPE_STARS_S	INTERMEDIATE_STATE	f112	6	4	6	4.510164078	5.128730262	-0.618566184	-0.618566184
RECIPE_STARS_S	INTERMEDIATE_STATE	f113	8	6	8	7.864577031	6.566439404	1.298137627	1.298137627
RECIPE_STARS_S	INTERMEDIATE_STATE	f114	10	9	9	3.834595158	4.528452831	-0.693857672	-0.693857672
RECIPE_STARS_S	INTERMEDIATE_STATE	f115	8	8	8	6.378446255	4.727474442	1.650971813	1.650971813
RECIPE_STARS_S	INTERMEDIATE_STATE	f116	1	1	1	0.029146346	0.252311708	-0.223165362	-0.223165362
PHARMA_P	INTERMEDIATE_STATE	f100	2	0	2	0.134228392	0.188159578	-0.053931187	-0.053931187
PHARMA_P	INTERMEDIATE_STATE	f102	4	0	4	0.329848641	0.385079046	-0.055230405	-0.055230405
PHARMA_P	INTERMEDIATE_STATE	f88	2	1	2	4.526545814	3.933717365	0.592828449	0.592828449
PHARMA_P	INTERMEDIATE_STATE	f89	2	1	2	3.085973223	2.760021577	0.325951646	0.325951646
PHARMA_P	INTERMEDIATE_STATE	f99	2	2	2	5.748938236	5.253871574	0.495066662	0.495066662
