source_experiment	span_id	locus	surface_span	old_translation_de	corrected_translation_de	role_basis	semantic_status
GDT635	PS_DRY_P	f75r.13	pchedy | keedy	getrocknetes Pulver, erhitzt auf Stufe II	Eintrag (H1): getrocknetes Ergebnis, Form I; gebundener Qualitäts-/Ordinalslot II [WORKING_RENDERER_RIVAL: erhitzt auf Stufe II].	H1_PARAGRAPH_OR_RECORD_OPENER+CHEDY_DRY_RESULT;KEEDY_BOUND_QUALITY_VALUE_II	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT635	PS_DRY_S	f78r.9	schedy | keedy	getrocknete Saat, erhitzt auf Stufe II	Posten (H2): getrocknetes Ergebnis, Form I; gebundener Qualitäts-/Ordinalslot II [WORKING_RENDERER_RIVAL: erhitzt auf Stufe II].	H2_LINE_ITEM_OR_SUBENTRY_MARKER+CHEDY_DRY_RESULT;KEEDY_BOUND_QUALITY_VALUE_II	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT635	PS_MATERIAL_P	f77r.38	pol | shedy	Pulverstoff, angefeuchtet zu Paste oder Brei	Eintrag (H1): Stoff- oder Materialträger; angefeuchtetes oder eingeweichtes Ergebnis, Form I [WORKING_RENDERER_RIVAL: zu Paste oder Brei angefeuchtet].	H1_PARAGRAPH_OR_RECORD_OPENER+OL_MATERIAL_CARRIER;SHEDY_MOIST_RESULT	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT635	PS_MATERIAL_S	f76v.40	sol | shedy	Saatgut, eingeweicht	Posten (H2): Stoff- oder Materialträger; angefeuchtetes oder eingeweichtes Ergebnis, Form I.	H2_LINE_ITEM_OR_SUBENTRY_MARKER+OL_MATERIAL_CARRIER;SHEDY_MOIST_RESULT	FORMAL_ROLE_DEFAULT__OLD_HEAD_NOUN_RETIRED
GDT635	PS_CLASS_P	f10v.1	paiin | daiin	Pulver der Klasse III, Dosis III	Eintrag (H1): Ordinalstufe III; gebundener Dosis-/Wertträger III [WORKING_RENDERER_RIVAL: Dosis III].	H1_PARAGRAPH_OR_RECORD_OPENER+AIIN_ORDINAL_VALUE;DAIIN_BOUND_DOSE_OR_VALUE	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT635	PS_CLASS_S	f81v.3	saiin | daiin	Saatgut der Klasse III, Dosis III	Posten (H2): Ordinalstufe III; gebundener Dosis-/Wertträger III [WORKING_RENDERER_RIVAL: Dosis III].	H2_LINE_ITEM_OR_SUBENTRY_MARKER+AIIN_ORDINAL_VALUE;DAIIN_BOUND_DOSE_OR_VALUE	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT635	RL_MATERIAL_R	f106v.8	cheo | rol | aiin	Trockenansatz aus Wurzelstoff, Menge III	Trockener Ansatz oder Zubereitung; H3-Spätverweis: Stoff- oder Materialträger; Ordinalstufe III [WORKING_RENDERER_RIVAL: Menge III].	CHEO_DRY_PREPARATION;H3_LATE_REFERENCE_OR_ITEM_CLOSE+OL_MATERIAL_CARRIER;AIIN_ORDINAL_VALUE	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT635	RL_MATERIAL_L	f111v.10	cheo | lol | aiin	Trockenansatz aus Holzstoff, Menge III	Trockener Ansatz oder Zubereitung; internes Feld (H4): Stoff- oder Materialträger; Ordinalstufe III [WORKING_RENDERER_RIVAL: Menge III].	CHEO_DRY_PREPARATION;H4_INTERNAL_BOUND_FIELD_OPERATOR+OL_MATERIAL_CARRIER;AIIN_ORDINAL_VALUE	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT635	RL_PORTION_L	f103r.21	qokeedy | lor	Holzportion, erhitzt auf Stufe II	Gebundener Qualitäts-/Prozessslot II [WORKING_RENDERER_RIVAL: erhitzt auf Stufe II]; internes Feld (H4): Teil- oder Portionsträger.	QOKEEDY_BOUND_QUALITY_OR_PROCESS_VALUE_II;H4_INTERNAL_BOUND_FIELD_OPERATOR+OR_PART_OR_PORTION_CARRIER	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
GDT635	RL_PORTION_R	f79v.13	qokeedy | ror	Wurzelportion, erhitzt auf Stufe II	Gebundener Qualitäts-/Prozessslot II [WORKING_RENDERER_RIVAL: erhitzt auf Stufe II]; H3-Spätverweis: Teil- oder Portionsträger.	QOKEEDY_BOUND_QUALITY_OR_PROCESS_VALUE_II;H3_LATE_REFERENCE_OR_ITEM_CLOSE+OR_PART_OR_PORTION_CARRIER	FORMAL_ROLE_DEFAULT__WORKING_RENDERER_RIVAL_EXPLICIT__OLD_HEAD_NOUN_RETIRED
