body	components	inherited_default_de	revised_concrete_default_de	semantic_family	role_confidence	literal_lexeme_confidence	evidence_channels	primary_evidence	live_rivals	revision_decision	scope_rule
aiin	a+III	Typ/Charge III	Ordinalstufe III	ORDINAL_VALUE	HIGH	ZERO	TARGET_LADDER|ALTERNATE_READERS|HISTORICAL_ARCHITECTURE	Complete bounded minim family and repeated quality/amount carriers; dimension changes with the visible host	Grad III|Menge III|Dosis III|Klasse III	NARROW_FROM_CHARGE_TO_HOST_SELECTED_ORDINAL	Only inside the registered whole form; no free aiin lexeme or universal numeric unit
chedy	ch+e+d+y	getrockneter Zustand	getrocknetes Ergebnis, Form I	DRY_RESULT	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE|ALTERNATE_READERS	ch dry-state family plus e-tier and d-y result contrast; all four headed forms occur	Trockenbindung I|Zustandsabschluss	REMOVE_UNSUPPORTED_MATERIAL_NOUN	Only as inherited body role inside registered exact wholes
shedy	sh+e+d+y	angefeuchteter/eingeweichter Zustand	angefeuchtetes oder eingeweichtes Ergebnis, Form I	MOIST_RESULT	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE|ALTERNATE_READERS	sh state family contrasts with ch and d-y marks a result form; all four headed forms occur	feuchte Bindung I|Paste	REMOVE_HEAD_DERIVED_PATIENTS	Only as inherited body role inside registered exact wholes
ol	o+l	Stoff/Material	Stoff- oder Materialträger	MATERIAL_CARRIER	MEDIUM_HIGH	ZERO	TARGET_COMPOSITION|COEXISTENCE|HISTORICAL_ARCHITECTURE	Productive OL carrier families and coexistence with AL and OR; 128 headed occurrences	Mischung|Eigenschaftsträger|grammatical carrier	RETAIN_ROLE_NOT_NOUN	Only as bound role in registered OL families
or	o+r	Teil/Portion	Teil- oder Portionsträger	PART_OR_PORTION_CARRIER	MEDIUM_HIGH	ZERO	TARGET_COMPOSITION|COEXISTENCE|HISTORICAL_ARCHITECTURE	Productive OR families and 48 ar/or coexistence lines; 100 headed occurrences	Pflanzenteil|Portion|Referenzträger	RETAIN_ROLE_NOT_UNIT	Only as bound role in registered OR families
ar	a+R[0 minims]	Fraktionsklasse I	Teil- oder Fraktionsstufe I	PART_SERIES	MEDIUM	ZERO	TARGET_LADDER|EXACT_FRAMES|COEXISTENCE	AR minim ladder and exact H1/H2 frames; distinct from OR on 48 lines	unbezifferte Portion|Formcode I	RETAIN_BROADER_PART_SERIES	Only in the registered headed wholes; bare ar is not globalized
chey	ch+e+y	Trockenform I	trockene Form I	DRY_STATE	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	ch/e/y state lattice and 67 headed occurrences	attributive Trockenbindung I	SIMPLIFY	Only in registered exact wholes
al	a+L[0 minims]	Rohstoffform I	Rohstoff- oder Materialstufe I	MATERIAL_SERIES	MEDIUM	ZERO	TARGET_COMPOSITION|COEXISTENCE	AL/OL contrast on 20 lines and four-head distribution	unangesetzter Rohstoff|Formcode I	RETAIN_BROADER_MATERIAL_SERIES	Only in registered exact wholes; bare al is not globalized
y	y	unmarkierte Grundform	unmarkierte Grund- oder Schlussform	BASE_OR_CLOSE	MEDIUM_HIGH	ZERO	TARGET_POSITION|STATE_LATTICE	Terminal-y closes several state families; 53 headed occurrences	resultative closure without lexical content	RETAIN_NONLEXICAL_ROLE	Only in registered exact wholes
air	a+i+R	Fraktionsklasse II	Teil- oder Fraktionsstufe II	PART_SERIES	MEDIUM	ZERO	TARGET_LADDER|EXISTING_IMAGE_AUDIT|ALTERNATE_READER_BOUNDARY	The AR minim ladder supplies the formal tier-II default; separately, five already inspected Herbal page-head p...air forms accompany conspicuous underground structures and RF1b splits one pdair as p|air	Wurzel- oder Untergrundteil in the five inherited Herbal visual cases|Formcode II	SEPARATE_FORMAL_DEFAULT_FROM_HERBAL_VISUAL_OVERRIDE	Use part/fraction tier II in the 96-form grid; only the already observed Herbal p...air family may receive the root/underground-part override; never infer species or export air globally
