source_id	work	source_type	date_or_witness_band	region_language	url	observed_architecture	relevance	exact_limit	head_lexeme_credit	glyphshape_credit	relation_credit	checked_evidence
HAS001	Ad fontes: Abbreviations	INSTITUTIONAL_PALAEOGRAPHY_REFERENCE	HIGH_AND_LATE_MIDDLE_AGES__MODERN_REFERENCE	LATIN_EUROPE__LATIN	https://www.adfontes.uzh.ch/en/tutorium/schriften-lesen/abkuerzungen	Suspension, contraction, syllabic abbreviation, superscript or special signs, and conventional prefix/suffix mechanisms coexist.	Supports bound and contextual abbreviation operators and distinguishes leading operators from terminal suspension.	Modern synthesis, not a local pharmaceutical inventory; no exact four-head code and no target shape comparison.	0	UNOBSERVED	0	OFFICIAL_TUTORIAL_PAGE_AND_GDT609_SOURCE_REVIEW
HAS002	Dresd.Od.83 superscript-letter abbreviation study	DATED_MANUSCRIPT_CASE_STUDY	CIRCA_1400_WITNESS__2018_STUDY	CENTRAL_EUROPE__MIDDLE_ENGLISH_WITH_LATIN_ABBREVIATION_TRADITION	https://czasopisma.kul.pl/index.php/LingBaW/article/view/5665	Whole-word and sequence abbreviations coexist; superscript letters are context-sensitive and chiefly word-final, with some medial use.	Supports position-sensitive sequence operators and supplies a hard geometry test for superscript or suspension models.	Biblical rather than pharmaceutical; the study supplies no target glyph, expansion, four-head inventory or semantic mapping.	0	UNOBSERVED	0	PUBLISHER_ARTICLE_PAGE_FULL_ABSTRACT_AND_GDT609_REPORT
HAS003	Abbreviations in Medieval Medical Manuscripts	MEDICAL_MANUSCRIPT_CORPUS_STUDY	LATE_14TH_TO_15TH_CENTURY_WITNESSES__2018_STUDY	ENGLAND_AND_LATIN_EUROPE__MIDDLE_ENGLISH_AND_LATIN	https://ebuah.uah.es/dspace/handle/10017/58582	Bound brevigraphs and contraction marks coexist with medical whole signs for Recipe, ana, handful and weight or measure units.	Directly supports a mixed medical layer of bound operators, free sigla and specialized record fields.	Several witnesses are later than 1420; the corpus does not attest the target four-head grid or identify any target sign.	0	UNOBSERVED	0	UNIVERSITY_REPOSITORY_RECORD_PUBLISHED_PAPER_AND_GDT609_REPORT
HAS004	Wellcome MS.491 Pseudo-Mesue Grabadin	PRIMARY_MANUSCRIPT_CATALOGUE	1418	GERMAN_SPEAKING_SCRIBE__LATIN	https://wellcomecollection.org/works/p395vx7a	A dated pharmacy manuscript uses red initials, paragraph marks and selected headings to articulate record hierarchy.	Period-matched evidence that entry opening, paragraph structure and pharmaceutical content can be separately marked.	Catalogue-level architecture only; no extracted microentry grid, four-head code, target glyph or semantic relation.	0	UNOBSERVED	0	OFFICIAL_WELLCOME_CATALOGUE_PAGE_AND_GDT626_COMPARATOR
HAS005	Wellcome MS.542 medical miscellany and materia-medica glossaries	PRIMARY_MANUSCRIPT_CATALOGUE_AND_TARGETED_OBSERVATIONS	EARLY_15TH_CENTURY	ENGLAND__LATIN_AND_MIDDLE_ENGLISH	https://wellcomecollection.org/works/n674z2xd	One manuscript and principal hand contain prescriptive experimental recipes and descriptive materia-medica glossaries; glossary entries combine learned names or named parts with quality and degree.	Strongest same-object support for separate descriptive and prescriptive record channels plus learned wholes and bound fields.	The catalogue and targeted rows do not establish a four-head code, target attachment direction, target lexeme, ingredient, unit or glyph identity.	0	UNOBSERVED	0	OFFICIAL_WELLCOME_CATALOGUE_PAGE_GDT735_HEO005_HEO006_HEO007_AND_GDT626_REPORT
HAS006	Wellcome MS.MSL.138 A Medical Lexicon	PRIMARY_MANUSCRIPT_CATALOGUE	14TH_CENTURY	LATIN_EUROPE__LATIN	https://wellcomecollection.org/works/zuuehrsn	An alphabetical glossary of drugs and samples with properties and preparation methods is highly contracted and articulated by red and blue entry capitals.	Supports learned pharmaceutical wholes, compact descriptive microentries and visible entry hierarchy.	Catalogue description rather than diplomatic row extraction; no four-head system or target relation is observed.	0	UNOBSERVED	0	OFFICIAL_WELLCOME_CATALOGUE_PAGE
HAS007	Wellcome MS.307 miscellany of practical medicine	PRIMARY_MANUSCRIPT_CATALOGUE_AND_RECIPE_EXAMPLES	LATE_14TH_CENTURY	NORTHERN_ITALY__ITALIAN	https://wellcomecollection.org/works/rexwctzt	Commands and named ingredients occur with invariant equal-amount marking and separate unit or number fields in compact compound recipes.	Supports prescriptive command, ingredient, equal-amount, unit and value slots as separable record functions.	Individual recipes do not identify a target command, ana sign, unit, value, head class or attachment rule.	0	UNOBSERVED	0	OFFICIAL_WELLCOME_CATALOGUE_PAGE_GDT735_HEO008_AND_GDT626_REPORT
HAS008	Wellcome MS.683 medical recipe collection	PRIMARY_MANUSCRIPT_CATALOGUE_AND_RECIPE_EXAMPLES	MID_15TH_CENTURY	NORTH_EAST_ITALY__LATIN	https://wellcomecollection.org/works/w6ne7k4t	Terse Recipe commands, named preparations and ingredient lists coexist with explicit equal-amount, grain-unit and Roman-value sequences such as ana grani ij.	Supports a prescriptive sequence of command or item, amount marker, unit and ordered value.	Later than the target period and no target attachment direction, unit, numeral, word or glyph follows.	0	UNOBSERVED	0	OFFICIAL_WELLCOME_CATALOGUE_PAGE_GDT735_HEO009_AND_GDT626_REPORT
HAS009	BSB Clm 667 temperament codebook	PRIMARY_MANUSCRIPT_AND_MANUAL_OBSERVATION_DECK	1481_TO_1490	BAVARIA__LATIN	https://www.digitale-sammlungen.de/en/details/bsb00051579	Learned drug names are followed by compact hot/cold, dry/moist and degree fields; values may be omitted while the name remains a learned whole.	Direct architecture comparator for whole-plus-descriptive-code records and a homogeneous quality-field prediction.	Roughly sixty years late; code letters, axis orientation, degree values and manuscript glyphs receive zero target mapping credit.	0	UNOBSERVED	0	OFFICIAL_BSB_CATALOGUE_GDT622_REPORT_AND_SOURCE_OBSERVATIONS
HAS010	Vatican Pal.lat.1234 degrees of simples	PRIMARY_MANUSCRIPT_AND_TARGETED_LAYOUT_OBSERVATIONS	CIRCA_1400	LATIN_EUROPE__LATIN	https://digi.vatlib.it/view/MSS_Pal.lat.1234	Quality-degree rubrics scope lists of simples, and nested headings distinguish seed, flower, leaf, fruit, root, wood and gum classes.	Period-near comparator for rubric-scoped descriptive fields, ordered grades and part-class hierarchy.	Rubrics are mostly written out; no target head order, sign, initial, lexeme, plant part or degree is identified.	0	UNOBSERVED	0	OFFICIAL_VATICAN_DIGITIZATION_GDT735_HEO002_HEO003_HEO004_AND_GDT626_REPORT
