card_no	exact_card_id	component_recipe	meaning_de	scribe	chosen_surface	surface_registered	variant_reused_due_to_small_inventory	decoded_recipe	decoded_meaning_de	semantic_agreement
1	PROC115	OL	WEITER	S1_BARE	ls	YES	NO	OL	WEITER	YES
1	PROC115	OL	WEITER	S2_CH	ls	YES	YES	OL	WEITER	YES
1	PROC115	OL	WEITER	S3_Q_SH	ls	YES	YES	OL	WEITER	YES
1	PROC115	OL	WEITER	S4_D_T	ls	YES	YES	OL	WEITER	YES
2	PROC019	Y	POSTEN	S1_BARE	y	YES	NO	Y	POSTEN	YES
2	PROC019	Y	POSTEN	S2_CH	chey	YES	NO	Y	POSTEN	YES
2	PROC019	Y	POSTEN	S3_Q_SH	shy	YES	NO	Y	POSTEN	YES
2	PROC019	Y	POSTEN	S4_D_T	dy	YES	NO	Y	POSTEN	YES
3	PROC055	AL	ZIELSTELLE	S1_BARE	al	YES	NO	AL	ZIELSTELLE	YES
3	PROC055	AL	ZIELSTELLE	S2_CH	cheal	YES	NO	AL	ZIELSTELLE	YES
3	PROC055	AL	ZIELSTELLE	S3_Q_SH	sal	YES	NO	AL	ZIELSTELLE	YES
3	PROC055	AL	ZIELSTELLE	S4_D_T	dal	YES	NO	AL	ZIELSTELLE	YES
4	PROC009	AIIN	SOLLMASS	S1_BARE	aiin	YES	NO	AIIN	SOLLMASS	YES
4	PROC009	AIIN	SOLLMASS	S2_CH	chaiin	YES	NO	AIIN	SOLLMASS	YES
4	PROC009	AIIN	SOLLMASS	S3_Q_SH	saiin	YES	NO	AIIN	SOLLMASS	YES
4	PROC009	AIIN	SOLLMASS	S4_D_T	daiin	YES	NO	AIIN	SOLLMASS	YES
5	PROC016	OR	ANSATZ	S1_BARE	or	YES	NO	OR	ANSATZ	YES
5	PROC016	OR	ANSATZ	S2_CH	chor	YES	NO	OR	ANSATZ	YES
5	PROC016	OR	ANSATZ	S3_Q_SH	shor	YES	NO	OR	ANSATZ	YES
5	PROC016	OR	ANSATZ	S4_D_T	sor	YES	NO	OR	ANSATZ	YES
6	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	S1_BARE	tedy	YES	NO	SHED+DY	STEHENLASSEN · SCHLUSS	YES
6	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	S2_CH	cheedy	YES	NO	SHED+DY	STEHENLASSEN · SCHLUSS	YES
6	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	S3_Q_SH	shedy	YES	NO	SHED+DY	STEHENLASSEN · SCHLUSS	YES
6	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	S4_D_T	tedy	YES	YES	SHED+DY	STEHENLASSEN · SCHLUSS	YES
7	PROC011	OK+Y	ANSETZEN · POSTEN	S1_BARE	okchy	YES	NO	OK+Y	ANSETZEN · POSTEN	YES
7	PROC011	OK+Y	ANSETZEN · POSTEN	S2_CH	chokchy	YES	NO	OK+Y	ANSETZEN · POSTEN	YES
7	PROC011	OK+Y	ANSETZEN · POSTEN	S3_Q_SH	qokchy	YES	NO	OK+Y	ANSETZEN · POSTEN	YES
7	PROC011	OK+Y	ANSETZEN · POSTEN	S4_D_T	okchy	YES	YES	OK+Y	ANSETZEN · POSTEN	YES
8	PROC014	CTH+Y	BEREITEN · POSTEN	S1_BARE	cthy	YES	NO	CTH+Y	BEREITEN · POSTEN	YES
8	PROC014	CTH+Y	BEREITEN · POSTEN	S2_CH	checthy	YES	NO	CTH+Y	BEREITEN · POSTEN	YES
8	PROC014	CTH+Y	BEREITEN · POSTEN	S3_Q_SH	shcthy	YES	NO	CTH+Y	BEREITEN · POSTEN	YES
8	PROC014	CTH+Y	BEREITEN · POSTEN	S4_D_T	cthy	YES	YES	CTH+Y	BEREITEN · POSTEN	YES
9	PROC003	AR	QUELLE	S1_BARE	dar	YES	NO	AR	QUELLE	YES
9	PROC003	AR	QUELLE	S2_CH	char	YES	NO	AR	QUELLE	YES
9	PROC003	AR	QUELLE	S3_Q_SH	sar	YES	NO	AR	QUELLE	YES
9	PROC003	AR	QUELLE	S4_D_T	dar	YES	YES	AR	QUELLE	YES
10	PROC094	CHD+DY	UMSETZEN · SCHLUSS	S1_BARE	dchdy	YES	NO	CHD+DY	UMSETZEN · SCHLUSS	YES
10	PROC094	CHD+DY	UMSETZEN · SCHLUSS	S2_CH	dchdy	YES	YES	CHD+DY	UMSETZEN · SCHLUSS	YES
10	PROC094	CHD+DY	UMSETZEN · SCHLUSS	S3_Q_SH	dchdy	YES	YES	CHD+DY	UMSETZEN · SCHLUSS	YES
10	PROC094	CHD+DY	UMSETZEN · SCHLUSS	S4_D_T	dchdy	YES	YES	CHD+DY	UMSETZEN · SCHLUSS	YES
11	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	S1_BARE	okaiin	YES	NO	OK+AIIN	ANSETZEN · SOLLMASS	YES
11	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	S2_CH	qokaiin	YES	NO	OK+AIIN	ANSETZEN · SOLLMASS	YES
11	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	S3_Q_SH	qokaiin	YES	YES	OK+AIIN	ANSETZEN · SOLLMASS	YES
11	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	S4_D_T	okaiin	YES	YES	OK+AIIN	ANSETZEN · SOLLMASS	YES
12	PROC034	RESUME_CARD	DAVON	S1_BARE	dchol	YES	NO	RESUME_CARD	DAVON	YES
12	PROC034	RESUME_CARD	DAVON	S2_CH	schol	YES	NO	RESUME_CARD	DAVON	YES
12	PROC034	RESUME_CARD	DAVON	S3_Q_SH	schol	YES	YES	RESUME_CARD	DAVON	YES
12	PROC034	RESUME_CARD	DAVON	S4_D_T	dchol	YES	YES	RESUME_CARD	DAVON	YES
