card_no	exact_card_id	component_recipe	meaning_de	registered_variants	S1_BARE	S2_CH	S3_Q_SH	S4_D_T	distinct_chosen_surfaces	all_decode_same
1	PROC115	OL	WEITER	1	ls	ls	ls	ls	1	YES
2	PROC019	Y	POSTEN	6	y	chey	shy	dy	4	YES
3	PROC055	AL	ZIELSTELLE	6	al	cheal	sal	dal	4	YES
4	PROC009	AIIN	SOLLMASS	5	aiin	chaiin	saiin	daiin	4	YES
5	PROC016	OR	ANSATZ	4	or	chor	shor	sor	4	YES
6	PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	3	tedy	cheedy	shedy	tedy	3	YES
7	PROC011	OK+Y	ANSETZEN · POSTEN	3	okchy	chokchy	qokchy	okchy	3	YES
8	PROC014	CTH+Y	BEREITEN · POSTEN	3	cthy	checthy	shcthy	cthy	3	YES
9	PROC003	AR	QUELLE	3	dar	char	sar	dar	3	YES
10	PROC094	CHD+DY	UMSETZEN · SCHLUSS	1	dchdy	dchdy	dchdy	dchdy	1	YES
11	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	2	okaiin	qokaiin	qokaiin	okaiin	2	YES
12	PROC034	RESUME_CARD	DAVON	2	dchol	schol	schol	dchol	2	YES
