artifact_role	relative_path	data_rows	sha256	release_status
CODEBOOK	experiments/yolo/sidequest_semantic_formula_ligature_reconciliation_nine_hundred_ninety_eighth/PASS998_159_RECONCILED_CODEBOOK.tsv	159	e56b98a4f5c9dbd83db87b1eb3ea028b9b3636b69e4ad81f031e51e49b739a76	CURRENT_BOUND_INPUT
ROOTS	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_53_PORTABLE_ROOTS.tsv	53	7935b61fdc4fb9d5059b40f0e9ff56dbeaab81f78d90a32c184633ce5bc8612a	CURRENT_BOUND_INPUT
FORMULA_LIGATURES	experiments/yolo/sidequest_semantic_formula_ligature_reconciliation_nine_hundred_ninety_eighth/PASS998_30_FORMULA_LIGATURES.tsv	30	0ebaa98a0a9414c660d463f2f20a469f2e6289b8f245654cf6d165c0e8f936d1	CURRENT_BOUND_INPUT
SPECIALISTS	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_56_SPECIALIST_HEADWORDS.tsv	56	b274e36f3430ccfb0b45f089efb7ad07bdc6a254856420c476ce0914a170284b	CURRENT_BOUND_INPUT
EVENTS	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_2511_EVENT_INTERLINEAR.tsv	2511	f454753f8231970d9b9eb1caa6963f5590b5f68b29ed32a14d2f9c55a764e112	CURRENT_BOUND_INPUT
CLAUSES	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_354_NATURAL_CLAUSE_EDITION.tsv	354	5f95938961f825bbba99cf0074d0b404f17becdd388e66a0f975fd1353b3ac19	CURRENT_BOUND_INPUT
ADDRESSES	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_501_LOCAL_ADDRESS_LEDGER.tsv	501	b2f4d1766cf57b28ed60bc71f91d432cf5758addf605c66a5ad70a330fcd23f8	CURRENT_BOUND_INPUT
PAGES	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_14_PAGE_READABLE_EDITION.tsv	14	4420a3f3dc541c94dc8e4b078f7c2d4601c26279cf91fd308d55a85ec5469657	CURRENT_BOUND_INPUT
BIO_EVENT_PHRASES	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_1280_BIOLOGICAL_EVENT_PHRASES.tsv	1280	d19f1e83cfb416b4a5e90cef371de62afb0cbf83049dd30df6e5210c52315a84	CURRENT_BOUND_INPUT
BIO_CLAUSES	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_318_BIOLOGICAL_CLAUSES.tsv	318	321c74f4820fb11640b45083375894377e9c4f2c3df348d82b775a370328e4e5	CURRENT_BOUND_INPUT
F88_LABELS	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_16_F88R_INGREDIENT_LABELS.tsv	16	34041c8e240cd32fdb993615173c4d0af279d90e8ab6e2d11dc77bbaaa5f5df8	CURRENT_BOUND_INPUT
F88_BATCHES	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_THREE_F88R_BATCHES.tsv	3	009f860ec7709a14a9ffea278c75514e43f9846a67513c15528461b75ec2f564	CURRENT_BOUND_INPUT
SECOND_DRAWER	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_70_SECOND_DRAWER_COMPOSITIONS.tsv	70	a817a4d74caeae8acb88b1e3cea70c31aabfe9b88f5ac4dfef07ebaa29726641	CURRENT_BOUND_INPUT
CORRECTED_GRID	experiments/yolo/sidequest_semantic_layered_composition_grid_correction_nine_hundred_ninety_seventh/PASS997_CORRECTED_LAYERED_EIGHT_BY_EIGHT_GRID.tsv	64	014082946800ca370889577f966dd7c37d211a1c008f3b60f55bfc487e9490c5	CURRENT_BOUND_INPUT
EMPTY_GRID_CELLS	experiments/yolo/sidequest_semantic_layered_composition_grid_correction_nine_hundred_ninety_seventh/PASS997_TWENTY_FIVE_TRUE_EMPTY_CELLS.tsv	25	290de1d8b3e42b7af74525d9902e8228d19649708400be1a5ca32405b9c55865	CURRENT_BOUND_INPUT
SURFACE_COLLISIONS	experiments/yolo/sidequest_semantic_layered_composition_grid_correction_nine_hundred_ninety_seventh/PASS997_THREE_SURFACE_COLLISIONS.tsv	3	406ba8ae7e0879af94a496eb609feec15e87b7986e2f193efa1179c85baebaa0	CURRENT_BOUND_INPUT
HEADWORD_REVISIONS	experiments/yolo/sidequest_semantic_canonical_scribe_workshop_sixth_edition_nine_hundred_ninety_sixth/PASS996_SIX_SHORT_HEADWORD_REVISIONS.tsv	6	065b013fed2eaa4962f8b80f0cb59fe2a87a9de011a3a8df83eb58463b07e6ae	CURRENT_BOUND_INPUT
