complete_label_surface	circle_occurrence_count	array_count	physical_folio_count	arrays	physical_folios	clock_positions	smallest_clock_arc_hours	smallest_axis_folded_arc_hours	kluge_a_positions	smallest_kluge_arc_members	source_slot_linear_range_fraction	same_array_collision	collision_arrays	running_occurrence_count	running_physical_pages	best_observed_model	working_default_de	confidence	evidence	counterevidence	renderer_license	component_export_credit	confirmed_lexeme
okal	3	2	2	SCARR002|f67r2|M1|SCARR029|f72r2|S1	f67|f72	11.500000|0.000000|1.250000	1.750000	1.750000	12|14	2.000000	0.125000	YES	SCARR029|f72r2|S1	16	11	UPPER_SECTOR_ENTRY_CLASS_RIVAL	KENNSTELLEN-/SYSTEMEINTRAGSCODE; oberer Kreissektor als Rival (11:30–1:15)	C0_RETAINED_WHOLE_RIVAL	f67:SCARR002|f67r2|M1:slot2:clock11.500000:KNA|f72:SCARR029|f72r2|S1:slot3:clock0.000000:K12|f72:SCARR029|f72r2|S1:slot5:clock1.250000:K14	same-array collision at SCARR029|f72r2|S1	GDT793_C0_RETAINED__NO_COMPONENT_EXPORT	ZERO	NO
okalar	2	2	1	SCARR029|f72r2|S1|SCARR032|f72r3|S2	f72	11.000000|6.500000	4.500000	1.500000	11	0.000000	0.664773	NO	NONE	1	1	LOCAL_MULTI_ARRAY_ENTRY_NO_TRANSFER	lokaler Kreiseintrag über mehrere Ringe; Transfer offen	C0_STRUCTURAL_DEFAULT	f72:SCARR029|f72r2|S1:slot2:clock11.000000:K11|f72:SCARR032|f72r3|S2:slot9:clock6.500000:KNA	positions diverge or do not provide a cross-folio coordinate key	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
okaly	2	1	1	SCARR029|f72r2|S1	f72	0.750000|7.250000	5.500000	0.500000	13|21	8.000000	0.500000	YES	SCARR029|f72r2|S1	1	1	REPEATED_ENTRY_CLASS_NOT_UNIQUE_POSITION	wiederkehrende Kreiseintragsklasse; kein einzelner Platz	C0_STRUCTURAL_DEFAULT	f72:SCARR029|f72r2|S1:slot4:clock0.750000:K13|f72:SCARR029|f72r2|S1:slot12:clock7.250000:K21	same-array collision at SCARR029|f72r2|S1	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
okaram	2	2	2	SCARR019|f70v2|S1|SCARR028|f72r2|S0	f70|f72	4.500000|11.750000	4.750000	1.250000	6|28	8.000000	0.000000	NO	NONE	0	0	CROSS_FOLIO_LEARNED_ENTRY_NO_FIXED_POSITION	gelernter Kreiseintrag; Position wechselt zwischen Folios	C0_STRUCTURAL_DEFAULT	f70:SCARR019|f70v2|S1:slot5:clock4.500000:K6|f72:SCARR028|f72r2|S0:slot3:clock11.750000:K28	positions diverge or do not provide a cross-folio coordinate key	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
okeal	2	2	2	SCARR015|f69v|X1|SCARR029|f72r2|S1	f69|f72	1.500000|6.250000	4.750000	1.250000	19	0.000000	0.348214	NO	NONE	0	0	CROSS_FOLIO_LEARNED_ENTRY_NO_FIXED_POSITION	gelernter Kreiseintrag; Position wechselt zwischen Folios	C0_STRUCTURAL_DEFAULT	f69:SCARR015|f69v|X1:slot7:clock1.500000:KNA|f72:SCARR029|f72r2|S1:slot10:clock6.250000:K19	positions diverge or do not provide a cross-folio coordinate key	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
okeey ary	2	2	1	SCARR027|f72r1|S2|SCARR029|f72r2|S1	f72	6.000000|2.000000	4.000000	2.000000	4|15	11.000000	0.287500	NO	NONE	0	0	LOCAL_MULTI_ARRAY_ENTRY_NO_TRANSFER	lokaler Kreiseintrag über mehrere Ringe; Transfer offen	C0_STRUCTURAL_DEFAULT	f72:SCARR027|f72r1|S2:slot4:clock6.000000:K4|f72:SCARR029|f72r2|S1:slot6:clock2.000000:K15	positions diverge or do not provide a cross-folio coordinate key	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
okeod	3	1	1	SCARR015|f69v|X1	f69	2.000000|3.250000|7.000000	5.000000	2.250000	NONE	NA	0.464286	YES	SCARR015|f69v|X1	0	0	REPEATED_ENTRY_CLASS_NOT_UNIQUE_POSITION	wiederkehrende Kreiseintragsklasse; kein einzelner Platz	C0_STRUCTURAL_DEFAULT	f69:SCARR015|f69v|X1:slot8:clock2.000000:KNA|f69:SCARR015|f69v|X1:slot12:clock3.250000:KNA|f69:SCARR015|f69v|X1:slot21:clock7.000000:KNA	same-array collision at SCARR015|f69v|X1	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
okodar	2	2	1	SCARR003|f67r2|M2|SCARR004|f67r2|M3	f67	8.500000|2.500000	6.000000	0.000000	NONE	NA	0.428571	NO	NONE	0	0	LOCAL_MULTI_ARRAY_ENTRY_NO_TRANSFER	lokaler Kreiseintrag über mehrere Ringe; Transfer offen	C0_STRUCTURAL_DEFAULT	f67:SCARR003|f67r2|M2:slot1:clock8.500000:KNA|f67:SCARR004|f67r2|M3:slot4:clock2.500000:KNA	positions diverge or do not provide a cross-folio coordinate key	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
okody	2	2	2	SCARR015|f69v|X1|SCARR018|f70v2|S2	f69|f70	0.500000|3.000000	2.500000	2.500000	21	0.000000	0.225564	NO	NONE	0	0	CROSS_FOLIO_LEARNED_ENTRY_NO_FIXED_POSITION	gelernter Kreiseintrag; Position wechselt zwischen Folios	C0_STRUCTURAL_DEFAULT	f69:SCARR015|f69v|X1:slot5:clock0.500000:KNA|f70:SCARR018|f70v2|S2:slot8:clock3.000000:K21	positions diverge or do not provide a cross-folio coordinate key	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
okolar	2	2	2	SCARR015|f69v|X1|SCARR024|f71v|S1	f69|f71	4.500000|0.500000	4.000000	2.000000	8	0.000000	0.300000	NO	NONE	0	0	CROSS_FOLIO_LEARNED_ENTRY_NO_FIXED_POSITION	gelernter Kreiseintrag; Position wechselt zwischen Folios	C0_STRUCTURAL_DEFAULT	f69:SCARR015|f69v|X1:slot15:clock4.500000:KNA|f71:SCARR024|f71v|S1:slot3:clock0.500000:K8	positions diverge or do not provide a cross-folio coordinate key	NO_ACTIVE_RENDERER__CLASS_DEFAULT_ONLY	ZERO	NO
