admitted_slot_ordinal	array_index	array_id	array_class	physical_folio	source_selector	unit	locus	complete_label_surface	label_token_count	surface_family	slot_index	slot_count	source_slot_fraction	visible_clock_hour	axis_folded_clock_hour	kluge_a_member	grove_member	unit_description	local_comment	coordinate_semantics	component_export_credit
1	2	SCARR002|f67r2|M1	MOON_RING	f67	f67r2	M1	f67r2.15	dolchsody	1	OTHER_INITIAL	1	7	0.000000	9.500000	3.500000	NA	NA	Circle of seven labels above some of the moons.	"Conjectured by Robert Firth to be the names of the seven Ptolemaic planets Transcribed clockwise from 09:30, right after the dotted line emanating from the central star. ""B"" transcription from a message by R. Zandberger, entered by J. Stolfi Moon at 09:30, red. The second half of the label was retraced in dark grey ink."	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
2	2	SCARR002|f67r2|M1	MOON_RING	f67	f67r2	M1	f67r2.22	okal	1	OKAL_PREFIX	2	7	0.142857	11.500000	5.500000	NA	NA	Circle of seven labels above some of the moons.	Moon at 11:30, red; the Sun? The first @o was retraced in dark ink.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
3	2	SCARR002|f67r2|M1	MOON_RING	f67	f67r2	M1	f67r2.28	okain am	2	OTHER_OK_PREFIX	3	7	0.285714	1.500000	1.500000	NA	NA	Circle of seven labels above some of the moons.	Moon at 01:30, red	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
4	2	SCARR002|f67r2|M1	MOON_RING	f67	f67r2	M1	f67r2.31	opcholdy	1	OTHER_O_PREFIX	4	7	0.428571	2.500000	2.500000	NA	NA	Circle of seven labels above some of the moons.	Moon at 02:30, light yellow. The gallows has half of a hook at the end of the horz arm, so it is halfway between @p and @w.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
5	2	SCARR002|f67r2|M1	MOON_RING	f67	f67r2	M1	f67r2.34	ofar oeoldan	2	OTHER_O_PREFIX	5	7	0.571429	3.500000	3.500000	NA	NA	Circle of seven labels above some of the moons.	Moon at 03:30, light yellow.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
6	2	SCARR002|f67r2|M1	MOON_RING	f67	f67r2	M1	f67r2.37	ytoaiin	1	OTHER_INITIAL	6	7	0.714286	4.500000	4.500000	NA	NA	Circle of seven labels above some of the moons.	Moon at 04:30, red.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
7	2	SCARR002|f67r2|M1	MOON_RING	f67	f67r2	M1	f67r2.47	yfain	1	OTHER_INITIAL	7	7	0.857143	7.500000	1.500000	NA	NA	Circle of seven labels above some of the moons.	Moon at 07:30, red. The gallows has half of a hook at the end of the horz arm, so it is halfway between @f and @z.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
8	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.63	okodar	1	OTHER_OK_PREFIX	1	12	0.000000	8.500000	2.500000	NA	NA	Circle of 12 labels under the moons.	Transcribed clockwise from 08:30, at the dotted line emanating from the central star. Moon at 08:30, yellow, no label above.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
9	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.52	qotoear	1	OTHER_INITIAL	2	12	0.083333	9.500000	3.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 09:30, red.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
10	3	SCARR003|f67r2|M2	MOON_RING	f67	f67r2	M2	f67r2.53	dchdar	1	OTHER_INITIAL	3	12	0.166667	10.500000	4.500000	NA	NA	Circle of 12 labels under the moons.	Moon at 10:30, yellow, no label above.	SOURCE_ORDER__VISIBLE_ANGLE__AXIS_CLASS__KLUGE_HOMOLOG_SEPARATE	ZERO
