admitted_slot_ordinal	array_id	physical_folio	source_selector	locus	complete_label_surface	label_token_count	sequence_default_de	sequence_working_display	default_source	suppressed_unconditional_token_default_count	suppressed_unconditional_token_defaults	tokenwise_pharmaceutical_composition_allowed	renderer_precedence	semantic_confidence	component_export_credit
1	SCARR002|f67r2|M1	f67	f67r2	f67r2.15	dolchsody	1	individuelle Kreisbezeichnung bei sichtbarer Lage 9.500000 Uhr (Bedeutung offen)	⟦dolchsody:individuelle Kreisbezeichnung bei sichtbarer Lage 9.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
2	SCARR002|f67r2|M1	f67	f67r2	f67r2.22	okal	1	KENNSTELLEN-/SYSTEMEINTRAGSCODE; oberer Kreissektor als Rival (11:30–1:15)	⟦okal:KENNSTELLEN-/SYSTEMEINTRAGSCODE; oberer Kreissektor als Rival (11:30–1:15)⟧	GDT794_REPEATED_COMPLETE_LABEL_DEFAULT	1	okal=Rohstoffklasse I im heißen Ansatz, Gradanfang	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
3	SCARR002|f67r2|M1	f67	f67r2	f67r2.28	okain am	2	individuelle Kreisbezeichnung bei sichtbarer Lage 1.500000 Uhr (Bedeutung offen)	⟦okain am:individuelle Kreisbezeichnung bei sichtbarer Lage 1.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	2	okain=heißer Ansatz, Grad II|am=Maß I	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
4	SCARR002|f67r2|M1	f67	f67r2	f67r2.31	opcholdy	1	individuelle Kreisbezeichnung bei sichtbarer Lage 2.500000 Uhr (Bedeutung offen)	⟦opcholdy:individuelle Kreisbezeichnung bei sichtbarer Lage 2.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
5	SCARR002|f67r2|M1	f67	f67r2	f67r2.34	ofar oeoldan	2	individuelle Kreisbezeichnung bei sichtbarer Lage 3.500000 Uhr (Bedeutung offen)	⟦ofar oeoldan:individuelle Kreisbezeichnung bei sichtbarer Lage 3.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
6	SCARR002|f67r2|M1	f67	f67r2	f67r2.37	ytoaiin	1	individuelle Kreisbezeichnung bei sichtbarer Lage 4.500000 Uhr (Bedeutung offen)	⟦ytoaiin:individuelle Kreisbezeichnung bei sichtbarer Lage 4.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
7	SCARR002|f67r2|M1	f67	f67r2	f67r2.47	yfain	1	individuelle Kreisbezeichnung bei sichtbarer Lage 7.500000 Uhr (Bedeutung offen)	⟦yfain:individuelle Kreisbezeichnung bei sichtbarer Lage 7.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
8	SCARR003|f67r2|M2	f67	f67r2	f67r2.63	okodar	1	lokaler Kreiseintrag über mehrere Ringe; Transfer offen	⟦okodar:lokaler Kreiseintrag über mehrere Ringe; Transfer offen⟧	GDT794_REPEATED_COMPLETE_LABEL_DEFAULT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
9	SCARR003|f67r2|M2	f67	f67r2	f67r2.52	qotoear	1	individuelle Kreisbezeichnung bei sichtbarer Lage 9.500000 Uhr (Bedeutung offen)	⟦qotoear:individuelle Kreisbezeichnung bei sichtbarer Lage 9.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
10	SCARR003|f67r2|M2	f67	f67r2	f67r2.53	dchdar	1	individuelle Kreisbezeichnung bei sichtbarer Lage 10.500000 Uhr (Bedeutung offen)	⟦dchdar:individuelle Kreisbezeichnung bei sichtbarer Lage 10.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
11	SCARR003|f67r2|M2	f67	f67r2	f67r2.54	y saldal	2	individuelle Kreisbezeichnung bei sichtbarer Lage 11.500000 Uhr (Bedeutung offen)	⟦y saldal:individuelle Kreisbezeichnung bei sichtbarer Lage 11.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
12	SCARR003|f67r2|M2	f67	f67r2	f67r2.55	ytodal	1	individuelle Kreisbezeichnung bei sichtbarer Lage 0.500000 Uhr (Bedeutung offen)	⟦ytodal:individuelle Kreisbezeichnung bei sichtbarer Lage 0.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	0	NONE	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
13	SCARR003|f67r2|M2	f67	f67r2	f67r2.56	tol daiin	2	individuelle Kreisbezeichnung bei sichtbarer Lage 1.500000 Uhr (Bedeutung offen)	⟦tol daiin:individuelle Kreisbezeichnung bei sichtbarer Lage 1.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	tol=kalt	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
14	SCARR003|f67r2|M2	f67	f67r2	f67r2.57	otar dy	2	individuelle Kreisbezeichnung bei sichtbarer Lage 2.500000 Uhr (Bedeutung offen)	⟦otar dy:individuelle Kreisbezeichnung bei sichtbarer Lage 2.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	1	otar=kalter Zubereitungsanteil I	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
15	SCARR003|f67r2|M2	f67	f67r2	f67r2.58	cho dal g	3	individuelle Kreisbezeichnung bei sichtbarer Lage 3.500000 Uhr (Bedeutung offen)	⟦cho dal g:individuelle Kreisbezeichnung bei sichtbarer Lage 3.500000 Uhr (Bedeutung offen)⟧	VISIBLE_CLOCK_POSITION_CONTEXT	2	cho=Trockenansatz|dal=Rohstoff I, abgemessen	NO	RADIAL_LABEL_SEQUENCE_OVERRIDE_GT_GLOBAL_TOKEN	C0_CONTEXT_OVERRIDE_NOT_PLAINTEXT	ZERO
