complete_label_surface	circle_label_occurrence_count	circle_physical_folio_count	circle_arrays	released_running_occurrence_count	released_running_physical_pages	v99r7_entry_present	v99r7_previous_working_meaning_de	v99r7_previous_confidence	v99r7_previous_positive_evidence	v99r7_previous_counterevidence	v99r7_unconditional_global_export_allowed	gdt794_cross_scope_decision	later_route_context	circle_context_default_de	prose_scope_disposition	component_export_credit	confirmed_lexeme
okal	3	2	SCARR002|f67r2|M1|SCARR029|f72r2|S1	16	11	YES	Rohstoffklasse I im heißen Ansatz, Gradanfang	W2_PROVISIONAL_WORKING	4 aktive exakte Positionen auf 3 Seiten und 3 Zeilen; letzte semantische Entscheidung GDT691: Rollen-Dispatch der Zubereitungskoepfe; 0 aktionslizenzierte und 0 identitaetssignalisierte Positionen	historisch unbestaetigt; Score bewertet nur die interne Arbeitstheorie; aelterer V48-Default ist superseded prior, nicht Evidenz der aktuellen Glosse: Rohstoffklasse I im Ansatz, heiß am Gradanfang; lebender Rivale: Rohstoffklasse I der Heißzubereitung	1	OLD_PHARMA_READING_ALREADY_SUPERSEDED_BY_GDT793	GDT793_OKAL_SYSTEM_ENTRY_CODE	KENNSTELLEN-/SYSTEMEINTRAGSCODE; oberer Kreissektor als Rival (11:30–1:15)	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okalar	2	1	SCARR029|f72r2|S1|SCARR032|f72r3|S2	1	1	NO	NONE	NONE	NONE	NONE	0	NO_UNIVERSAL_V99R7_READING_TO_QUARANTINE	NONE	lokaler Kreiseintrag über mehrere Ringe; Transfer offen	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okaly	2	1	SCARR029|f72r2|S1	1	1	YES	Rohstoff-I-Ansatz leicht erhitzen und abschließen	W3_SOLID_WORKING_THEORY	V48-Quelle GDT665:EXACT_WHOLE mit Staerke STRONG_PRACTICAL_OR_COMPOSITIONAL und Scope KNOWN_EXACT_WHOLE; 16 exakte ZL3b-Vorkommen auf 12 Seiten und 16 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	1	HOLD_UNIVERSAL_PHARMA_READING__STANDALONE_CELESTIAL_LABEL_CONFLICT	GDT251_OKALY_LABEL_RENDERER_FAMILY_DEMOTION	wiederkehrende Kreiseintragsklasse; kein einzelner Platz	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okaram	2	2	SCARR019|f70v2|S1|SCARR028|f72r2|S0	0	0	YES	ein Maß der ersten erhitzten Ansatzfraktion	W2_PROVISIONAL_WORKING	V48-Quelle GDT665:EXACT_WHOLE mit Staerke STRONG_PRACTICAL_OR_COMPOSITIONAL und Scope KNOWN_EXACT_WHOLE; 1 exakte ZL3b-Vorkommen auf 1 Seiten und 1 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie; kein seitenuebergreifender Bedeutungsbeleg	1	HOLD_UNIVERSAL_PHARMA_READING__STANDALONE_CELESTIAL_LABEL_CONFLICT	NONE	gelernter Kreiseintrag; Position wechselt zwischen Folios	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okeal	2	2	SCARR015|f69v|X1|SCARR029|f72r2|S1	0	0	YES	Rohstoffklasse I im Ansatz, heiß in der Gradmitte	W3_SOLID_WORKING_THEORY	V48-Quelle GDT656:NEW_EXACT_WHOLE mit Staerke EXACT_WHOLE_AL_QUALITY_POSITION_SHELL und Scope KNOWN_EXACT_WHOLE; 10 exakte ZL3b-Vorkommen auf 8 Seiten und 10 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	1	HOLD_UNIVERSAL_PHARMA_READING__STANDALONE_CELESTIAL_LABEL_CONFLICT	NONE	gelernter Kreiseintrag; Position wechselt zwischen Folios	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okeey ary	2	1	SCARR027|f72r1|S2|SCARR029|f72r2|S1	0	0	NO	NONE	NONE	NONE	NONE	0	NO_UNIVERSAL_V99R7_READING_TO_QUARANTINE	NONE	lokaler Kreiseintrag über mehrere Ringe; Transfer offen	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okeod	3	1	SCARR015|f69v|X1	0	0	NO	NONE	NONE	NONE	NONE	0	NO_UNIVERSAL_V99R7_READING_TO_QUARANTINE	NONE	wiederkehrende Kreiseintragsklasse; kein einzelner Platz	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okodar	2	1	SCARR003|f67r2|M2|SCARR004|f67r2|M3	0	0	NO	NONE	NONE	NONE	NONE	0	NO_UNIVERSAL_V99R7_READING_TO_QUARANTINE	NONE	lokaler Kreiseintrag über mehrere Ringe; Transfer offen	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okody	2	2	SCARR015|f69v|X1|SCARR018|f70v2|S2	0	0	NO	NONE	NONE	NONE	NONE	0	NO_UNIVERSAL_V99R7_READING_TO_QUARANTINE	NONE	gelernter Kreiseintrag; Position wechselt zwischen Folios	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
okolar	2	2	SCARR015|f69v|X1|SCARR024|f71v|S1	0	0	NO	NONE	NONE	NONE	NONE	0	NO_UNIVERSAL_V99R7_READING_TO_QUARANTINE	NONE	gelernter Kreiseintrag; Position wechselt zwischen Folios	PRESERVE_AS_HISTORICAL_CANDIDATE__REVIEW_BEFORE_ANY_GLOBAL_USE	ZERO	NO
