kluge_a_member	label_count	physical_folio_count	complete_labels	literal_okal_prefix_count	literal_okal_prefix_rate	okal_prefix_labels	interpretation
1	5	3	otar am|okoly|ofaom|ofaralar|otal	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
2	5	3	otar al|otalaiin|otalody|otchoshy|ralal	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
3	5	3	otalar|oteo alals araly|otalaiin|otchdal|okam	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
4	5	3	otalam|oteoeey otal okealar|otar shar|okeey ary|otalshy	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
5	5	3	dolaram|otear araydy|sholshdy|otainy|okaldy	1	0.200000	okaldy	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
6	5	3	okaram|otalchy tar am dy|char arom|oshodady|chosar	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
7	5	3	oteosal|opchey sal|chfaly|chdaiirdainy|otam	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
8	5	3	salols|otakaizan|okolar|oaiin ar ary|ainaly	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
9	5	3	okaldal|okalal|otchody|okalam|okarcham	3	0.600000	okaldal|okalal|okalam	POSTHOC_OKAL_FAMILY_CONCENTRATION_CANDIDATE
10	5	3	ykolaiin|otaly|alcphy|ytalshdy|otaraldy	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
11	5	3	otalalg|oalcheg|otaiin|char alif|okalar	1	0.200000	okalar	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
12	5	3	ykary|otchodals|okaraiin|otaraldy|okal	1	0.200000	okal	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
13	5	3	otar|okolshy|otar ar aly|otaiin otain|okaly	1	0.200000	okaly	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
14	3	3	oty|opalar am dan|okal	1	0.333333	okal	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
15	5	3	oky ody|otal ypsharal|opalor ar|ochol sharam|okeey ary	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
16	2	2	oty ar|oteeary	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
17	2	2	okala|otair dy	1	0.500000	okala	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
18	2	2	otody|okaircham	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
19	2	2	otald|okeal	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
20	2	2	otaldar|otar	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
21	2	2	okody|okaly	1	0.500000	okaly	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
22	2	2	opysam|orary	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
23	1	1	chy	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
24	2	2	otaly|okyd	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
25	2	2	otal arar|otolam	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
26	2	2	otaldy|ofchdamy	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
27	2	2	okeoly|oklairdy	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
28	2	2	okydy|okaram	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
29	2	2	okees|okairy	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
30	1	1	okealar	0	0.000000	NONE	DESCRIPTIVE_TRUE_HOMOLOG_CENSUS
