job_step	stage	unit_id	page	owner_or_namespace	surface_sequence	atom_sequence	spoken_workshop_instruction_de	boundary_source	cross_section_link_encoded_in_text
1	HERBAL_PREPARATION	H3-S001	f11r	der ganzen dicht blau bekrönten Bildpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Bildbesitzer: diese Bildpflanze. Kartenfolge: Zutat entnehmen; Zutat an die Arbeitsstelle geben; aktuellen Posten auswringen; Standmaß; aktuellen Posten nachseihen; klarer Auszug; Eingangsposten beiseitestellen; Schluss. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; das im Rezept vorgesehene Weinmedium; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch.	MANUSCRIPT_UNIT	NO
2	HERBAL_PREPARATION	H3-S002	f11r	der ganzen dicht blau bekrönten Bildpflanze	shoyty	HO+Y+TY	Bildbesitzer: diese Bildpflanze. Kartenfolge: Zutatenteil. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der abgeteilte Teil.	MANUSCRIPT_UNIT	NO
3	HERBAL_PREPARATION	H3-S003	f11r	der ganzen dicht blau bekrönten Bildpflanze	dchol chy kchy dy daiin	PREV+OL | Y | KCH+Y | Y | AIIN	Bildbesitzer: diese Bildpflanze. Kartenfolge: vorigen Posten fortsetzen; dieser Posten; diesen Posten bearbeiten; dieser Posten; Sollmaß. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der abgeteilte Teil; das örtliche Sollmaß.	MANUSCRIPT_UNIT	NO
4	HERBAL_PREPARATION	H3-S004	f11r	der ganzen dicht blau bekrönten Bildpflanze	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: anschließender Arbeitsposten; weiterlaufenden Posten aufnehmen; bereit; dieser Posten. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; das im Rezept vorgesehene Öl.	MANUSCRIPT_UNIT	NO
5	BIO_STATION_APPLICATION	B2-S005	f82r	den oberen Paarbecken mit Zylinder	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	Stationsbesitzer: diese Station. Kartenfolge: dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; das sichtbare oder gelernte Arbeitsgefäß; das für den Durchgang vorgesehene Tuch.	MANUSCRIPT_UNIT	NO
6	BIO_STATION_APPLICATION	B2-S006	f82r	den oberen Paarbecken mit Zylinder	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	Stationsbesitzer: diese Station. Kartenfolge: langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen. Die gezeichnete Station setzt dabei voraus: die aktuelle Becken- oder Arbeitsflüssigkeit; das sichtbar adressierte Becken; die bezeichnete örtliche Stelle; der abgeteilte Teil.	MANUSCRIPT_UNIT	NO
7	BIO_STATION_APPLICATION	B2-S007	f82r	der mittleren linken Vorrichtung mit Zwischenknoten	dshedy	SHED+E+CLOSE	Stationsbesitzer: diese Station. Kartenfolge: kurz absetzen; Schluss. Die gezeichnete Station setzt dabei voraus: das für den Gang vorgesehene Wasser.	MANUSCRIPT_UNIT	NO
8	BIO_STATION_APPLICATION	B2-S010	f82r	der mittleren linken Vorrichtung mit Zwischenknoten	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	Stationsbesitzer: diese Station. Kartenfolge: länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug. Die gezeichnete Station setzt dabei voraus: die aktuelle Becken- oder Arbeitsflüssigkeit; die sichtbar bezeichnete Öffnung; die bezeichnete örtliche Stelle; der abgeteilte Teil.	MANUSCRIPT_UNIT	NO
9	BIO_STATION_APPLICATION	B2-S012	f82r	dem unteren grünen Mehrfigurenbecken	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	Stationsbesitzer: diese Station. Kartenfolge: abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss. Die gezeichnete Station setzt dabei voraus: die aktuelle Becken- oder Arbeitsflüssigkeit; die bezeichnete örtliche Stelle; eine abgeteilte Portion.	MANUSCRIPT_UNIT	NO
10	BIO_STATION_APPLICATION	B2-S014	f82r	dem unteren grünen Mehrfigurenbecken	lar	L+AR	Stationsbesitzer: diese Station. Kartenfolge: von dort abfuehren. Die gezeichnete Station setzt dabei voraus: der lokale sichtbare Auslauf.	MANUSCRIPT_UNIT	NO
11	BIO_STATION_APPLICATION	B2-S016	f82r	den Randstationen des unteren Beckens	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	Stationsbesitzer: diese Station. Kartenfolge: dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss. Die gezeichnete Station setzt dabei voraus: das für den Gang vorgesehene Wasser; der abgeteilte Teil.	MANUSCRIPT_UNIT	NO
12	BIO_STATION_APPLICATION	B2-S017	f82r	den Randstationen des unteren Beckens	rsheal daldy	SH+E+AL | AL+CLOSE	Stationsbesitzer: diese Station. Kartenfolge: kurz am Ziel ruhen; Nebenoeffnung; Schluss. Die gezeichnete Station setzt dabei voraus: das für den Gang vorgesehene Wasser; die sichtbar bezeichnete Öffnung.	MANUSCRIPT_UNIT	NO
13	LOCAL_CELESTIAL_LOOKUP	f69v.1	f69v	F69_LEFT_WHEEL_NS::A3_LEFT_WHEEL_RING_TEXT	dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char	AIR | CHEEY+YK | OT | AR | AR | AR | OK+SH | AR | CH+T+OD+Y | OK+EE+OS | O | T+Y | OT+OK+EEE | OK+EE+OD+Y | OK | D+O+IIR | EE | NONE | NONE | OT | NONE | OK | CH+S+DY | OK+E+OD | NONE | NONE | HO+AIIN | OK+AR | OK+AR | HO | EE | YT | OD+AIR | OT | OT+EE | AR | O | E+YK+E+OD+Y | HO | AR	Lauf/Bahn; Ablesewert der Klasse/des Hauses; naechster Platz oder folgende Bedingung; Quelle; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; aktivieren und halten; Ausgangssektor, Ursprung oder Bezugswert; aktuellen Phasen-Zustand eintragen; zweites Feld aktivieren; Grundwert; aktuelle Phase; nächsten Posten vollständig aktivieren; diesen Posten länger aktivieren und eintragen; in langer Stufe setzen; fester Grundindex; lange Tabellenstufe; dieser lokale Diagrammposten; dieser lokale Diagrammposten; naechster Platz oder folgende Bedingung; dieser lokale Diagrammposten; Diagrammposten setzen oder aktivieren; sekundären Zustand festhalten; kurz aktivieren und markieren; dieser lokale Diagrammposten; dieser lokale Diagrammposten; Eingangsposten mit Sollwert; Quelle aktivieren; Quelle aktivieren; im selben Ring oder Band fortsetzen; lange Tabellenstufe; bezeichneter Platz oder Phase; Lauf oder Bahn markieren; Teilsektor oder Untereintrag; nächste lange Stufe; Quelle; Grundwert; Klassenposten in kurzer Stufe markieren; Bedingungs-, Tabellen- oder Wahlansatz; Quelle	MANUSCRIPT_UNIT	NO
14	LOCAL_CELESTIAL_LOOKUP	f69v.2	f69v	F69_MIDDLE_WHEEL_NS::A3_MIDDLE_WHEEL_RING_TEXT	yka chol ykar dal ykady iokeeor cheey choly ykeeal cheo oaram ockhy sheey aiin y daiial cheody cheal yetey chear y dy ykey ch y dy chol ykar ol y ykeeody chey dal ody airchy choky ychey chey	YK | HO | YK+AR | AL | YK | OK+EE+OR | CHEEY | HO | YK+AL | CHEO | AR+AM | CKH | NONE | AIIN | NONE | AL | CHEO | AL | SEL+T+Y | AR | NONE | NONE | YK | CH | NONE | NONE | HO | YK+AR | OL | NONE | YK+EE+OD+Y | NONE | AL | OD+Y | AIR | HO | Y+CHEEY | NONE	bezeichnete Klasse oder Haus; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; Ziel; bezeichnete Klasse oder Haus; Tabellensatz länger aktivieren; sichtbares Ergebnis / Ablesewert; im selben Ring, Band oder Satz fortsetzen; bezeichnete Klasse oder Haus + AL; Ablesewert; Quellaspekt; durch Sektor, Ring oder Pruefweg fuehren; diese Position laenger halten; Sollwert oder Grad des bezeichneten Himmelsplatzes; dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld; Ablesewert fest; Ziel; ausgewählte aktuelle Phase; Quelle; dieser lokale Diagrammposten; dieser lokale Diagrammposten; bezeichnete Klasse oder Haus; Zustand; dieser lokale Diagrammposten; dieser lokale Diagrammposten; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; im selben Ring oder Band fortsetzen; dieser lokale Diagrammposten; diesen Klassenposten länger markieren; dieser lokale Diagrammposten; Ziel; diesen Posten eintragen; Himmels-, Ring- oder Zeigerlauf; diesen Diagrammposten setzen; aktueller Ablesewert; dieser lokale Diagrammposten	MANUSCRIPT_UNIT	NO
15	LOCAL_CELESTIAL_LOOKUP	f69v.3	f69v	F69_RIGHT_WHEEL_NS::A3_RIGHT_WHEEL_RING_TEXT	doair otaldal dair chdy otoar ar chy qoteor cho qotair chda oteeal cheor ar air oteody ytyd a dchy otoly okeodal oteoarar cheteeser dair chey okody dal oteey oteey	AIR | OT+AL+AL | AIR | CHD | OT+AR | AR | NONE | OT+E+OR | HO | OT+AIR | CHD | OT+EE+AL | CHEO | AR | AIR | OT+E+OD+Y | YT+TY | A | D+CH+Y | OT+OL+Y | OK+E+OD+AL | OT+AR+AR | EE | AIR | NONE | OK+OD+Y | AL | OT | OT	Himmels-, Ring- oder Zeigerlauf; nächsten Doppelziel-Eintrag setzen; Lauf/Bahn; auf den bezeichneten Diagrammplatz uebertragen; nächste Quelle; Ausgangssektor, Ursprung oder Bezugswert; dieser lokale Diagrammposten; nächsten Satz kurz nehmen; Eingangsposten oder Zutat; nächster Lauf; Wert oder Platzbezug uebertragen; am nächsten Ziel länger halten; Bedingungs-, Tabellen- oder Wahlansatz; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; den nächsten Posten kurz markieren; bezeichneter Platz oder Phase + TY; Hauptwert; fester aktueller Zustand; diese Fortsetzung als nächste nehmen; markiertes Ziel kurz aktivieren; Folge + Quelle + Quelle; lange Tabellenstufe; Lauf/Bahn; dieser lokale Diagrammposten; diesen markierten Posten aktivieren; Ziel; naechster Diagrammposten in langer Stufe; naechster Diagrammposten in langer Stufe	MANUSCRIPT_UNIT	NO
16	LOCAL_CELESTIAL_LOOKUP	f69v.4	f69v	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_01	okeey sar	OK | AR	in langer Stufe setzen; Quelle	MANUSCRIPT_UNIT	NO
