criterion_id	journeyman_requirement_de	points
C01	setzt den H3-Pflanzenbesitzer vor der ersten Karte	1
C02	kopiert alle vier H3-Einheiten in exakter Reihenfolge	1
C03	hält Ansatz und vorigen Posten über H3 korrekt	1
C04	markiert den H3→B2-Wechsel als externen Meisterauftrag	1
C05	setzt bei jedem sichtbaren B2-Stationswechsel den Besitzer neu	1
C06	unterscheidet AL-Ziel und AR-Quelle	1
C07	spricht E/EE/EEE-Grade unverändert	1
C08	verwechselt Y nicht mit der Schlusskarte	1
C09	nimmt Zeilenenden nicht als Satzende	1
C10	markiert den B2→f69-Wechsel als externen Meisterauftrag	1
C11	hält linkes, mittleres und rechtes f69-Rad getrennt	1
C12	erfindet weder Richtung noch f68↔f69-Schlüssel	1
