surface	component_recipe	portable_core_de	events	physical_pages	registers	layers	cross_layer	cross_register	event_ids
a	A_ADDR	ORT	1	f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2099
aiin	AIIN	SOLLWERT	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0036|P912-E0247|P912-E0300|P912-E0307|P912-E0320|P912-E0332|P912-E0431|P912-E0917|P912-E1237|P912-E1328|P912-E1489|P912-E1494|P912-E1666|P912-E1680|P912-E1727|P912-E1816|P912-E1855|P912-E1860|P912-E1872|P912-E1932|P912-E2057|P912-E2250|P912-E2359|P912-E2385|P912-E2441|P912-E2444|P912-E2478
aildy	A_ADDR+IIN+L+DY	ORT · STUFE · LEITEN · SCHLIESSEN	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2343
ain	AIN	EINHEIT	5	f55v|f67r2|f75r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	YES	P912-E0242|P912-E0276|P912-E0479|P912-E1779|P912-E1796
air	AIR	LAUF	5	f67r2|f69v|f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1827|P912-E1894|P912-E1937|P912-E2096|P912-E2152
airchy	AIR+Y	LAUF · DIES	1	f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2078
ajy	A_ADDR+Y	ORT · DIES	1	f75r	BATH_STATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E0668
al	AL	ZIEL	10	f55v|f70v|f75r|f81v|f83r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0244|P912-E0255|P912-E0558|P912-E0877|P912-E1513|P912-E2216|P912-E2256|P912-E2330|P912-E2351|P912-E2353
alaiin	AL+AIIN	ZIEL · SOLLWERT	1	f67r2	CELESTIAL_LOOKUP	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E1828
alain	AL+AIN	ZIEL · EINHEIT	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2247
alals	AL+AL+S_ADDR	ZIEL · ZIEL · STERNORT	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2223
aldaiin	AL+D_ADDR+AIIN	ZIEL · TEIL · SOLLWERT	1	f67r2	CELESTIAL_LOOKUP	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E1904
aldy	AL+D_ADDR+Y	ZIEL · TEIL · DIES	2	f55v|f67r2	CELESTIAL_LOOKUP|HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	YES	P912-E0281|P912-E1780
alody	AL+O+DY	ZIEL · AUSFÜHREN · SCHLIESSEN	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2312
alos	AL+O+S_ADDR	ZIEL · AUSFÜHREN · STERNORT	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2326
alsy	AL+S+Y	ZIEL · AUSWÄHLEN · DIES	1	f88r	HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E2489
altedy	AL+T+E+D_ADDR+Y	ZIEL · EINSTELLEN · KURZ · TEIL · DIES	1	f83r	BATH_STATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E1521
aly	AL+Y	ZIEL · DIES	1	f75r	BATH_STATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E0567
alys	AL+Y+S	ZIEL · DIES · AUSWÄHLEN	1	f69v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2143
am	AM_ADDR	INNEN	10	f10r|f55v|f67r2|f70v|f75r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0062|P912-E0250|P912-E0629|P912-E1802|P912-E1817|P912-E1819|P912-E2184|P912-E2297|P912-E2328|P912-E2462
amdy	AM_ADDR+DY	INNEN · SCHLIESSEN	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2295
amy	AM_ADDR+Y	INNEN · DIES	1	f67r2	CELESTIAL_LOOKUP	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E1798
ar	AR	QUELLE	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0280|P912-E0290|P912-E0327|P912-E0331|P912-E0612|P912-E1419|P912-E1797|P912-E1803|P912-E1809|P912-E1924|P912-E1936|P912-E2008|P912-E2011|P912-E2087|P912-E2095|P912-E2178|P912-E2279|P912-E2311|P912-E2345|P912-E2350|P912-E2488
araiin	AR+AIIN	QUELLE · SOLLWERT	1	f82r	BATH_STATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E1259
aral	AR+AL	QUELLE · ZIEL	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2298
araly	AR+AL+Y	QUELLE · ZIEL · DIES	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2224
aram	AR+AM_ADDR	QUELLE · INNEN	1	f67r2	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E1751
arar	AR+AR	QUELLE · QUELLE	2	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2289|P912-E2325
araydy	AR+A_ADDR+Y+DY	QUELLE · ORT · DIES · SCHLIESSEN	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2229
ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	ORT · HALTEN · DIES · EINSTELLEN · LÄNGER · TEIL	1	f81v	BATH_STATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E0947
ay	A_ADDR+Y	ORT · DIES	2	f67r2	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1900|P912-E1938
cfholdy	CFH+OL+DY	TRENNEN · FORTSETZEN · SCHLIESSEN	1	f13r	HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E0193
cfhy	CFH+Y	TRENNEN · DIES	2	f10r|f11r	HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E0080|P912-E0095
ch	CH	NEHMEN	3	f55v|f69v|f75r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0277|P912-E0826|P912-E2067
chaiin	CH+AIIN	NEHMEN · SOLLWERT	4	f10r|f11r|f55v	HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E0031|P912-E0117|P912-E0141|P912-E0260
chair	CH+AIR	NEHMEN · LAUF	1	f10r	HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E0014
chal	CH+AL	NEHMEN · ZIEL	3	f56r|f75r|f81v	BATH_STATION|HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	YES	P912-E0336|P912-E0456|P912-E1110
chalaly	CH+AL+AL+Y	NEHMEN · ZIEL · ZIEL · DIES	1	f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS	NO	NO	P912-E2305
char	AR	QUELLE	4	f10r|f69v|f75r|f82r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0011|P912-E0602|P912-E1262|P912-E2043
chary	AR+Y	QUELLE · DIES	1	f83r	BATH_STATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E1475
chchs	CH+CH+S	NEHMEN · NEHMEN · AUSWÄHLEN	1	f56r	HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E0337
chckhal	CH+CKH+AL	NEHMEN · DURCHLASS · ZIEL	1	f83r	BATH_STATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	NO	P912-E1697
chckhdy	CH+CKH+D_ADDR+Y	NEHMEN · DURCHLASS · TEIL · DIES	2	f55v|f83r	BATH_STATION|HERBAL_PREPARATION	PRODUCTIVE_ABBREVIATION_COMPOSITION	NO	YES	P912-E0252|P912-E1597
