surface	component_recipe	portable_core_de	events	physical_pages	registers	layers	cross_layer	cross_register	event_ids
aiin	AIIN	SOLLWERT	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0036|P912-E0247|P912-E0300|P912-E0307|P912-E0320|P912-E0332|P912-E0431|P912-E0917|P912-E1237|P912-E1328|P912-E1489|P912-E1494|P912-E1666|P912-E1680|P912-E1727|P912-E1816|P912-E1855|P912-E1860|P912-E1872|P912-E1932|P912-E2057|P912-E2250|P912-E2359|P912-E2385|P912-E2441|P912-E2444|P912-E2478
air	AIR	LAUF	5	f67r2|f69v|f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1827|P912-E1894|P912-E1937|P912-E2096|P912-E2152
al	AL	ZIEL	10	f55v|f70v|f75r|f81v|f83r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0244|P912-E0255|P912-E0558|P912-E0877|P912-E1513|P912-E2216|P912-E2256|P912-E2330|P912-E2351|P912-E2353
am	AM_ADDR	INNEN	10	f10r|f55v|f67r2|f70v|f75r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0062|P912-E0250|P912-E0629|P912-E1802|P912-E1817|P912-E1819|P912-E2184|P912-E2297|P912-E2328|P912-E2462
ar	AR	QUELLE	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0280|P912-E0290|P912-E0327|P912-E0331|P912-E0612|P912-E1419|P912-E1797|P912-E1803|P912-E1809|P912-E1924|P912-E1936|P912-E2008|P912-E2011|P912-E2087|P912-E2095|P912-E2178|P912-E2279|P912-E2311|P912-E2345|P912-E2350|P912-E2488
ay	A_ADDR+Y	ORT · DIES	2	f67r2	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1900|P912-E1938
ch	CH	NEHMEN	3	f55v|f69v|f75r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0277|P912-E0826|P912-E2067
char	AR	QUELLE	4	f10r|f69v|f75r|f82r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0011|P912-E0602|P912-E1262|P912-E2043
chcthy	CH+CTH+Y	NEHMEN · BEREIT · DIES	5	f10r|f70v|f75r|f81v	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0032|P912-E0489|P912-E0510|P912-E0899|P912-E2158
chdy	CHD+Y	UMSETZEN · DIES	8	f56r|f69v|f75r|f81v|f82r|f83r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0366|P912-E0520|P912-E0887|P912-E0967|P912-E1008|P912-E1227|P912-E1678|P912-E2085
cheal	AL	ZIEL	2	f69v|f82r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1325|P912-E2061
chear	CH+E+AR	NEHMEN · KURZ · QUELLE	3	f69v|f88r	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E2063|P912-E2379|P912-E2507
chedaiin	CHD+AIIN	UMSETZEN · SOLLWERT	3	f67r2|f70v|f83r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1700|P912-E1844|P912-E2300
chedy	CHD+Y	UMSETZEN · DIES	43	f55v|f70v|f75r|f81v|f82r|f83r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0245|P912-E0265|P912-E0284|P912-E0444|P912-E0495|P912-E0499|P912-E0572|P912-E0586|P912-E0633|P912-E0637|P912-E0701|P912-E0711|P912-E0741|P912-E0846|P912-E0912|P912-E0992|P912-E0998|P912-E1011|P912-E1041|P912-E1051|P912-E1062|P912-E1086|P912-E1092|P912-E1148|P912-E1177|P912-E1192|P912-E1243|P912-E1282|P912-E1420|P912-E1433|P912-E1440|P912-E1456|P912-E1474|P912-E1550|P912-E1593|P912-E1603|P912-E1616|P912-E1627|P912-E1636|P912-E1709|P912-E1713|P912-E1730|P912-E2308
cheey	SH+EE+Y	HALTEN · LÄNGER · DIES	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0544|P912-E1059|P912-E1118|P912-E1168|P912-E1174|P912-E1207|P912-E1232|P912-E1294|P912-E1350|P912-E1412|P912-E1647|P912-E1951|P912-E2050|P912-E2154|P912-E2476
cheody	CHEO+Y	AUSZUG · DIES	5	f55v|f69v|f70v|f88r	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0253|P912-E2060|P912-E2153|P912-E2171|P912-E2398
cheor	CHEO+R	AUSZUG · MARKIEREN	6	f68r1|f69v|f82r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1286|P912-E1390|P912-E1943|P912-E2094|P912-E2457|P912-E2500
chey	Y	DIES	29	f55v|f56r|f69v|f75r|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0297|P912-E0354|P912-E0397|P912-E0425|P912-E0476|P912-E0502|P912-E0616|P912-E0623|P912-E0722|P912-E1020|P912-E1090|P912-E1213|P912-E1238|P912-E1280|P912-E1299|P912-E1346|P912-E1384|P912-E1391|P912-E1425|P912-E1427|P912-E1540|P912-E1691|P912-E1744|P912-E2022|P912-E2075|P912-E2081|P912-E2106|P912-E2483|P912-E2491
chky	CHK+Y	BEHANDELN · DIES	2	f67r2|f83r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E1495|P912-E1772
cho	HO	TEILSTOFF	6	f55v|f56r|f67r2|f69v|f70v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0289|P912-E0368|P912-E0407|P912-E1885|P912-E2090|P912-E2262
chocfhy	CH+O+CFH+Y	NEHMEN · AUSFÜHREN · TRENNEN · DIES	2	f67r2|f68r1	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1799|P912-E1974
choky	OK+Y	SETZEN · DIES	3	f56r|f69v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0380|P912-E0384|P912-E2079
chol	OL	FORTSETZEN	22	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f88r	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0025|P912-E0042|P912-E0066|P912-E0068|P912-E0111|P912-E0162|P912-E0205|P912-E0221|P912-E0346|P912-E0414|P912-E0419|P912-E1834|P912-E2033|P912-E2045|P912-E2070|P912-E2259|P912-E2456|P912-E2472|P912-E2475|P912-E2482|P912-E2497|P912-E2508
choly	OL+Y	FORTSETZEN · DIES	2	f56r|f69v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0347|P912-E2051
choteey	CH+OT+EE+Y	NEHMEN · DANACH · LÄNGER · DIES	2	f68r1|f70v	CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	NO	P912-E1941|P912-E2243
chotol	CH+OT+OL	NEHMEN · DANACH · FORTSETZEN	2	f56r|f70v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0415|P912-E2307
chsdy	CH+S+DY	NEHMEN · AUSWÄHLEN · SCHLIESSEN	2	f69v|f75r	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0731|P912-E2026
chy	Y	DIES	15	f10r|f11r|f56r|f67r2|f69v|f70v|f75r|f81v|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0050|P912-E0074|P912-E0121|P912-E0341|P912-E0344|P912-E0364|P912-E0497|P912-E0583|P912-E1004|P912-E1038|P912-E1774|P912-E2088|P912-E2156|P912-E2286|P912-E2439
d	D_ADDR	TEIL	7	f11r|f13r|f56r|f69v|f82r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0132|P912-E0137|P912-E0202|P912-E0208|P912-E0430|P912-E1349|P912-E2137
daiin	AIIN	SOLLWERT	51	f10r|f11r|f13r|f55v|f56r|f67r2|f70v|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0017|P912-E0022|P912-E0058|P912-E0069|P912-E0090|P912-E0105|P912-E0109|P912-E0118|P912-E0124|P912-E0130|P912-E0135|P912-E0147|P912-E0169|P912-E0196|P912-E0218|P912-E0264|P912-E0268|P912-E0326|P912-E0333|P912-E0370|P912-E0375|P912-E0402|P912-E0439|P912-E0882|P912-E0898|P912-E0901|P912-E0907|P912-E0923|P912-E0925|P912-E0934|P912-E0942|P912-E0986|P912-E1115|P912-E1119|P912-E1226|P912-E1275|P912-E1279|P912-E1298|P912-E1426|P912-E1436|P912-E1711|P912-E1741|P912-E1793|P912-E1838|P912-E1854|P912-E1882|P912-E2164|P912-E2197|P912-E2304|P912-E2382|P912-E2430
dair	D_ADDR+AIR	TEIL · LAUF	6	f10r|f11r|f69v|f70v	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0061|P912-E0143|P912-E2004|P912-E2084|P912-E2105|P912-E2302
dal	AL	ZIEL	25	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0381|P912-E0590|P912-E0727|P912-E0794|P912-E0862|P912-E1060|P912-E1099|P912-E1253|P912-E1284|P912-E1531|P912-E1535|P912-E1576|P912-E1704|P912-E1723|P912-E1794|P912-E1886|P912-E2047|P912-E2076|P912-E2108|P912-E2170|P912-E2215|P912-E2219|P912-E2342|P912-E2374|P912-E2498
dalal	AL+AL	ZIEL · ZIEL	2	f70v|f81v	BATH_STATION|CELESTIAL_LOOKUP	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0888|P912-E2317
dar	D_ADDR+AR	TEIL · QUELLE	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BATH_STATION|CELESTIAL_LOOKUP|HERBAL_PREPARATION	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	YES	YES	P912-E0070|P912-E0182|P912-E0486|P912-E0667|P912-E0675|P912-E0730|P912-E0749|P912-E0759|P912-E0760|P912-E0790|P912-E0827|P912-E0863|P912-E0978|P912-E1007|P912-E1197|P912-E1431|P912-E1903|P912-E2039|P912-E2231|P912-E2395|P912-E2506
dary	DA+R+Y	ZWEIT · MARKIEREN · DIES	3	f55v|f68r1|f88r	CELESTIAL_LOOKUP|HERBAL_PREPARATION	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	YES	YES	P912-E0282|P912-E1968|P912-E2417
