model	weight_scheme	declared_mutations	truth_bits_per_scored_symbol	truth_rank_of_truth_plus_local_decoys	decoys_beating_truth	decoys_tying_truth	exposed_decoys	unexposed_decoys	exposed_decoys_beating_truth	exposed_decoys_tying_truth	unexposed_decoys_tying_truth	truth_unique_rank_1	truth_bits_per_emitted_letter_including_boundaries	truth_rank_letter_denominator	decoys_beating_truth_letter_denominator	decoys_tying_truth_letter_denominator	best_decoy_letter_denominator	best_decoy_minus_truth_letter_denominator	best_decoy	best_decoy_bits_per_scored_symbol	best_decoy_minus_truth_bps	best_decoy_letter_nll_minus_truth	best_decoy_boundary_nll_minus_truth	best_decoy_weighted_letters_minus_truth	best_decoy_weighted_boundaries_minus_truth
LEGACY_CONTINUOUS_CHUNK__FULL_REFERENCE	event_count_PRIMARY	1888	2.101683120864	3	2	232	1656	232	2	0	232	0	2.462152118600	3	2	232	P28_que_TO_qua	-0.001250306468	P28_que_TO_qua	2.100615864304	-0.001067256560	-102.607919549162	-3.480584280371	0.000000000000	0.000000000000
LEGACY_CONTINUOUS_CHUNK__FULL_REFERENCE	sqrt_count_SENSITIVITY	1888	2.247859457529	3	2	232	1656	232	2	0	232	0	2.554076928978	3	2	232	P28_que_TO_qua	-0.000659848355	P28_que_TO_qua	2.247278720767	-0.000580736762	-29.332917634281	-1.082502026307	0.000000000000	0.000000000000
LEGACY_CONTINUOUS_CHUNK__LM_FIT_40	event_count_PRIMARY	1888	2.211424029515	4	3	232	1656	232	3	0	232	0	2.590715177441	4	3	232	P28_que_TO_qua	-0.001158250701	P28_que_TO_qua	2.210435351386	-0.000988678128	-93.995027752040	-4.282544214555	0.000000000000	0.000000000000
LEGACY_CONTINUOUS_CHUNK__LM_FIT_40	sqrt_count_SENSITIVITY	1888	2.399959218508	4	3	232	1656	232	3	0	232	0	2.726896670496	4	3	232	P28_que_TO_qua	-0.000541859427	P28_que_TO_qua	2.399482324557	-0.000476893951	-23.644851092526	-1.331920854827	0.000000000000	0.000000000000
LEGACY_CONTINUOUS_CHUNK__LM_CONFIRM_20	event_count_PRIMARY	1888	2.328646315785	3	2	232	1656	232	2	0	232	0	2.728042778173	3	2	232	P28_que_TO_qua	-0.001560956210	P28_que_TO_qua	2.327313889858	-0.001332425927	-126.035525557876	-6.411608894172	0.000000000000	0.000000000000
LEGACY_CONTINUOUS_CHUNK__LM_CONFIRM_20	sqrt_count_SENSITIVITY	1888	2.530438695696	3	2	232	1656	232	2	0	232	0	2.875150877972	3	2	232	P28_que_TO_qua	-0.001219885472	P28_que_TO_qua	2.529365066682	-0.001073629014	-54.235999621669	-1.994084630840	0.000000000000	0.000000000000
LEGACY_CONTINUOUS_CHUNK__SYNTHETIC_HELD_ONLY	event_count_PRIMARY	1888	2.404527306830	2	1	232	1656	232	1	0	232	0	2.816938454694	2	1	232	P28_que_TO_qua	-0.001383044427	P28_que_TO_qua	2.403346745684	-0.001180561146	-114.041563929466	-3.309755698072	0.000000000000	0.000000000000
LEGACY_CONTINUOUS_CHUNK__SYNTHETIC_HELD_ONLY	sqrt_count_SENSITIVITY	1888	2.640963889693	3	2	232	1656	232	2	0	232	0	3.000732505022	3	2	232	P28_que_TO_qua	-0.001270316453	P28_que_TO_qua	2.639845876050	-0.001118013643	-57.525305764750	-1.029372358530	0.000000000000	0.000000000000
RESET_MATCHED_WORD__FULL_REFERENCE	event_count_PRIMARY	1888	2.247816692838	3	2	232	1656	232	2	0	232	0	2.633349707934	3	2	232	P28_que_TO_qua	-0.001250306698	P28_que_TO_qua	2.246749436082	-0.001067256756	-102.607948234188	-3.480575094174	0.000000000000	0.000000000000
RESET_MATCHED_WORD__FULL_REFERENCE	sqrt_count_SENSITIVITY	1888	2.367655542344	3	2	232	1656	232	2	0	232	0	2.690192385566	3	2	232	P28_que_TO_qua	-0.000659848982	P28_que_TO_qua	2.367074805030	-0.000580737314	-29.332949416348	-1.082499169294	0.000000000000	0.000000000000
