falsifier_id	condition	triggered	consequence
F_LOCAL_LEGACY_CONTINUOUS_CHUNK__FULL_REFERENCE	any declared fixed-length local decoy ties or beats truth	1	local pure-Latin bridge fails for this model
F_KEYS_LEGACY_CONTINUOUS_CHUNK__FULL_REFERENCE	any archived fitted pseudokey ties or beats truth	0	seven-key pure-Latin discrimination fails for this model
F_LOCAL_LEGACY_CONTINUOUS_CHUNK__LM_FIT_40	any declared fixed-length local decoy ties or beats truth	1	local pure-Latin bridge fails for this model
F_KEYS_LEGACY_CONTINUOUS_CHUNK__LM_FIT_40	any archived fitted pseudokey ties or beats truth	0	seven-key pure-Latin discrimination fails for this model
F_LOCAL_LEGACY_CONTINUOUS_CHUNK__LM_CONFIRM_20	any declared fixed-length local decoy ties or beats truth	1	local pure-Latin bridge fails for this model
F_KEYS_LEGACY_CONTINUOUS_CHUNK__LM_CONFIRM_20	any archived fitted pseudokey ties or beats truth	0	seven-key pure-Latin discrimination fails for this model
F_LOCAL_LEGACY_CONTINUOUS_CHUNK__SYNTHETIC_HELD_ONLY	any declared fixed-length local decoy ties or beats truth	1	local pure-Latin bridge fails for this model
F_KEYS_LEGACY_CONTINUOUS_CHUNK__SYNTHETIC_HELD_ONLY	any archived fitted pseudokey ties or beats truth	0	seven-key pure-Latin discrimination fails for this model
F_LOCAL_RESET_MATCHED_WORD__FULL_REFERENCE	any declared fixed-length local decoy ties or beats truth	1	local pure-Latin bridge fails for this model
F_KEYS_RESET_MATCHED_WORD__FULL_REFERENCE	any archived fitted pseudokey ties or beats truth	0	seven-key pure-Latin discrimination fails for this model
F_LOCAL_RESET_MATCHED_WORD__LM_FIT_40	any declared fixed-length local decoy ties or beats truth	1	local pure-Latin bridge fails for this model
F_KEYS_RESET_MATCHED_WORD__LM_FIT_40	any archived fitted pseudokey ties or beats truth	0	seven-key pure-Latin discrimination fails for this model
F_LOCAL_RESET_MATCHED_WORD__LM_CONFIRM_20	any declared fixed-length local decoy ties or beats truth	1	local pure-Latin bridge fails for this model
F_KEYS_RESET_MATCHED_WORD__LM_CONFIRM_20	any archived fitted pseudokey ties or beats truth	0	seven-key pure-Latin discrimination fails for this model
F_LOCAL_RESET_MATCHED_WORD__SYNTHETIC_HELD_ONLY	any declared fixed-length local decoy ties or beats truth	1	local pure-Latin bridge fails for this model
F_KEYS_RESET_MATCHED_WORD__SYNTHETIC_HELD_ONLY	any archived fitted pseudokey ties or beats truth	0	seven-key pure-Latin discrimination fails for this model
F_LOCAL_STRUCTURE_INVARIANCE	any fixed-length mutation changes emitted letters, boundaries, or words	0	implementation invalid
F_INPUT_SCOPE	an input outside the exact synthetic/reference allow-list is read	0	audit invalid
F_SPLIT_LEGACY_CONTINUOUS_CHUNK__LM_FIT_40	LEGACY_CONTINUOUS_CHUNK__LM_FIT_40 LM does not beat uniform on LM-confirm 20% reference	0	this split is non-informative
F_SPLIT_LEGACY_CONTINUOUS_CHUNK__LM_CONFIRM_20	LEGACY_CONTINUOUS_CHUNK__LM_CONFIRM_20 LM does not beat uniform on LM-fit 40% reference	0	this split is non-informative
F_SPLIT_RESET_MATCHED_WORD__LM_FIT_40	RESET_MATCHED_WORD__LM_FIT_40 LM does not beat uniform on LM-confirm 20% reference	0	this split is non-informative
F_SPLIT_RESET_MATCHED_WORD__LM_CONFIRM_20	RESET_MATCHED_WORD__LM_CONFIRM_20 LM does not beat uniform on LM-fit 40% reference	0	this split is non-informative
