token_order	field	source_step	source_instruction_de	master_card_id	chosen_visible_surface	dictionary_value_de	surface_is_registered	decoded_step_de
1	1	RESUME_PREVIOUS	vom vorigen Posten	MC142	dchol	vom vorigen	YES	vom vorigen Posten
2	1	SELECT_CLEAR_EXTRACT	Klarauszug waehlen	MC119	shey	Klarauszug	YES	Klarauszug waehlen
3	1	SET_MEASURE	auf Sollmass bringen	MC039	aiin	Sollmaß	YES	auf Sollmass bringen
4	2	WARM_BRIEFLY	kurz waermen	MC147	cheky	kurz wärmen	YES	kurz waermen
5	2	PLACE_INSERT	Einlage einsetzen	MC059	dain	Einlage	YES	Einlage einsetzen
6	2	TRANSFER_CHARGE	Charge ueberfuehren	MC074	chedy	überführen	YES	Charge ueberfuehren
7	2	HOLD_LONG_CLOSE	lange einwirken und Feld schliessen	MC082	qokeedy	lange einwirken; Schluss	YES	lange einwirken und Feld schliessen
8	3	FIRST_PASS_CLOSE	einmal durchlassen und Feld schliessen	MC143	shckhedy	durchlassen; Schluss	YES	einmal durchlassen und Feld schliessen
9	4	SECOND_PASS_CLOSE	zweites Mal durchlassen und Feld schliessen	MC143	shckhedy	durchlassen; Schluss	YES	zweites Mal durchlassen und Feld schliessen
10	5	SELECT_PORTION	Anteil waehlen	MC105	kain	Anteil	YES	Anteil waehlen
11	5	MOVE_TO_TARGET	dorthin bringen	MC154	dal	dorthin	YES	dorthin bringen
12	5	SET_AT_TARGET	an der Zielstelle einsetzen	MC026	qoky	einsetzen	YES	an der Zielstelle einsetzen
13	5	WASH_CLOSE	Waschgang ausfuehren und schliessen	MC038	lshedy	Waschgang; Schluss	YES	Waschgang ausfuehren und schliessen
