phrase_id	occurrence	statement_id	page	start_event_id	end_event_id	surface_sequence	identity_sequence	working_phrase_de
CPH01	1	H2-S001	f10r	E022	E023	daiin chey	PROC009 PROC019	DEN POSTEN NACH SOLLMASS FUEHREN
CPH01	2	B2-S012	f82r	E207	E208	daiin chey	PROC009 PROC019	DEN POSTEN NACH SOLLMASS FUEHREN
CPH01	3	B3-S003	f83r	E233	E234	daiin chey	PROC009 PROC019	DEN POSTEN NACH SOLLMASS FUEHREN
CPH02	1	B1-S002	f81v	E109	E110	dal ol	PROC055 PROC013	AN DER ZIELSTELLE WEITERARBEITEN
CPH02	2	B5-S003	f83r	E365	E366	dal ol	PROC055 PROC013	AN DER ZIELSTELLE WEITERARBEITEN
CPH03	1	B1-S004	f81v	E123	E124	chedy ol	PROC042 PROC013	DEN POSTEN UMSETZEN UND WEITERFUEHREN
CPH03	2	B4-S011	f83r	E342	E343	chedy ol	PROC042 PROC013	DEN POSTEN UMSETZEN UND WEITERFUEHREN
CPH04	1	B2-S010	f82r	E194	E195	qokeey qoky	PROC092 PROC008	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN
CPH04	2	B4-S003	f83r	E322	E323	qokeey qoky	PROC092 PROC008	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN
CPH05	1	H1-S001	f10r	E008	E009	qoky daiin	PROC008 PROC009	DEN POSTEN NACH SOLLMASS ANSETZEN
CPH05	2	B3-S030	f83r	E298	E299	qoky daiin	PROC008 PROC009	DEN POSTEN NACH SOLLMASS ANSETZEN
CPH06	1	B2-S010	f82r	E195	E196	qoky ls	PROC008 PROC115	DEN POSTEN ANSETZEN UND WEITERARBEITEN
CPH06	2	B4-S003	f83r	E323	E324	qoky ol	PROC008 PROC013	DEN POSTEN ANSETZEN UND WEITERARBEITEN
CPH07	1	H2-S002	f10r	E029	E030	ol daiin	PROC013 PROC009	NACH SOLLMASS WEITERARBEITEN
CPH07	2	B6-S001	f83r	E376	E377	ol daiin	PROC013 PROC009	NACH SOLLMASS WEITERARBEITEN
CPH08	1	B1-S004	f81v	E124	E125	ol shedy	PROC013 PROC078	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN
CPH08	2	B1-S008	f81v	E135	E136	ol shedy	PROC013 PROC078	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN
CPH08	3	B1-S016	f81v	E154	E155	ol shedy	PROC013 PROC078	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN
CPH08	4	B4-S003	f83r	E324	E325	ol shedy	PROC013 PROC078	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN
CPH09	1	B1-S002	f81v	E108	E109	olkain dal	PROC070 PROC055	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN
CPH09	2	B4-S016	f83r	E358	E359	olkain dal	PROC070 PROC055	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN
CPH10	1	H2-S002	f10r	E028	E029	cholor ol	PROC022 PROC013	DEN ANSATZ WEITERFUEHREN UND WEITERARBEITEN
CPH10	2	B1-S002	f81v	E113	E114	olor ol	PROC022 PROC013	DEN ANSATZ WEITERFUEHREN UND WEITERARBEITEN
CPH11	1	H2-S003	f10r	E034	E035	or chey	PROC016 PROC019	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN
CPH11	2	H4-S004	f55v	E071	E072	or chey	PROC016 PROC019	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN
CPH11	3	B4-S014	f83r	E348	E349	or chey	PROC016 PROC019	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN
CPH12	1	H2-S001	f10r	E021	E022	chey daiin	PROC019 PROC009	DEN POSTEN AUF SOLLMASS BRINGEN
CPH12	2	H3-S003	f11r	E050	E051	chey daiin	PROC019 PROC009	DEN POSTEN AUF SOLLMASS BRINGEN
CPH12	3	B3-S003	f83r	E232	E233	chey daiin	PROC019 PROC009	DEN POSTEN AUF SOLLMASS BRINGEN
CPH12	4	B3-S021	f83r	E273	E274	chey daiin	PROC019 PROC009	DEN POSTEN AUF SOLLMASS BRINGEN
CPH13	1	B2-S010	f82r	E194	E196	qokeey qoky ls	PROC092 PROC008 PROC115	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN
CPH13	2	B4-S003	f83r	E322	E324	qokeey qoky ol	PROC092 PROC008 PROC013	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN
CPH14	1	H2-S001	f10r	E021	E023	chey daiin chey	PROC019 PROC009 PROC019	DEN AKTUELLEN POSTEN NACH SOLLMASS WEITERFUEHREN
CPH14	2	B3-S003	f83r	E232	E234	chey daiin chey	PROC019 PROC009 PROC019	DEN AKTUELLEN POSTEN NACH SOLLMASS WEITERFUEHREN
