statement_id	page	record	owner_de	events	fifth_hand_surface_sequence	component_sequence	phrase_ids	phrase_first_reading_de	fluent_workshop_reading_de	restored_after_107_statement_omission
H1-S001	f10r	H1	die breite gezahnte Bluetenpflanze	10	dchey cthoor char chety os chair otytchol qoky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	CPH05	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN; BEREITEN · ARBEITSGANG · ANSATZ; QUELLE; BEARBEITEN · POSTEN; DAZU; ENTNEHMEN · WASSER; DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN; CPH05[DEN POSTEN NACH SOLLMASS ANSETZEN]; DEN POSTEN KURZ WEITERBEARBEITEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	NO
H1-S002	f10r	H1	die breite gezahnte Bluetenpflanze	4	qokchy qotchol ol checthy	OK+Y | OT+CH+OL | OL | CTH+Y	NONE	ANSETZEN · POSTEN; DANACH · ENTNEHMEN · WEITER; WEITER; BEREITEN · POSTEN	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	NO
H2-S001	f10r	H2	die breite gezahnte Bluetenpflanze	9	ycheor checthy or cthaiin qoctholy chey chey daiin chey	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	CPH14	POSTEN · ENTNEHMEN · EIN KURZER ARBEITSGANG · ANSATZ; BEREITEN · POSTEN; ANSATZ; BEREITEN · EIN KLEINER SCHOEPFBECHER; ARBEITSGANG · BEREITEN · WEITER · POSTEN; POSTEN; CPH14[DEN AKTUELLEN POSTEN NACH SOLLMASS WEITERFUEHREN]	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass im Arbeitsgang weiter bereiten und als aktuellen Posten verfuegbar lassen.	YES
H2-S002	f10r	H2	die breite gezahnte Bluetenpflanze	8	otchor or otol ol cholor ol daiin char	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	CPH10	DANACH · ENTNEHMEN · ANSATZ; ANSATZ; DANACH · WEITER; WEITER; CPH10[DEN ANSATZ WEITERFUEHREN UND WEITERARBEITEN]; EIN KLEINER SCHOEPFBECHER; QUELLE	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	YES
H2-S003	f10r	H2	die breite gezahnte Bluetenpflanze	7	oykchor or or chey kaiiin chey chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	CPH11	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ; ANSATZ; CPH11[DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN]; ZUGEBEN · EINE EINGESTELLTE ARBEITSSTUFE; POSTEN; ENTNEHMEN · ARBEITSGANG · EIN KLEINER SCHOEPFBECHER	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	YES
H3-S001	f11r	H3	die dicht bluehende Kronenpflanze	7	tshol schoal cfhy shfydaiin cphy cheey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	NONE	BEARBEITEN · HALTEN · WEITER; HALTEN · ARBEITSGANG · ZIELSTELLE; AUSPRESSEN · POSTEN; HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER; EINBRINGEN · POSTEN; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN; BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	Bei der dicht bluehenden Kronenpflanze: Den Posten bearbeiten und weiter halten, dann im Arbeitsgang an der Zielstelle halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, im Arbeitsgang entnehmen und den Schritt schliessen.	NO
H3-S002	f11r	H3	die dicht bluehende Kronenpflanze	1	shoyty	SH+O+Y+T+Y	NONE	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.	NO
H3-S003	f11r	H3	die dicht bluehende Kronenpflanze	5	schol chey kchy chey daiin	RESUME_CARD | Y | K+Y | Y | AIIN	CPH12	DAVON; POSTEN; ZUGEBEN · POSTEN; CPH12[DEN POSTEN AUF SOLLMASS BRINGEN]	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	YES
H3-S004	f11r	H3	die dicht bluehende Kronenpflanze	4	qotchy okchol checthy chey	OT+Y | OK+OL | CTH+Y | Y	NONE	DANACH · POSTEN; ANSETZEN · WEITER; BEREITEN · POSTEN; POSTEN	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	YES
H4-S001	f55v	H4	die breitblaettrige rispige Pflanze	5	qokaiin daiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	NONE	ANSETZEN · EIN KLEINER SCHOEPFBECHER; EIN KLEINER SCHOEPFBECHER; POSTEN · ZUGEBEN · EIN ABGEGRENZTER TEIL; POSTEN · ZUGEBEN · NACHGABE; ARBEITSGANG · SCHLUSS	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	NO
