event_id	page	record	statement_id	owner_de	original_surface	fifth_hand_surface	identity	card_class	component_recipe	concrete_default_de	phrase_ready_card_de	source_section	surface_action
E001	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	dchey	dchey	PROC001	LOCAL_MODEL	CH+E+Y	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN	HERBAL	COPY_UNCHANGED
E002	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	cthoor	cthoor	PROC002	LOCAL_MODEL	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	HERBAL	COPY_UNCHANGED
E003	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	char	char	PROC003	PORTABLE_CORE	AR	QUELLE	QUELLE	HERBAL	COPY_UNCHANGED
E004	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	chty	chety	PROC004	PORTABLE_CORE	T+Y	BEARBEITEN · POSTEN	BEARBEITEN · POSTEN	HERBAL	NORMALIZE_TO_HOUSE
E005	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	os	os	PROC005	LOCAL_MODEL	OS	DAZU	DAZU	HERBAL	COPY_UNCHANGED
E006	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	chair	chair	PROC006	LOCAL_MODEL	CH+AIR	ENTNEHMEN · WASSER	ENTNEHMEN · WASSER	HERBAL	COPY_UNCHANGED
E007	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	otytchol	otytchol	PROC007	LOCAL_MODEL	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	HERBAL	COPY_UNCHANGED
E008	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	oky	qoky	PROC008	PORTABLE_CORE	OK+Y	ANSETZEN · POSTEN	ANSETZEN · POSTEN	HERBAL	NORMALIZE_TO_HOUSE
E009	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	daiin	daiin	PROC009	PORTABLE_CORE	AIIN	EIN KLEINER SCHOEPFBECHER	EIN KLEINER SCHOEPFBECHER	HERBAL	COPY_UNCHANGED
E010	f10r	H1	H1-S001	die breite gezahnte Bluetenpflanze	etyd	etyd	PROC010	LOCAL_MODEL	E+T+Y	EIN KURZER ARBEITSGANG · BEARBEITEN · POSTEN	DEN POSTEN KURZ WEITERBEARBEITEN	HERBAL	COPY_UNCHANGED
E011	f10r	H1	H1-S002	die breite gezahnte Bluetenpflanze	qokchy	qokchy	PROC011	LOCAL_MODEL	OK+Y	ANSETZEN · POSTEN	ANSETZEN · POSTEN	HERBAL	COPY_UNCHANGED
E012	f10r	H1	H1-S002	die breite gezahnte Bluetenpflanze	qotchol	qotchol	PROC012	LOCAL_MODEL	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	DANACH · ENTNEHMEN · WEITER	HERBAL	COPY_UNCHANGED
E013	f10r	H1	H1-S002	die breite gezahnte Bluetenpflanze	chol	ol	PROC013	PORTABLE_CORE	OL	WEITER	WEITER	HERBAL	NORMALIZE_TO_HOUSE
E014	f10r	H1	H1-S002	die breite gezahnte Bluetenpflanze	cthy	checthy	PROC014	PORTABLE_CORE	CTH+Y	BEREITEN · POSTEN	BEREITEN · POSTEN	HERBAL	NORMALIZE_TO_HOUSE
E015	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	ycheor	ycheor	PROC015	LOCAL_MODEL	Y+CH+E+OR	POSTEN · ENTNEHMEN · EIN KURZER ARBEITSGANG · ANSATZ	POSTEN · ENTNEHMEN · EIN KURZER ARBEITSGANG · ANSATZ	HERBAL	COPY_UNCHANGED
E016	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	cthy	checthy	PROC014	PORTABLE_CORE	CTH+Y	BEREITEN · POSTEN	BEREITEN · POSTEN	HERBAL	NORMALIZE_TO_HOUSE
E017	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	chor	or	PROC016	PORTABLE_CORE	OR	ANSATZ	ANSATZ	HERBAL	NORMALIZE_TO_HOUSE
E018	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	cthaiin	cthaiin	PROC017	LOCAL_MODEL	CTH+AIIN	BEREITEN · EIN KLEINER SCHOEPFBECHER	BEREITEN · EIN KLEINER SCHOEPFBECHER	HERBAL	COPY_UNCHANGED
E019	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	qoctholy	qoctholy	PROC018	LOCAL_MODEL	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · POSTEN	ARBEITSGANG · BEREITEN · WEITER · POSTEN	HERBAL	COPY_UNCHANGED
E020	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	dy	chey	PROC019	PORTABLE_CORE	Y	POSTEN	POSTEN	HERBAL	NORMALIZE_TO_HOUSE
E021	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	chy	chey	PROC019	PORTABLE_CORE	Y	POSTEN	POSTEN	HERBAL	NORMALIZE_TO_HOUSE
E022	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	taiin	daiin	PROC009	PORTABLE_CORE	AIIN	EIN KLEINER SCHOEPFBECHER	EIN KLEINER SCHOEPFBECHER	HERBAL	NORMALIZE_TO_HOUSE
E023	f10r	H2	H2-S001	die breite gezahnte Bluetenpflanze	shy	chey	PROC019	PORTABLE_CORE	Y	POSTEN	POSTEN	HERBAL	NORMALIZE_TO_HOUSE
E024	f10r	H2	H2-S002	die breite gezahnte Bluetenpflanze	qotchor	otchor	PROC020	PORTABLE_CORE	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	HERBAL	NORMALIZE_TO_HOUSE
E025	f10r	H2	H2-S002	die breite gezahnte Bluetenpflanze	chor	or	PROC016	PORTABLE_CORE	OR	ANSATZ	ANSATZ	HERBAL	NORMALIZE_TO_HOUSE
E026	f10r	H2	H2-S002	die breite gezahnte Bluetenpflanze	otol	otol	PROC021	LOCAL_MODEL	OT+OL	DANACH · WEITER	DANACH · WEITER	HERBAL	COPY_UNCHANGED
E027	f10r	H2	H2-S002	die breite gezahnte Bluetenpflanze	chol	ol	PROC013	PORTABLE_CORE	OL	WEITER	WEITER	HERBAL	NORMALIZE_TO_HOUSE
E028	f10r	H2	H2-S002	die breite gezahnte Bluetenpflanze	cholor	cholor	PROC022	LOCAL_MODEL	OL+OR	WEITER · ANSATZ	WEITER · ANSATZ	HERBAL	COPY_UNCHANGED
E029	f10r	H2	H2-S002	die breite gezahnte Bluetenpflanze	chol	ol	PROC013	PORTABLE_CORE	OL	WEITER	WEITER	HERBAL	NORMALIZE_TO_HOUSE
E030	f10r	H2	H2-S002	die breite gezahnte Bluetenpflanze	daiin	daiin	PROC009	PORTABLE_CORE	AIIN	EIN KLEINER SCHOEPFBECHER	EIN KLEINER SCHOEPFBECHER	HERBAL	COPY_UNCHANGED
E031	f10r	H2	H2-S002	die breite gezahnte Bluetenpflanze	dar	char	PROC003	PORTABLE_CORE	AR	QUELLE	QUELLE	HERBAL	NORMALIZE_TO_HOUSE
E032	f10r	H2	H2-S003	die breite gezahnte Bluetenpflanze	oykchor	oykchor	PROC023	LOCAL_MODEL	O+Y+K+OR	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ	HERBAL	COPY_UNCHANGED
E033	f10r	H2	H2-S003	die breite gezahnte Bluetenpflanze	shor	or	PROC016	PORTABLE_CORE	OR	ANSATZ	ANSATZ	HERBAL	NORMALIZE_TO_HOUSE
