record	page	statements	events	phrase_bearing_statements	continuous_workshop_reading_de
H1	f10r	2	14	1	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten. Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
H2	f10r	3	24	3	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass im Arbeitsgang weiter bereiten und als aktuellen Posten verfuegbar lassen. Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren. Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
H3	f11r	4	17	1	Bei der dicht bluehenden Kronenpflanze: Den Posten bearbeiten und weiter halten, dann im Arbeitsgang an der Zielstelle halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, im Arbeitsgang entnehmen und den Schritt schliessen. Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten. Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren. Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
H4	f55v	4	18	1	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen. Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen. Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen. Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.
H5	f56r	6	27	0	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen. Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen. Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen. Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben. Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen. Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.
B1	f81v	21	66	4	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen. Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen. Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen. Am gemeinsamen zweireihigen Becken: Im Arbeitsgang spuelen, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz spuelen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und sammeln; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln. Am gemeinsamen zweireihigen Becken: Den laufenden Posten kurz bearbeiten; dann ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.
B2	f82r	22	62	2	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen. An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen. An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen. An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten. An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen. An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen. Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen. Am unteren gruenen Figurenbecken: Aus der Quelle leiten. An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen. An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen. An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.
B3	f83r	34	86	3	An der oberen offenen Faecherstation: Laenger sammeln und den Schritt schliessen. An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen. An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen. An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten. Am runden Mittelgefaess: Umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen. Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten ansetzen. Am unteren Korbgefaess: An der Zielstelle einbringen und umsetzen; danach den kurzen Folgeschritt schliessen. Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle. Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen. Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen. Am unteren Korbgefaess: Das laufende Wasser ansetzen; dann laenger halten; den Schritt schliessen. Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen. Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Stehen lassen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen. Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen. Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
B4	f83r	16	47	4	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Stehen lassen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen. An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen. An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen. An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen. An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen. An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen. An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.
B5	f83r	3	11	1	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen. An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen. An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.
