phrase_id	card_length	component_sequence	working_phrase_de	occurrences	statements	pages	status
CPH01	2	AIIN | Y	DEN POSTEN NACH SOLLMASS FUEHREN	3	B2-S012,B3-S003,H2-S001	f10r,f82r,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH02	2	AL | OL	AN DER ZIELSTELLE WEITERARBEITEN	2	B1-S002,B5-S003	f81v,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH03	2	CHD+Y | OL	DEN POSTEN UMSETZEN UND WEITERFUEHREN	2	B1-S004,B4-S011	f81v,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH04	2	OK+EE+Y | OK+Y	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN	2	B2-S010,B4-S003	f82r,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH05	2	OK+Y | AIIN	DEN POSTEN NACH SOLLMASS ANSETZEN	2	B3-S030,H1-S001	f10r,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH06	2	OK+Y | OL	DEN POSTEN ANSETZEN UND WEITERARBEITEN	2	B2-S010,B4-S003	f82r,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH07	2	OL | AIIN	NACH SOLLMASS WEITERARBEITEN	2	B6-S001,H2-S002	f10r,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH08	2	OL | SHED+DY	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN	4	B1-S004,B1-S008,B1-S016,B4-S003	f81v,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH09	2	OL+K+AIN | AL	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN	2	B1-S002,B4-S016	f81v,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH10	2	OL+OR | OL	DEN ANSATZ WEITERFUEHREN UND WEITERARBEITEN	2	B1-S002,H2-S002	f10r,f81v	COMPLETE_381_EVENT_PHRASEBOOK
CPH11	2	OR | Y	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN	3	B4-S014,H2-S003,H4-S004	f10r,f55v,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH12	2	Y | AIIN	DEN POSTEN AUF SOLLMASS BRINGEN	4	B3-S003,B3-S021,H2-S001,H3-S003	f10r,f11r,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH13	3	OK+EE+Y | OK+Y | OL	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN	2	B2-S010,B4-S003	f82r,f83r	COMPLETE_381_EVENT_PHRASEBOOK
CPH14	3	Y | AIIN | Y	DEN AKTUELLEN POSTEN NACH SOLLMASS WEITERFUEHREN	2	B3-S003,H2-S001	f10r,f83r	COMPLETE_381_EVENT_PHRASEBOOK
