unit_serial	unit_type	register	page	unit_id	visible_owner	group_count	surface_sequence	speakable_reading_de	ordering_rule
1	PROSE_STATEMENT	PROSE	f10r	H1-S001	H1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	registered statement order; physical line is not sentence end
2	PROSE_STATEMENT	PROSE	f10r	H1-S002	H1	4	qokchy qotchol chol cthy	Nimm den Posten in Arbeit, führe ihn weiter und halte ihn bereit.	registered statement order; physical line is not sentence end
3	PROSE_STATEMENT	PROSE	f10r	H2-S001	H2	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Nimm den Auszugsansatz, bringe ihn bis zum Bereitschaftsgrad und führe ihn nach Sollmaß weiter.	registered statement order; physical line is not sentence end
4	PROSE_STATEMENT	PROSE	f10r	H2-S002	H2	8	qotchor chor otol chol cholor chol daiin dar	Beginne den nächsten Ansatz, arbeite mit dem vorigen Ansatz weiter, stelle auf Sollmaß und entnimm vom Ausgang.	registered statement order; physical line is not sentence end
5	PROSE_STATEMENT	PROSE	f10r	H2-S003	H2	7	oykchor shor chor chy kaiiin dy chodaiin	Bearbeite den laufenden Ansatz weiter, halte ihn auf der festgelegten Stufe und gib die vorgeschriebene Zutatenmenge zu.	registered statement order; physical line is not sentence end
6	PROSE_STATEMENT	PROSE	f11r	H3-S001	H3	7	tshol schoal cfhy shfydaiin cphy shey tchody	Nimm den Pflanzenteil, bringe ihn zur Arbeitsstelle, wringe ihn aus, lasse ihn bis zum Sollwert stehen, seihe nach und stelle den Klarauszug beiseite.	registered statement order; physical line is not sentence end
7	PROSE_STATEMENT	PROSE	f11r	H3-S002	H3	1	shoyty	Lege einen Teil der Zutat zurück.	registered statement order; physical line is not sentence end
8	PROSE_STATEMENT	PROSE	f11r	H3-S003	H3	5	dchol chy kchy dy daiin	Nimm den vorigen Posten wieder auf, bearbeite ihn und arbeite nach Sollmaß.	registered statement order; physical line is not sentence end
9	PROSE_STATEMENT	PROSE	f11r	H3-S004	H3	4	qotchy okchol cthy dy	Nimm den verbleibenden Pflanzenteil als nächsten Posten, setze die Fortsetzung an und halte sie bereit.	registered statement order; physical line is not sentence end
10	PROSE_STATEMENT	PROSE	f55v	H4-S001	H4	5	qokaiin chaiin ykain ykan ody	Arbeite nach Sollmaß, nimm zwei bezeichnete Anteile und kühle den letzten ab.	registered statement order; physical line is not sentence end
11	PROSE_STATEMENT	PROSE	f55v	H4-S002	H4	3	daiin chedy talam	Stelle auf Sollmaß, übertrage den Posten und verwahre ihn an der Zielstelle.	registered statement order; physical line is not sentence end
12	PROSE_STATEMENT	PROSE	f55v	H4-S003	H4	4	ykaiin cheoar cheeky oldy	Nimm den abgemessenen Auszug aus der Quelle, wärme ihn länger und führe den Arbeitsgang zu Ende.	registered statement order; physical line is not sentence end
13	PROSE_STATEMENT	PROSE	f55v	H4-S004	H4	6	aiin okal oltchy or y orain	Arbeite nach Sollmaß, setze den Ansatz an der Zielstelle an und nimm davon eine Portion.	registered statement order; physical line is not sentence end
