unified_serial	register	page	source_group_id	visible_surface	autonomy
1	PROSE	f10r	E001	dchey	PARTIAL
2	PROSE	f10r	E002	cthoor	FULL
3	PROSE	f10r	E003	char	FULL
4	PROSE	f10r	E004	chty	PARTIAL
5	PROSE	f10r	E005	os	NONE
6	PROSE	f10r	E006	chair	FULL
7	PROSE	f10r	E007	otytchol	FULL
8	PROSE	f10r	E008	oky	FULL
9	PROSE	f10r	E009	daiin	FULL
10	PROSE	f10r	E010	etyd	FULL
11	PROSE	f10r	E011	qokchy	FULL
12	PROSE	f10r	E012	qotchol	FULL
13	PROSE	f10r	E013	chol	FULL
14	PROSE	f10r	E014	cthy	FULL
15	PROSE	f10r	E015	ycheor	FULL
16	PROSE	f10r	E016	cthy	FULL
17	PROSE	f10r	E017	chor	FULL
18	PROSE	f10r	E018	cthaiin	FULL
19	PROSE	f10r	E019	qoctholy	FULL
20	PROSE	f10r	E020	dy	FULL
21	PROSE	f10r	E021	chy	FULL
22	PROSE	f10r	E022	taiin	FULL
23	PROSE	f10r	E023	shy	FULL
24	PROSE	f10r	E024	qotchor	FULL
25	PROSE	f10r	E025	chor	FULL
26	PROSE	f10r	E026	otol	FULL
27	PROSE	f10r	E027	chol	FULL
28	PROSE	f10r	E028	cholor	FULL
29	PROSE	f10r	E029	chol	FULL
30	PROSE	f10r	E030	daiin	FULL
31	PROSE	f10r	E031	dar	FULL
32	PROSE	f10r	E032	oykchor	FULL
33	PROSE	f10r	E033	shor	FULL
34	PROSE	f10r	E034	chor	FULL
35	PROSE	f10r	E035	chy	FULL
36	PROSE	f10r	E036	kaiiin	FULL
37	PROSE	f10r	E037	dy	FULL
38	PROSE	f10r	E038	chodaiin	FULL
39	PROSE	f11r	E039	tshol	PARTIAL
40	PROSE	f11r	E040	schoal	FULL
41	PROSE	f11r	E041	cfhy	PARTIAL
42	PROSE	f11r	E042	shfydaiin	FULL
43	PROSE	f11r	E043	cphy	PARTIAL
44	PROSE	f11r	E044	shey	FULL
45	PROSE	f11r	E045	tchody	FULL
46	PROSE	f11r	E046	shoyty	FULL
47	PROSE	f11r	E047	dchol	NONE
48	PROSE	f11r	E048	chy	FULL
49	PROSE	f11r	E049	kchy	FULL
50	PROSE	f11r	E050	dy	FULL
51	PROSE	f11r	E051	daiin	FULL
52	PROSE	f11r	E052	qotchy	FULL
53	PROSE	f11r	E053	okchol	FULL
54	PROSE	f11r	E054	cthy	FULL
55	PROSE	f11r	E055	dy	FULL
56	PROSE	f55v	E056	qokaiin	FULL
57	PROSE	f55v	E057	chaiin	FULL
58	PROSE	f55v	E058	ykain	FULL
59	PROSE	f55v	E059	ykan	FULL
60	PROSE	f55v	E060	ody	NONE
61	PROSE	f55v	E061	daiin	FULL
62	PROSE	f55v	E062	chedy	FULL
63	PROSE	f55v	E063	talam	PARTIAL
64	PROSE	f55v	E064	ykaiin	FULL
65	PROSE	f55v	E065	cheoar	FULL
66	PROSE	f55v	E066	cheeky	FULL
67	PROSE	f55v	E067	oldy	FULL
68	PROSE	f55v	E068	aiin	FULL
69	PROSE	f55v	E069	okal	FULL
70	PROSE	f55v	E070	oltchy	FULL
71	PROSE	f55v	E071	or	FULL
72	PROSE	f55v	E072	y	FULL
73	PROSE	f55v	E073	orain	FULL
74	PROSE	f56r	E074	chochor	FULL
75	PROSE	f56r	E075	cho	NONE
76	PROSE	f56r	E076	chodaly	FULL
77	PROSE	f56r	E077	daiin	FULL
78	PROSE	f56r	E078	sho	NONE
79	PROSE	f56r	E079	kchol	FULL
80	PROSE	f56r	E080	otchor	FULL
81	PROSE	f56r	E081	choky	FULL
82	PROSE	f56r	E082	dal	FULL
83	PROSE	f56r	E083	schol	NONE
84	PROSE	f56r	E084	choy	FULL
85	PROSE	f56r	E085	choky	FULL
86	PROSE	f56r	E086	cheeckhody	FULL
87	PROSE	f56r	E087	sh	NONE
88	PROSE	f56r	E088	cho	NONE
89	PROSE	f56r	E089	kchey	FULL
90	PROSE	f56r	E090	qokokchy	FULL
91	PROSE	f56r	E091	okchy	FULL
92	PROSE	f56r	E092	chokcheo	FULL
93	PROSE	f56r	E093	kchal	FULL
94	PROSE	f56r	E094	sho	NONE
95	PROSE	f56r	E095	chokchy	FULL
96	PROSE	f56r	E096	kchoar	FULL
97	PROSE	f56r	E097	sotodan	PARTIAL
98	PROSE	f56r	E098	otchey	FULL
