surface	component_recipe	atomic_pocket_gloss_de	workshop_composition_de	image_composition_de	events	physical_pages	registers	observed_channels	channel_class
daiin	AIIN	SOLLWERT	Sollmaß	verzeichneter Sollwert	51	f10r|f11r|f13r|f55v|f56r|f67r2|f70v|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
shedy	SHED+DY	ABSETZEN + ENDE	absetzen lassen; Arbeitsschritt schließen	Absetzklasse; Bildeintrag schließen	46	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
chedy	CHD+Y	WECHSEL + DIES	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	43	f55v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
qokedy	OK+E+DY	START + KURZ + ENDE	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsschritt schließen	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	38	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
qokeedy	OK+EE+DY	START + LANG + ENDE	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	38	f75r|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
dy	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	37	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
ol	OL	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	36	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
qokain	OK+AIN	START + EINHEIT	Arbeitsgang ansetzen; Portion	Bildplatz aktivieren; Einheit oder Index	30	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
chey	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	29	f55v|f56r|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
aiin	AIIN	SOLLWERT	Sollmaß	verzeichneter Sollwert	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
s	S	WAHL	Arbeitsvariante auswählen	Bildklasse auswählen	27	f11r|f13r|f55v|f56r|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
dal	AL	ZIEL	Ziel- oder Anschlussstelle	Zielplatz	25	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
shey	SH+E+Y	HALT + KURZ + DIES	Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	Bezug festhalten; erster Grad; dieser Bildplatz	25	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
y	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	23	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f81v	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
chol	OL	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	22	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f88r	HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
ar	AR	QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
dar	D_ADDR+AR	UNTER + QUELLE	bezeichneter Teil; Entnahmestelle	Unterplatz; Quell- oder Bezugsstelle	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL
qoky	OK+Y	START + DIES	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Bildplatz aktivieren; dieser Bildplatz	21	f13r|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY
lchedy	L+CHD+DY	VERBINDUNG + WECHSEL + ENDE	entlang des Arbeitswegs führen; Arbeitsgut umsetzen; Arbeitsschritt schließen	Bildverbindung; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	20	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY
