physical_page	page_model	events	prose_events	address_events	prose_clauses	concrete_prose_reading_de	diagram_reading_de
f10r	PFLANZENZUBEREITUNG_MIT_BEREITSCHAFTSPRUEFUNG	92	92	0	2	Vom gezeigten Kraut werden nacheinander Teile entnommen, in mehreren Gängen verarbeitet und bis zum gebrauchsfertigen Zustand geführt. Weitere Teile werden nach Sollmaß bereitgestellt und durch einen Durchlass weitergegeben. Der erste große Arbeitsgang schließt; der zweite bleibt als Fortsetzung offen.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f11r	GEHALTENE_UND_ABGETRENNTE_PFLANZENPORTION	59	59	0	2	Halte die bezeichneten Pflanzenteile, entnimm davon Portionen, gib sie in den Ansatz und arbeite sie weiter. Nach erneutem Halten wird ein Teil getrennt oder umgeleitet; der erste Zug schließt, der zweite Artikelzug bleibt offen.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f13r	FUENF_KURZE_PFLANZENARBEITSGAENGE	77	77	0	5	Bereite den Ansatz, setze das bezeichnete Material ein und entnimm die benötigten Teile. Gib nach Sollmaß zu, halte den Posten, führe ihn durch den angegebenen Gang und schließe vier kurze Arbeitsschritte. Ein letzter Zusatz- und Ansatzschritt bleibt zur Fortsetzung offen.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f55v	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	106	106	0	5	Setze die Pflanzenzubereitung an und gib ihre Bestandteile in mehreren notierten Portionen zu. Stelle, behandle und versetze den Ansatz zwischen den angegebenen Stellen; entnimm zwischendurch Proben und führe sie durch den Durchlass. Vier Teilgänge schließen, der lange Hauptgang bleibt offen.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f56r	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	105	105	0	3	Entnimm aus dem gezeigten Pflanzenmaterial wiederholt kleine Anteile und setze sie in mehreren Stufen neu an. Gib weitere Anteile zu, halte und prüfe einzelne Züge und führe das Arbeitsgut zur nächsten Stelle. Zwei große Gänge schließen; der letzte bleibt als anschließende Verwendung offen.	KEINE_SEPARATE_BILDBESCHRIFTUNG
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	418	408	10	111	Arbeite die gezeigten Bade- und Stationsposten zellenweise ab: ansetzen, kurz oder länger halten, zur nächsten Stelle umsetzen, dort neu ansetzen und den jeweiligen Schritt schließen. Entnahme, Zugabe, Auffangen und Absetzen erscheinen als lokale Varianten. Fast jede Zelle ist ein eigener kleiner Arbeitsauftrag, nicht Teil eines einzigen langen Satzes.	Die sieben Beschriftungsorte benennen keine neuen Tätigkeiten. Sie ordnen Becken- und Figurenstationen nach Klasse, Zielplatz, Einheit und nächster Stufe.
f81v	ANWENDUNGS_UND_TRANSFERFOLGE	255	253	2	54	Setze den jeweiligen Posten an der gezeigten Station an, gib die bezeichnete Menge zu und halte sie für die notierte Stufe. Führe das Arbeitsgut danach über den nächsten Lauf, setze es dort neu an und lass einzelne Züge absetzen. Die Seite ist eine Folge geschlossener Anwendungs- und Transferzellen.	Die zwei Karten am gemeinsamen Badfeld sagen sinngemäß: nächste Einheit; dieselbe Reihe am Zielplatz fortführen.
f82r	MARKIERTE_STATIONSFOLGE_MIT_DURCHLASS	291	278	13	62	Wähle an jeder dargestellten Station den aktiven Posten, setze ihn an, markiere seinen Zustand und führe ihn über Anschluss oder Durchlass weiter. Wiederhole Zugabe, Halten und Umsetzen gemäß der örtlichen Zeichnung; fange einzelne Ausgänge auf. Fast alle Stationszellen schließen für sich.	Dreizehn Einzelbeschriftungen kennzeichnen Quelle, Ziel, Unterplatz, Ringlauf, Stufe und Sollwert der jeweils benachbarten Station. Sie bilden kein zweites Rezept.
f83r	VARIANTENREGISTER_FUER_UMSETZEN_UND_ABSETZEN	345	341	4	91	Diese Seite verzeichnet viele kurze Varianten desselben Stationsbetriebs: auswählen, ansetzen, halten, umsetzen, am neuen Ort wieder ansetzen und schließlich absetzen oder auffangen. Die sichtbaren Becken und Verbindungen bestimmen jeweils den Besitzer; der Text liefert die lokale Handlung und Stufe. Es gibt keinen einzigen durchgehenden Kreislauf, sondern viele abgeschlossene Varianten.	Vier Beschriftungen unterscheiden Stationstyp, Weiterführung, Sollwert und zweite Stufe an den lokalen Beckenverbindungen.
f67r2	RING_UND_TABELLENPOSTEN_AUSWAEHLEN	190	126	64	11	Wähle den bezeichneten Ring- oder Tabellenposten, führe die für ihn eingetragene Operation aus und wechsle zur zugeordneten Stelle oder Stufe. Wiederholtes Auswählen, Einstellen und Kennzeichnen spricht eine Nachschlagetafel, nicht eine fortlaufende Pflanzen- oder Badrezeptur. Nur wenige Blöcke schließen ausdrücklich.	Die Beschriftungen rufen Ringreihen auf, wählen Klassen und Plätze und tragen Stufen oder Werte ein. Sie gehören zu zwei lokalen Rädern; sie sind keine laut gelesene Arbeitsprosa.
f68r1	STERNSTELLEN_KURZ_ZUORDNEN	65	31	34	3	Entnimm oder wähle den bezeichneten Eintrag, führe seine lokale Anweisung aus und ordne ihn der markierten Sternstelle zu. Die drei Textblöcke begleiten räumliche Stationen; sie ergeben keine feste Umlaufrichtung und keine Verbindung zur benachbarten 28er-Seite.	Die Sternbeschriftungen adressieren einzelne Plätze, Unterplätze, Grade und Gegenstellen in mehreren lokalen Paneelen. Es gibt kein einziges zwingendes Zentrum und keine festgelegte Laufrichtung.
